Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
250,250,250,200010310CHI,36.9,26.1,2nd quarter,0:40.9,A.J. Guyton,CHI,False,3-pointer,25,39-46,'SAC',trails
395,395,395,200011030CHI,40.3,15.1,1st quarter,5:09.0,A.J. Guyton,CHI,False,2-pointer,19,14-13,'NJN',leads
396,396,396,200011030CHI,3.6,4.2,1st quarter,4:25.0,A.J. Guyton,CHI,True,2-pointer,20,16-15,'NJN',leads
397,397,397,200011030CHI,37.6,20.8,1st quarter,3:57.0,A.J. Guyton,CHI,False,2-pointer,21,16-17,'NJN',trails
400,400,400,200011030CHI,41.8,24.2,1st quarter,1:51.0,A.J. Guyton,CHI,False,3-pointer,26,16-23,'NJN',trails
402,402,402,200011030CHI,3.6,19.8,1st quarter,0:01.9,A.J. Guyton,CHI,False,3-pointer,25,16-29,'NJN',trails
426,426,426,200011030CHI,24.0,5.0,3rd quarter,6:33.0,A.J. Guyton,CHI,True,2-pointer,0,44-57,'NJN',trails
431,431,431,200011030CHI,39.0,10.1,3rd quarter,1:04.0,A.J. Guyton,CHI,True,2-pointer,16,54-68,'NJN',trails
847,847,847,200011040IND,7.0,8.4,4th quarter,6:49.0,A.J. Guyton,CHI,False,2-pointer,17,66-74,'IND',trails
274,274,274,200011090CHI,5.3,5.0,1st quarter,2:48.0,A.J. Guyton,CHI,True,2-pointer,19,18-6,'ORL',leads
275,275,275,200011090CHI,21.7,29.3,1st quarter,2:15.0,A.J. Guyton,CHI,False,3-pointer,24,18-8,'ORL',leads
281,281,281,200011090CHI,38.6,4.6,2nd quarter,11:02.0,A.J. Guyton,CHI,True,2-pointer,15,26-14,'ORL',leads
283,283,283,200011090CHI,11.0,16.2,2nd quarter,9:39.0,A.J. Guyton,CHI,False,2-pointer,17,28-18,'ORL',leads
284,284,284,200011090CHI,47.9,7.8,2nd quarter,8:42.0,A.J. Guyton,CHI,True,3-pointer,24,31-20,'ORL',leads
285,285,285,200011090CHI,5.3,4.6,2nd quarter,8:15.0,A.J. Guyton,CHI,True,2-pointer,19,33-20,'ORL',leads
290,290,290,200011090CHI,0.2,5.0,2nd quarter,5:09.0,A.J. Guyton,CHI,True,3-pointer,24,40-28,'ORL',leads
307,307,307,200011090CHI,1.1,4.8,3rd quarter,4:37.0,A.J. Guyton,CHI,True,3-pointer,23,68-52,'ORL',leads
310,310,310,200011090CHI,39.3,13.5,3rd quarter,1:50.0,A.J. Guyton,CHI,False,2-pointer,18,70-58,'ORL',leads
312,312,312,200011090CHI,34.0,17.9,4th quarter,10:36.0,A.J. Guyton,CHI,False,2-pointer,16,74-64,'ORL',leads
314,314,314,200011090CHI,39.9,24.2,4th quarter,9:11.0,A.J. Guyton,CHI,True,3-pointer,25,77-66,'ORL',leads
92,92,92,200011110CHI,38.4,6.9,1st quarter,1:42.0,A.J. Guyton,CHI,False,2-pointer,15,13-17,'TOR',trails
95,95,95,200011110CHI,12.3,12.6,2nd quarter,11:44.0,A.J. Guyton,CHI,False,2-pointer,14,15-21,'TOR',trails
132,132,132,200011110CHI,40.9,16.2,4th quarter,8:42.0,A.J. Guyton,CHI,False,2-pointer,20,60-77,'TOR',trails
141,141,141,200011110CHI,10.6,19.8,4th quarter,4:37.0,A.J. Guyton,CHI,False,2-pointer,20,69-87,'TOR',trails
377,377,377,200011140HOU,33.4,18.3,4th quarter,9:35.0,A.J. Guyton,CHI,False,2-pointer,16,68-87,'HOU',trails
383,383,383,200011140HOU,38.0,20.4,4th quarter,4:16.0,A.J. Guyton,CHI,False,2-pointer,21,76-93,'HOU',trails
385,385,385,200011140HOU,30.4,22.9,4th quarter,3:47.0,A.J. Guyton,CHI,True,2-pointer,19,78-95,'HOU',trails
386,386,386,200011140HOU,9.9,6.3,4th quarter,3:07.0,A.J. Guyton,CHI,True,2-pointer,14,80-98,'HOU',trails
27,27,27,200011160DEN,39.9,19.8,2nd quarter,7:30.0,A.J. Guyton,CHI,False,2-pointer,22,20-40,'DEN',trails
