Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
524,524,524,201512020CHO,22.8,4.1,4th quarter,4:53.0,Aaron Harrison,CHO,True,2-pointer,1,90-107,'CHO',trails
349,349,349,201512070CHO,12.5,19.4,4th quarter,3:35.0,Aaron Harrison,CHO,False,2-pointer,20,101-80,'CHO',leads
633,633,633,201512110MEM,47.5,2.9,4th quarter,3:19.0,Aaron Harrison,CHO,True,3-pointer,23,114-86,'CHO',leads
341,341,341,201601020CHO,0.5,8.1,4th quarter,0:58.0,Aaron Harrison,CHO,False,3-pointer,24,90-109,'CHO',trails
512,512,512,201601130CHO,21.3,3.8,4th quarter,4:11.0,Aaron Harrison,CHO,False,2-pointer,2,101-70,'CHO',leads
515,515,515,201601130CHO,17.9,19.0,4th quarter,1:55.0,Aaron Harrison,CHO,False,2-pointer,17,103-74,'CHO',leads
516,516,516,201601130CHO,6.2,23.0,4th quarter,1:33.0,Aaron Harrison,CHO,False,3-pointer,26,103-74,'CHO',leads
1244,1244,1244,201601270UTA,22.0,3.0,4th quarter,2:33.0,Aaron Harrison,CHO,False,2-pointer,2,65-91,'UTA',trails
419,419,419,201601310LAL,11.0,17.9,4th quarter,1:50.0,Aaron Harrison,CHO,False,2-pointer,19,101-75,'LAL',leads
420,420,420,201601310LAL,27.0,3.7,4th quarter,1:26.0,Aaron Harrison,CHO,False,2-pointer,3,101-77,'LAL',leads
171,171,171,201603010CHO,0.3,4.3,4th quarter,6:51.0,Aaron Harrison,CHO,False,3-pointer,23,115-74,'CHO',leads
172,172,172,201603010CHO,1.3,6.1,4th quarter,6:45.0,Aaron Harrison,CHO,False,3-pointer,22,115-74,'CHO',leads
180,180,180,201603010CHO,36.7,25.3,4th quarter,1:45.0,Aaron Harrison,CHO,False,3-pointer,25,125-89,'CHO',leads
1460,1460,1460,201603020PHI,41.9,21.0,4th quarter,0:22.0,Aaron Harrison,CHO,True,3-pointer,25,119-96,'CHO',leads
356,356,356,201603120CHO,6.6,20.8,4th quarter,1:16.0,Aaron Harrison,CHO,False,3-pointer,24,122-106,'HOU',leads
332,332,332,201604080CHO,22.9,29.9,4th quarter,1:55.0,Aaron Harrison,CHO,False,3-pointer,26,111-92,'CHO',leads
678,678,678,201604130CHO,23.6,4.3,4th quarter,9:52.0,Aaron Harrison,CHO,True,2-pointer,1,90-86,'CHO',leads
683,683,683,201604130CHO,8.4,25.3,4th quarter,7:27.0,Aaron Harrison,CHO,True,3-pointer,27,99-88,'CHO',leads
689,689,689,201604130CHO,35.5,15.9,4th quarter,3:09.0,Aaron Harrison,CHO,False,2-pointer,17,110-99,'CHO',leads
347,347,347,201611070CHO,14.4,20.8,4th quarter,1:25.0,Aaron Harrison,CHO,False,2-pointer,20,118-96,'IND',leads
152,152,152,201611210CHO,5.3,18.9,4th quarter,1:55.0,Aaron Harrison,CHO,False,3-pointer,25,89-103,'CHO',trails
250,250,250,201611280MEM,4.4,10.0,4th quarter,1:18.0,Aaron Harrison,CHO,False,2-pointer,21,101-81,'CHO',leads
380,380,380,201611290CHO,47.3,5.1,4th quarter,2:37.0,Aaron Harrison,CHO,False,3-pointer,23,82-104,'CHO',trails
313,313,313,201803220DAL,5.9,22.9,3rd quarter,2:16.0,Aaron Harrison,DAL,False,3-pointer,26,71-90,'DAL',trails
331,331,331,201803220DAL,5.5,20.0,4th quarter,4:52.0,Aaron Harrison,DAL,False,3-pointer,25,98-113,'DAL',trails
332,332,332,201803220DAL,36.8,5.7,4th quarter,4:27.0,Aaron Harrison,DAL,False,2-pointer,13,98-113,'DAL',trails
336,336,336,201803220DAL,22.1,3.4,4th quarter,2:58.0,Aaron Harrison,DAL,True,2-pointer,1,103-115,'DAL',trails
339,339,339,201803220DAL,29.5,18.8,4th quarter,1:17.0,Aaron Harrison,DAL,True,2-pointer,16,109-115,'DAL',trails
880,880,880,201803270SAC,42.8,21.4,1st quarter,10:28.0,Aaron Harrison,DAL,True,3-pointer,26,3-4,'DAL',trails
886,886,886,201803270SAC,3.7,17.6,1st quarter,6:14.0,Aaron Harrison,DAL,False,3-pointer,25,11-7,'DAL',leads
909,909,909,201803270SAC,2.0,11.0,2nd quarter,5:12.0,Aaron Harrison,DAL,False,3-pointer,23,35-32,'DAL',leads
914,914,914,201803270SAC,43.6,19.7,2nd quarter,1:18.0,Aaron Harrison,DAL,False,3-pointer,25,47-40,'DAL',leads
919,919,919,201803270SAC,0.6,11.0,3rd quarter,10:46.0,Aaron Harrison,DAL,True,3-pointer,24,58-47,'DAL',leads
