Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
91,91,91,201412260ATL,26.1,3.6,1st quarter,4:05.0,Adreian Payne,ATL,False,2-pointer,2,18-18,'MIL',tied
146,146,146,201412260ATL,31.2,27.1,4th quarter,4:59.0,Adreian Payne,ATL,False,3-pointer,25,68-98,'MIL',trails
151,151,151,201412260ATL,22.5,3.6,4th quarter,2:04.0,Adreian Payne,ATL,False,2-pointer,1,70-102,'MIL',trails
153,153,153,201412260ATL,24.6,19.0,4th quarter,1:04.0,Adreian Payne,ATL,True,2-pointer,16,74-104,'MIL',trails
417,417,417,201501130PHI,23.5,6.4,4th quarter,2:01.0,Adreian Payne,ATL,False,2-pointer,3,100-79,'ATL',leads
418,418,418,201501130PHI,25.8,4.5,4th quarter,0:48.0,Adreian Payne,ATL,True,2-pointer,2,103-85,'ATL',leads
72,72,72,201501140BOS,24.4,9.3,4th quarter,0:26.0,Adreian Payne,ATL,False,2-pointer,6,105-88,'BOS',leads
1135,1135,1135,201502200MIN,24.2,9.4,1st quarter,3:01.0,Adreian Payne,MIN,False,2-pointer,6,22-16,'PHO',leads
1136,1136,1136,201502200MIN,20.2,27.2,1st quarter,1:23.0,Adreian Payne,MIN,False,3-pointer,24,23-21,'PHO',leads
1145,1145,1145,201502200MIN,10.4,5.8,2nd quarter,9:09.0,Adreian Payne,MIN,False,2-pointer,13,33-30,'PHO',leads
1180,1180,1180,201502200MIN,24.0,3.1,3rd quarter,2:05.0,Adreian Payne,MIN,False,2-pointer,0,72-73,'PHO',trails
1185,1185,1185,201502200MIN,32.9,26.3,4th quarter,11:24.0,Adreian Payne,MIN,False,3-pointer,24,80-79,'PHO',leads
351,351,351,201502230HOU,25.2,6.6,1st quarter,11:19.0,Adreian Payne,MIN,True,2-pointer,3,2-0,'HOU',leads
353,353,353,201502230HOU,22.8,4.1,1st quarter,10:20.0,Adreian Payne,MIN,False,2-pointer,1,4-3,'HOU',leads
356,356,356,201502230HOU,29.9,6.9,1st quarter,8:44.0,Adreian Payne,MIN,False,2-pointer,7,8-7,'HOU',leads
357,357,357,201502230HOU,22.5,3.6,1st quarter,8:40.0,Adreian Payne,MIN,True,2-pointer,1,10-7,'HOU',leads
361,361,361,201502230HOU,28.8,5.6,1st quarter,6:09.0,Adreian Payne,MIN,True,2-pointer,5,18-12,'HOU',leads
368,368,368,201502230HOU,14.2,22.0,1st quarter,2:56.0,Adreian Payne,MIN,False,2-pointer,21,20-18,'HOU',leads
372,372,372,201502230HOU,28.2,10.5,1st quarter,0:03.0,Adreian Payne,MIN,False,2-pointer,8,25-26,'HOU',trails
394,394,394,201502230HOU,13.5,4.9,3rd quarter,11:27.0,Adreian Payne,MIN,False,2-pointer,10,56-58,'HOU',trails
396,396,396,201502230HOU,32.8,3.4,3rd quarter,10:53.0,Adreian Payne,MIN,False,2-pointer,8,56-58,'HOU',trails
414,414,414,201502230HOU,28.2,3.4,3rd quarter,3:46.0,Adreian Payne,MIN,False,2-pointer,4,65-72,'HOU',trails
415,415,415,201502230HOU,8.5,22.5,3rd quarter,2:38.0,Adreian Payne,MIN,True,3-pointer,24,68-75,'HOU',trails
417,417,417,201502230HOU,8.2,21.3,3rd quarter,1:36.0,Adreian Payne,MIN,False,3-pointer,24,72-78,'HOU',trails
