Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
64,64,64,200010310ATL,14.6,8.0,1st quarter,11:10.0,Alan Henderson,ATL,False,2-pointer,10,2-0,'CHH',leads
69,69,69,200010310ATL,24.0,5.0,1st quarter,8:23.0,Alan Henderson,ATL,True,2-pointer,0,6-2,'CHH',leads
72,72,72,200010310ATL,24.0,5.0,1st quarter,6:24.0,Alan Henderson,ATL,False,2-pointer,0,6-11,'CHH',trails
84,84,84,200010310ATL,24.0,5.0,1st quarter,0:40.2,Alan Henderson,ATL,True,2-pointer,0,13-28,'CHH',trails
87,87,87,200010310ATL,24.0,5.0,2nd quarter,11:35.0,Alan Henderson,ATL,True,2-pointer,0,15-28,'CHH',trails
88,88,88,200010310ATL,10.4,6.5,2nd quarter,10:08.0,Alan Henderson,ATL,True,2-pointer,14,19-28,'CHH',trails
94,94,94,200010310ATL,17.5,5.9,2nd quarter,7:54.0,Alan Henderson,ATL,True,2-pointer,7,25-33,'CHH',trails
96,96,96,200010310ATL,24.0,5.0,2nd quarter,6:58.0,Alan Henderson,ATL,True,2-pointer,0,30-35,'CHH',trails
115,115,115,200010310ATL,24.0,5.0,3rd quarter,7:07.0,Alan Henderson,ATL,True,2-pointer,0,55-58,'CHH',trails
129,129,129,200010310ATL,24.0,5.0,4th quarter,9:51.0,Alan Henderson,ATL,True,2-pointer,0,66-80,'CHH',trails
135,135,135,200010310ATL,24.0,5.0,4th quarter,6:15.0,Alan Henderson,ATL,True,2-pointer,0,72-89,'CHH',trails
635,635,635,200011020NYK,24.0,5.0,1st quarter,10:06.0,Alan Henderson,ATL,True,2-pointer,0,6-3,NYK,leads
642,642,642,200011020NYK,36.3,5.4,1st quarter,5:44.0,Alan Henderson,ATL,False,2-pointer,12,14-16,NYK,trails
643,643,643,200011020NYK,20.7,7.6,1st quarter,5:05.0,Alan Henderson,ATL,False,2-pointer,4,14-16,NYK,trails
646,646,646,200011020NYK,24.0,5.0,1st quarter,3:00.0,Alan Henderson,ATL,False,2-pointer,0,17-20,NYK,trails
650,650,650,200011020NYK,29.1,11.3,1st quarter,0:56.7,Alan Henderson,ATL,False,2-pointer,8,24-26,NYK,trails
656,656,656,200011020NYK,24.0,5.0,2nd quarter,8:46.0,Alan Henderson,ATL,False,2-pointer,0,26-33,NYK,trails
657,657,657,200011020NYK,24.0,5.0,2nd quarter,8:45.0,Alan Henderson,ATL,False,2-pointer,0,26-33,NYK,trails
659,659,659,200011020NYK,33.4,5.0,2nd quarter,7:39.0,Alan Henderson,ATL,False,2-pointer,9,28-35,NYK,trails
662,662,662,200011020NYK,24.0,5.0,2nd quarter,6:12.0,Alan Henderson,ATL,True,2-pointer,0,33-37,NYK,trails
665,665,665,200011020NYK,24.0,5.0,2nd quarter,4:42.0,Alan Henderson,ATL,True,2-pointer,0,35-38,NYK,trails
669,669,669,200011020NYK,24.0,5.0,2nd quarter,2:51.0,Alan Henderson,ATL,True,2-pointer,0,39-42,NYK,trails
670,670,670,200011020NYK,24.0,5.0,2nd quarter,2:15.0,Alan Henderson,ATL,True,2-pointer,0,41-44,NYK,trails
674,674,674,200011020NYK,15.6,4.4,3rd quarter,10:39.0,Alan Henderson,ATL,True,2-pointer,8,45-53,NYK,trails
675,675,675,200011020NYK,34.8,7.6,3rd quarter,10:16.0,Alan Henderson,ATL,False,2-pointer,11,45-53,NYK,trails
678,678,678,200011020NYK,32.5,5.9,3rd quarter,8:58.0,Alan Henderson,ATL,False,2-pointer,9,47-56,NYK,trails
680,680,680,200011020NYK,25.6,8.0,3rd quarter,7:57.0,Alan Henderson,ATL,False,2-pointer,3,47-58,NYK,trails
701,701,701,200011020NYK,31.9,11.3,4th quarter,5:49.0,Alan Henderson,ATL,False,2-pointer,10,62-80,NYK,trails
89,89,89,200011040ATL,17.5,6.9,1st quarter,0:20.4,Alan Henderson,ATL,False,2-pointer,7,20-33,'ORL',trails
105,105,105,200011040ATL,18.2,6.9,2nd quarter,6:32.0,Alan Henderson,ATL,False,2-pointer,6,35-47,'ORL',trails
111,111,111,200011040ATL,24.0,5.0,2nd quarter,3:51.0,Alan Henderson,ATL,True,2-pointer,0,44-52,'ORL',trails
125,125,125,200011040ATL,24.0,5.0,3rd quarter,7:33.0,Alan Henderson,ATL,True,2-pointer,0,59-67,'ORL',trails
126,126,126,200011040ATL,24.0,5.0,3rd quarter,6:52.0,Alan Henderson,ATL,True,2-pointer,0,61-69,'ORL',trails
130,130,130,200011040ATL,23.9,7.6,3rd quarter,5:30.0,Alan Henderson,ATL,False,2-pointer,3,64-73,'ORL',trails
138,138,138,200011040ATL,21.1,8.0,4th quarter,9:40.0,Alan Henderson,ATL,False,2-pointer,4,83-85,'ORL',trails
140,140,140,200011040ATL,24.0,5.0,4th quarter,8:37.0,Alan Henderson,ATL,True,2-pointer,0,87-87,'ORL',tied
141,141,141,200011040ATL,24.0,5.0,4th quarter,7:53.0,Alan Henderson,ATL,True,2-pointer,0,89-89,'ORL',tied
144,144,144,200011040ATL,27.2,8.0,4th quarter,6:29.0,Alan Henderson,ATL,False,2-pointer,4,91-93,'ORL',trails
146,146,146,200011040ATL,24.0,5.0,4th quarter,5:41.0,Alan Henderson,ATL,False,2-pointer,0,91-96,'ORL',trails
155,155,155,200011040ATL,12.5,14.7,4th quarter,0:35.6,Alan Henderson,ATL,False,2-pointer,15,102-105,'ORL',trails
657,657,657,200011060VAN,28.3,5.0,1st quarter,11:11.0,Alan Henderson,ATL,False,2-pointer,4,2-0,'VAN',leads
659,659,659,200011060VAN,24.1,5.4,1st quarter,11:07.0,Alan Henderson,ATL,False,2-pointer,0,2-0,'VAN',leads
660,660,660,200011060VAN,23.6,5.0,1st quarter,11:04.0,Alan Henderson,ATL,True,2-pointer,0,4-0,'VAN',leads
662,662,662,200011060VAN,29.8,4.4,1st quarter,10:12.0,Alan Henderson,ATL,False,2-pointer,6,4-0,'VAN',leads
663,663,663,200011060VAN,24.1,5.0,1st quarter,10:09.0,Alan Henderson,ATL,True,2-pointer,0,6-0,'VAN',leads
664,664,664,200011060VAN,20.7,8.0,1st quarter,9:25.0,Alan Henderson,ATL,False,2-pointer,4,6-2,'VAN',leads
672,672,672,200011060VAN,35.5,5.4,1st quarter,4:11.0,Alan Henderson,ATL,False,2-pointer,12,16-8,'VAN',leads
675,675,675,200011060VAN,23.6,5.9,1st quarter,3:02.0,Alan Henderson,ATL,True,2-pointer,1,18-12,'VAN',leads
