Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
832,832,832,202112170ORL,29.6,27.9,2nd quarter,4:59.0,Aleem Ford,ORL,False,3-pointer,25,41-51,'MIA',trails
833,833,833,202112170ORL,23.0,2.4,2nd quarter,4:28.0,Aleem Ford,ORL,True,2-pointer,1,43-54,'MIA',trails
840,840,840,202112170ORL,40.7,22.4,2nd quarter,0:01.0,Aleem Ford,ORL,False,3-pointer,25,57-66,'MIA',trails
196,196,196,202112180BRK,9.7,24.6,2nd quarter,10:22.0,Aleem Ford,ORL,True,3-pointer,26,32-21,'ORL',leads
197,197,197,202112180BRK,0.9,6.0,2nd quarter,9:41.0,Aleem Ford,ORL,False,3-pointer,23,32-23,'ORL',leads
202,202,202,202112180BRK,27.8,6.9,2nd quarter,7:21.0,Aleem Ford,ORL,True,2-pointer,5,38-25,'ORL',leads
236,236,236,202112180BRK,8.4,22.4,3rd quarter,1:01.0,Aleem Ford,ORL,False,3-pointer,25,71-64,'ORL',leads
237,237,237,202112180BRK,10.5,23.7,3rd quarter,0:32.0,Aleem Ford,ORL,True,3-pointer,24,74-66,'ORL',leads
243,243,243,202112180BRK,23.2,28.2,4th quarter,9:16.0,Aleem Ford,ORL,False,3-pointer,25,82-73,'ORL',leads
18,18,18,202112220ATL,0.9,3.7,1st quarter,0:00.0,Aleem Ford,ORL,False,3-pointer,23,22-20,'ORL',leads
26,26,26,202112220ATL,24.4,3.8,2nd quarter,7:46.0,Aleem Ford,ORL,True,2-pointer,1,34-25,'ORL',leads
30,30,30,202112220ATL,0.9,2.2,2nd quarter,5:43.0,Aleem Ford,ORL,False,3-pointer,23,36-30,'ORL',leads
55,55,55,202112220ATL,32.4,27.3,3rd quarter,4:58.0,Aleem Ford,ORL,False,3-pointer,25,63-47,'ORL',leads
57,57,57,202112220ATL,24.7,30.3,3rd quarter,3:09.0,Aleem Ford,ORL,False,3-pointer,27,63-51,'ORL',leads
66,66,66,202112220ATL,24.8,3.7,4th quarter,10:33.0,Aleem Ford,ORL,True,2-pointer,1,74-61,'ORL',leads
1319,1319,1319,202112230ORL,6.7,22.8,1st quarter,4:05.0,Aleem Ford,ORL,False,3-pointer,26,14-21,'NOP',trails
1324,1324,1324,202112230ORL,21.0,8.3,1st quarter,0:09.0,Aleem Ford,ORL,False,2-pointer,6,17-32,'NOP',trails
556,556,556,202112260MIA,3.0,18.8,1st quarter,4:08.0,Aleem Ford,ORL,False,3-pointer,26,21-12,'MIA',leads
567,567,567,202112260MIA,0.9,12.3,2nd quarter,8:20.0,Aleem Ford,ORL,False,3-pointer,25,27-26,'MIA',leads
603,603,603,202112260MIA,3.2,18.5,4th quarter,9:37.0,Aleem Ford,ORL,False,3-pointer,26,65-75,'MIA',trails
