Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
640,640,640,201912270GSW,24.5,4.6,1st quarter,4:02.0,Alen Smailagić,GSW,True,2-pointer,1,19-20,'PHO',trails
643,643,643,201912270GSW,24.2,5.0,1st quarter,2:39.0,Alen Smailagić,GSW,True,2-pointer,2,23-22,'PHO',leads
646,646,646,201912270GSW,46.6,4.9,1st quarter,0:34.0,Alen Smailagić,GSW,False,3-pointer,23,25-26,'PHO',trails
618,618,618,201912280GSW,46.7,10.8,1st quarter,3:34.0,Alen Smailagić,GSW,False,3-pointer,24,30-29,'DAL',leads
642,642,642,201912280GSW,22.0,5.9,2nd quarter,3:50.0,Alen Smailagić,GSW,True,2-pointer,3,63-60,'DAL',leads
645,645,645,201912280GSW,21.8,5.7,2nd quarter,2:20.0,Alen Smailagić,GSW,True,2-pointer,3,69-65,'DAL',leads
915,915,915,201912310SAS,24.7,28.2,2nd quarter,11:39.0,Alen Smailagić,GSW,False,3-pointer,25,32-25,'SAS',leads
949,949,949,201912310SAS,28.1,18.0,3rd quarter,3:31.0,Alen Smailagić,GSW,False,2-pointer,15,69-70,'SAS',trails
950,950,950,201912310SAS,25.6,3.3,3rd quarter,3:06.0,Alen Smailagić,GSW,True,2-pointer,2,71-72,'SAS',trails
963,963,963,201912310SAS,22.2,3.7,4th quarter,8:20.0,Alen Smailagić,GSW,False,2-pointer,2,79-82,'SAS',trails
964,964,964,201912310SAS,24.4,2.7,4th quarter,8:17.0,Alen Smailagić,GSW,True,2-pointer,1,81-82,'SAS',trails
965,965,965,201912310SAS,40.4,23.1,4th quarter,7:51.0,Alen Smailagić,GSW,True,3-pointer,26,84-84,'SAS',tied
1059,1059,1059,202001020MIN,1.0,2.7,2nd quarter,9:39.0,Alen Smailagić,GSW,False,3-pointer,23,26-42,'MIN',trails
1086,1086,1086,202001020MIN,24.0,2.7,3rd quarter,4:25.0,Alen Smailagić,GSW,False,2-pointer,1,54-74,'MIN',trails
1094,1094,1094,202001020MIN,38.3,23.7,4th quarter,9:50.0,Alen Smailagić,GSW,False,3-pointer,25,71-81,'MIN',trails
1097,1097,1097,202001020MIN,24.4,4.2,4th quarter,7:19.0,Alen Smailagić,GSW,True,2-pointer,1,76-86,'MIN',trails
1129,1129,1129,202001060SAC,24.2,5.9,4th quarter,10:44.0,Alen Smailagić,GSW,True,2-pointer,3,68-90,'SAC',trails
1132,1132,1132,202001060SAC,12.7,6.0,4th quarter,8:33.0,Alen Smailagić,GSW,False,2-pointer,12,72-94,'SAC',trails
827,827,827,202001080GSW,23.9,5.0,2nd quarter,7:59.0,Alen Smailagić,GSW,True,2-pointer,2,24-28,'GSW',trails
831,831,831,202001080GSW,27.0,8.1,2nd quarter,6:02.0,Alen Smailagić,GSW,True,2-pointer,6,28-32,'GSW',trails
833,833,833,202001080GSW,0.7,5.5,2nd quarter,5:19.0,Alen Smailagić,GSW,True,3-pointer,23,31-32,'GSW',trails
834,834,834,202001080GSW,24.4,9.1,2nd quarter,4:43.0,Alen Smailagić,GSW,False,2-pointer,6,31-34,'GSW',trails
864,864,864,202001080GSW,23.2,9.5,4th quarter,11:46.0,Alen Smailagić,GSW,False,2-pointer,6,72-81,'GSW',trails
867,867,867,202001080GSW,21.7,21.8,4th quarter,10:01.0,Alen Smailagić,GSW,True,2-pointer,19,78-83,'GSW',trails
869,869,869,202001080GSW,39.9,26.1,4th quarter,9:12.0,Alen Smailagić,GSW,False,3-pointer,28,78-89,'GSW',trails
564,564,564,202001100LAC,24.0,2.7,2nd quarter,6:04.0,Alen Smailagić,GSW,True,2-pointer,1,34-32,'GSW',leads
511,511,511,202001140GSW,22.4,3.8,3rd quarter,3:57.0,Alen Smailagić,GSW,True,2-pointer,2,58-84,'DAL',trails
513,513,513,202001140GSW,24.3,8.5,3rd quarter,3:10.0,Alen Smailagić,GSW,True,2-pointer,5,62-84,'DAL',trails
535,535,535,202001140GSW,15.7,29.3,4th quarter,3:13.0,Alen Smailagić,GSW,False,3-pointer,27,89-113,'DAL',trails
436,436,436,202002080GSW,24.4,6.3,2nd quarter,11:23.0,Alen Smailagić,GSW,True,2-pointer,3,27-33,'LAL',trails
437,437,437,202002080GSW,36.3,10.3,2nd quarter,10:45.0,Alen Smailagić,GSW,False,2-pointer,14,27-34,'LAL',trails
445,445,445,202002080GSW,19.2,30.5,2nd quarter,6:34.0,Alen Smailagić,GSW,False,3-pointer,28,33-43,'LAL',trails
479,479,479,202002080GSW,22.7,4.7,4th quarter,10:28.0,Alen Smailagić,GSW,True,2-pointer,2,87-99,'LAL',trails
480,480,480,202002080GSW,21.2,28.4,4th quarter,9:57.0,Alen Smailagić,GSW,True,3-pointer,25,90-102,'LAL',trails
602,602,602,202002100GSW,24.2,7.4,1st quarter,0:02.0,Alen Smailagić,GSW,False,2-pointer,4,20-24,'MIA',trails
1656,1656,1656,202002120PHO,28.6,6.9,2nd quarter,11:37.0,Alen Smailagić,GSW,False,2-pointer,6,24-34,'PHO',trails
625,625,625,202002200GSW,23.7,5.8,2nd quarter,9:34.0,Alen Smailagić,GSW,True,2-pointer,3,21-46,'HOU',trails
667,667,667,202002200GSW,46.6,3.9,4th quarter,11:46.0,Alen Smailagić,GSW,False,3-pointer,23,77-109,'HOU',trails
465,465,465,202002230GSW,7.1,24.8,2nd quarter,6:31.0,Alen Smailagić,GSW,False,3-pointer,27,43-36,'NOP',leads
503,503,503,202002230GSW,23.9,8.8,4th quarter,8:38.0,Alen Smailagić,GSW,False,2-pointer,6,82-90,'NOP',trails
1018,1018,1018,202103150GSW,21.5,11.1,4th quarter,1:22.0,Alen Smailagić,GSW,True,2-pointer,8,90-124,'LAL',trails
791,791,791,202103190MEM,29.9,9.3,4th quarter,0:38.0,Alen Smailagić,GSW,False,2-pointer,8,116-103,'MEM',leads
345,345,345,202103200MEM,15.2,28.2,1st quarter,11:41.0,Alen Smailagić,GSW,True,3-pointer,26,3-0,'MEM',leads
346,346,346,202103200MEM,14.7,27.5,1st quarter,11:01.0,Alen Smailagić,GSW,False,3-pointer,26,3-2,'MEM',leads
387,387,387,202103200MEM,47.2,6.0,3rd quarter,11:30.0,Alen Smailagić,GSW,False,3-pointer,23,51-49,'MEM',leads
388,388,388,202103200MEM,24.1,4.3,3rd quarter,10:59.0,Alen Smailagić,GSW,False,2-pointer,1,51-49,'MEM',leads
391,391,391,202103200MEM,23.3,29.0,3rd quarter,10:00.0,Alen Smailagić,GSW,False,3-pointer,26,53-52,'MEM',leads
1482,1482,1482,202104020TOR,1.5,2.8,4th quarter,11:08.0,Alen Smailagić,GSW,True,3-pointer,23,59-110,'TOR',trails
1484,1484,1484,202104020TOR,28.3,6.3,4th quarter,9:48.0,Alen Smailagić,GSW,False,2-pointer,5,59-114,'TOR',trails
1498,1498,1498,202104020TOR,22.2,5.3,4th quarter,1:16.0,Alen Smailagić,GSW,True,2-pointer,3,77-128,'TOR',trails
1503,1503,1503,202104140OKC,24.2,4.4,4th quarter,9:02.0,Alen Smailagić,GSW,False,2-pointer,1,128-89,'OKC',leads
1517,1517,1517,202104140OKC,25.4,3.8,4th quarter,2:25.0,Alen Smailagić,GSW,True,2-pointer,2,141-104,'OKC',leads
1519,1519,1519,202104140OKC,24.0,3.3,4th quarter,1:16.0,Alen Smailagić,GSW,True,2-pointer,0,143-107,'OKC',leads
515,515,515,202104270GSW,24.1,5.9,4th quarter,6:14.0,Alen Smailagić,GSW,False,2-pointer,3,79-117,'DAL',trails
522,522,522,202104270GSW,23.8,6.5,4th quarter,2:34.0,Alen Smailagić,GSW,True,2-pointer,3,96-125,'DAL',trails
748,748,748,202105010HOU,30.1,4.9,4th quarter,4:36.0,Alen Smailagić,GSW,False,2-pointer,6,103-79,'HOU',leads
749,749,749,202105010HOU,27.0,5.4,4th quarter,4:07.0,Alen Smailagić,GSW,False,2-pointer,4,103-81,'HOU',leads
