Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1588,1588,1588,200701050SEA,10.5,7.2,4th quarter,5:48.0,Andre Brown,SEA,False,2-pointer,14,80-105,'NYK',trails
1589,1589,1589,200701050SEA,24.0,5.0,4th quarter,4:37.0,Andre Brown,SEA,False,2-pointer,0,81-105,'NYK',trails
1590,1590,1590,200701050SEA,24.0,5.0,4th quarter,4:34.0,Andre Brown,SEA,True,2-pointer,0,83-105,'NYK',trails
1592,1592,1592,200701050SEA,24.0,5.0,4th quarter,4:08.0,Andre Brown,SEA,True,2-pointer,0,85-105,'NYK',trails
1593,1593,1593,200701050SEA,24.0,5.0,4th quarter,3:12.0,Andre Brown,SEA,True,2-pointer,0,87-107,'NYK',trails
1594,1594,1594,200701050SEA,24.0,5.0,4th quarter,2:31.0,Andre Brown,SEA,True,2-pointer,0,89-109,'NYK',trails
1595,1595,1595,200701050SEA,20.6,5.0,4th quarter,1:56.0,Andre Brown,SEA,False,2-pointer,3,89-109,'NYK',trails
1598,1598,1598,200701050SEA,28.4,6.3,4th quarter,0:50.9,Andre Brown,SEA,False,2-pointer,5,91-111,'NYK',trails
647,647,647,200701060GSW,24.1,9.3,2nd quarter,9:52.0,Andre Brown,SEA,True,2-pointer,4,32-32,'SEA',tied
663,663,663,200701060GSW,27.6,8.1,2nd quarter,0:47.9,Andre Brown,SEA,False,2-pointer,5,52-50,'SEA',leads
1884,1884,1884,200701120SEA,24.0,5.0,3rd quarter,4:53.0,Andre Brown,SEA,True,2-pointer,0,62-66,UTA,trails
1918,1918,1918,200701120SEA,24.0,5.0,1st overtime,0:01.6,Andre Brown,SEA,True,2-pointer,0,122-114,UTA,leads
425,425,425,200701160SEA,24.0,5.0,2nd quarter,6:06.0,Andre Brown,SEA,True,2-pointer,0,33-39,SEA,trails
426,426,426,200701160SEA,17.9,9.9,2nd quarter,5:06.0,Andre Brown,SEA,False,2-pointer,8,33-41,SEA,trails
429,429,429,200701160SEA,24.0,5.0,2nd quarter,4:53.0,Andre Brown,SEA,True,2-pointer,0,35-41,SEA,trails
434,434,434,200701160SEA,24.0,5.0,2nd quarter,2:24.0,Andre Brown,SEA,True,2-pointer,0,41-46,SEA,trails
435,435,435,200701160SEA,24.0,5.0,2nd quarter,2:01.0,Andre Brown,SEA,True,2-pointer,0,43-46,SEA,trails
1590,1590,1590,200701190SEA,24.0,5.0,2nd quarter,3:22.0,Andre Brown,SEA,True,2-pointer,0,47-23,'SEA',leads
1591,1591,1591,200701190SEA,19.6,7.5,2nd quarter,2:55.0,Andre Brown,SEA,True,2-pointer,5,49-23,'SEA',leads
1592,1592,1592,200701190SEA,26.4,5.3,2nd quarter,2:10.0,Andre Brown,SEA,False,2-pointer,2,49-25,'SEA',leads
1594,1594,1594,200701190SEA,19.4,5.7,2nd quarter,0:57.9,Andre Brown,SEA,False,2-pointer,5,51-27,'SEA',leads
1613,1613,1613,200701190SEA,24.0,5.0,3rd quarter,1:35.0,Andre Brown,SEA,True,2-pointer,0,77-47,'SEA',leads
1623,1623,1623,200701190SEA,24.6,22.1,4th quarter,7:53.0,Andre Brown,SEA,False,2-pointer,17,85-57,'SEA',leads
1627,1627,1627,200701190SEA,24.0,9.3,4th quarter,5:35.0,Andre Brown,SEA,True,2-pointer,4,93-66,'SEA',leads
1636,1636,1636,200701190SEA,27.9,7.6,4th quarter,0:48.2,Andre Brown,SEA,True,2-pointer,5,99-70,'SEA',leads
734,734,734,200701230SEA,24.0,5.0,1st quarter,0:04.9,Andre Brown,SEA,False,2-pointer,0,28-25,'SEA',leads
771,771,771,200701230SEA,24.0,5.0,3rd quarter,2:39.0,Andre Brown,SEA,False,2-pointer,0,72-77,'SEA',trails
1501,1501,1501,200701260SEA,24.0,5.0,2nd quarter,11:37.0,Andre Brown,SEA,False,2-pointer,0,25-21,'SEA',leads
968,968,968,200701280SEA,24.0,5.0,3rd quarter,1:19.0,Andre Brown,SEA,False,2-pointer,0,49-86,'SEA',trails
971,971,971,200701280SEA,24.0,5.0,3rd quarter,0:22.8,Andre Brown,SEA,False,2-pointer,0,51-86,'SEA',trails
974,974,974,200701280SEA,34.8,9.6,4th quarter,11:24.0,Andre Brown,SEA,False,2-pointer,12,56-89,'SEA',trails
976,976,976,200701280SEA,24.0,5.0,4th quarter,10:55.0,Andre Brown,SEA,True,2-pointer,0,58-89,'SEA',trails
982,982,982,200701280SEA,28.3,10.9,4th quarter,5:20.0,Andre Brown,SEA,False,2-pointer,7,68-91,'SEA',trails
177,177,177,200701300DAL,24.0,5.0,1st quarter,2:19.0,Andre Brown,SEA,True,2-pointer,0,25-26,DAL,trails
209,209,209,200701300DAL,31.5,20.1,2nd quarter,0:00.3,Andre Brown,SEA,False,2-pointer,17,54-66,DAL,trails
229,229,229,200701300DAL,17.3,16.7,3rd quarter,0:37.9,Andre Brown,SEA,False,2-pointer,13,80-85,DAL,trails
244,244,244,200701300DAL,17.4,9.6,4th quarter,1:47.0,Andre Brown,SEA,False,2-pointer,8,98-114,DAL,trails
245,245,245,200701300DAL,20.2,9.3,4th quarter,1:45.0,Andre Brown,SEA,True,2-pointer,6,100-114,DAL,trails
246,246,246,200701300DAL,24.0,5.0,4th quarter,0:30.9,Andre Brown,SEA,True,2-pointer,0,102-120,DAL,trails
1316,1316,1316,200702050WAS,28.7,12.6,2nd quarter,4:04.0,Andre Brown,SEA,True,2-pointer,9,52-46,'SEA',leads
1351,1351,1351,200702050WAS,25.3,7.0,4th quarter,8:55.0,Andre Brown,SEA,False,2-pointer,2,83-95,'SEA',trails
