Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
38,38,38,200511070CHA,34.7,21.1,2nd quarter,1:43.0,Andre Owens,UTA,True,2-pointer,19,37-35,'UTA',leads
40,40,40,200511070CHA,24.0,5.0,2nd quarter,0:09.9,Andre Owens,UTA,False,2-pointer,0,39-39,'UTA',tied
41,41,41,200511070CHA,24.0,5.0,2nd quarter,0:08.0,Andre Owens,UTA,False,2-pointer,0,39-39,'UTA',tied
1105,1105,1105,200511090NJN,24.0,5.0,1st quarter,0:01.3,Andre Owens,UTA,False,2-pointer,0,24-25,'NJN',trails
1106,1106,1106,200511090NJN,8.2,24.4,2nd quarter,10:41.0,Andre Owens,UTA,False,3-pointer,25,25-27,'NJN',trails
1206,1206,1206,200511110TOR,43.9,19.5,2nd quarter,10:56.0,Andre Owens,UTA,False,3-pointer,25,18-23,'TOR',trails
1211,1211,1211,200511110TOR,1.8,17.2,2nd quarter,8:25.0,Andre Owens,UTA,True,3-pointer,25,25-23,'TOR',leads
1214,1214,1214,200511110TOR,39.9,6.7,2nd quarter,6:31.0,Andre Owens,UTA,True,2-pointer,16,29-23,'TOR',leads
1216,1216,1216,200511110TOR,4.3,4.4,2nd quarter,5:23.0,Andre Owens,UTA,True,2-pointer,20,33-23,'TOR',leads
1218,1218,1218,200511110TOR,32.9,22.1,2nd quarter,4:07.0,Andre Owens,UTA,True,2-pointer,19,37-25,'TOR',leads
1221,1221,1221,200511110TOR,24.0,5.0,2nd quarter,2:33.0,Andre Owens,UTA,False,2-pointer,0,39-31,'TOR',leads
1225,1225,1225,200511110TOR,45.7,18.5,2nd quarter,0:29.9,Andre Owens,UTA,False,3-pointer,26,44-33,'TOR',leads
1244,1244,1244,200511110TOR,44.4,6.0,4th quarter,11:32.0,Andre Owens,UTA,True,2-pointer,20,70-58,'TOR',leads
1252,1252,1252,200511110TOR,24.0,27.9,4th quarter,4:38.0,Andre Owens,UTA,True,2-pointer,23,88-76,'TOR',leads
172,172,172,200511120CHI,24.0,5.0,2nd quarter,11:03.0,Andre Owens,UTA,False,2-pointer,0,23-34,'UTA',trails
186,186,186,200511120CHI,41.7,25.7,2nd quarter,2:22.0,Andre Owens,UTA,True,3-pointer,27,39-49,'UTA',trails
393,393,393,200511140UTA,39.9,14.7,1st quarter,11:20.0,Andre Owens,UTA,True,2-pointer,19,2-1,'NYK',leads
395,395,395,200511140UTA,37.0,19.6,1st quarter,9:37.0,Andre Owens,UTA,False,2-pointer,20,2-6,'NYK',trails
398,398,398,200511140UTA,8.1,23.1,1st quarter,8:24.0,Andre Owens,UTA,True,3-pointer,24,7-6,'NYK',leads
401,401,401,200511140UTA,24.8,25.4,1st quarter,7:14.0,Andre Owens,UTA,False,2-pointer,20,7-7,'NYK',tied
405,405,405,200511140UTA,24.0,29.5,1st quarter,4:35.0,Andre Owens,UTA,False,3-pointer,25,7-8,'NYK',trails
423,423,423,200511140UTA,12.3,28.7,2nd quarter,6:14.0,Andre Owens,UTA,False,3-pointer,26,24-21,'NYK',leads
425,425,425,200511140UTA,24.0,5.0,2nd quarter,5:53.0,Andre Owens,UTA,False,2-pointer,0,24-23,'NYK',leads
427,427,427,200511140UTA,35.8,26.7,2nd quarter,4:14.0,Andre Owens,UTA,False,3-pointer,25,26-23,'NYK',leads
434,434,434,200511140UTA,24.0,5.0,3rd quarter,10:45.0,Andre Owens,UTA,True,2-pointer,0,40-37,'NYK',leads
