Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
426,426,426,201112250LAL,38.7,27.4,1st quarter,1:18.0,Andrew Goudelock,LAL,False,3-pointer,27,18-17,'LAL',leads
432,432,432,201112250LAL,41.4,25.8,2nd quarter,10:49.0,Andrew Goudelock,LAL,True,3-pointer,27,26-25,'LAL',leads
470,470,470,201112250LAL,11.3,28.0,4th quarter,11:27.0,Andrew Goudelock,LAL,True,3-pointer,26,72-68,'LAL',leads
1494,1494,1494,201112260SAC,1.7,10.2,1st quarter,1:14.0,Andrew Goudelock,LAL,False,3-pointer,23,17-19,'LAL',trails
1501,1501,1501,201112260SAC,36.4,27.5,2nd quarter,9:46.0,Andrew Goudelock,LAL,False,3-pointer,26,24-25,'LAL',trails
1508,1508,1508,201112260SAC,22.2,21.7,2nd quarter,7:13.0,Andrew Goudelock,LAL,False,2-pointer,17,30-32,'LAL',trails
1562,1562,1562,201112260SAC,44.3,5.9,4th quarter,0:05.3,Andrew Goudelock,LAL,False,2-pointer,20,89-100,'LAL',trails
158,158,158,201112270LAL,36.5,16.5,4th quarter,0:27.9,Andrew Goudelock,LAL,False,2-pointer,17,96-71,'LAL',leads
428,428,428,201201060LAL,23.3,31.5,1st quarter,0:00.2,Andrew Goudelock,LAL,False,3-pointer,27,20-22,'LAL',trails
429,429,429,201201060LAL,30.7,5.4,2nd quarter,9:32.0,Andrew Goudelock,LAL,True,2-pointer,7,23-27,'LAL',trails
112,112,112,201201080LAL,4.1,6.7,1st quarter,0:05.9,Andrew Goudelock,LAL,False,2-pointer,20,29-22,'LAL',leads
148,148,148,201201080LAL,5.2,17.9,4th quarter,11:19.0,Andrew Goudelock,LAL,False,2-pointer,23,78-68,'LAL',leads
631,631,631,201201100LAL,38.0,27.2,4th quarter,8:55.0,Andrew Goudelock,LAL,False,3-pointer,26,75-74,'LAL',leads
926,926,926,201201130LAL,31.3,29.4,4th quarter,9:44.0,Andrew Goudelock,LAL,False,3-pointer,25,82-72,'LAL',leads
936,936,936,201201200ORL,24.7,30.4,1st quarter,1:18.0,Andrew Goudelock,LAL,False,3-pointer,25,8-18,'LAL',trails
1080,1080,1080,201201250LAL,22.1,12.7,1st quarter,3:29.0,Andrew Goudelock,LAL,True,2-pointer,8,17-21,'LAL',trails
1082,1082,1082,201201250LAL,0.3,8.4,1st quarter,2:37.0,Andrew Goudelock,LAL,True,3-pointer,24,23-23,'LAL',tied
1091,1091,1091,201201250LAL,32.6,12.5,2nd quarter,8:10.0,Andrew Goudelock,LAL,True,2-pointer,11,31-32,'LAL',trails
1093,1093,1093,201201250LAL,0.0,11.7,2nd quarter,6:56.0,Andrew Goudelock,LAL,True,3-pointer,25,36-37,'LAL',trails
1113,1113,1113,201201250LAL,16.7,29.6,3rd quarter,0:42.9,Andrew Goudelock,LAL,False,3-pointer,26,65-71,'LAL',trails
1118,1118,1118,201201250LAL,23.8,12.1,4th quarter,9:55.0,Andrew Goudelock,LAL,False,2-pointer,7,72-73,'LAL',trails
1119,1119,1119,201201250LAL,18.4,23.6,4th quarter,8:51.0,Andrew Goudelock,LAL,True,2-pointer,19,74-76,'LAL',trails
1120,1120,1120,201201250LAL,27.1,8.6,4th quarter,8:14.0,Andrew Goudelock,LAL,False,2-pointer,5,74-76,'LAL',trails
339,339,339,201201280MIL,9.9,25.9,1st quarter,4:34.0,Andrew Goudelock,LAL,False,3-pointer,25,15-12,'LAL',leads
342,342,342,201201280MIL,2.5,15.1,1st quarter,3:14.0,Andrew Goudelock,LAL,False,3-pointer,24,18-15,'LAL',leads
343,343,343,201201280MIL,23.2,30.5,1st quarter,2:46.0,Andrew Goudelock,LAL,True,3-pointer,26,21-15,'LAL',leads
346,346,346,201201280MIL,34.0,6.2,1st quarter,1:00.0,Andrew Goudelock,LAL,False,2-pointer,10,23-22,'LAL',leads
348,348,348,201201280MIL,32.9,23.3,2nd quarter,11:33.0,Andrew Goudelock,LAL,False,2-pointer,20,23-27,'LAL',trails
351,351,351,201201280MIL,13.7,28.5,2nd quarter,9:43.0,Andrew Goudelock,LAL,True,3-pointer,26,26-34,'LAL',trails
382,382,382,201201280MIL,12.8,7.2,3rd quarter,1:26.0,Andrew Goudelock,LAL,True,2-pointer,11,70-74,'LAL',trails
383,383,383,201201280MIL,6.0,21.8,3rd quarter,0:54.9,Andrew Goudelock,LAL,True,3-pointer,25,73-76,'LAL',trails
387,387,387,201201280MIL,36.7,3.7,4th quarter,10:40.0,Andrew Goudelock,LAL,True,2-pointer,13,75-82,'LAL',trails
391,391,391,201201280MIL,35.1,20.1,4th quarter,8:47.0,Andrew Goudelock,LAL,False,2-pointer,19,75-82,'LAL',trails
685,685,685,201201290MIN,31.5,23.3,1st quarter,2:31.0,Andrew Goudelock,LAL,False,2-pointer,20,20-17,'LAL',leads
688,688,688,201201290MIN,43.3,13.5,1st quarter,0:18.9,Andrew Goudelock,LAL,False,2-pointer,21,22-19,'LAL',leads
692,692,692,201201290MIN,29.9,13.0,2nd quarter,10:23.0,Andrew Goudelock,LAL,True,2-pointer,10,28-23,'LAL',leads
693,693,693,201201290MIN,10.7,25.9,2nd quarter,9:21.0,Andrew Goudelock,LAL,True,3-pointer,25,31-26,'LAL',leads
694,694,694,201201290MIN,35.9,23.7,2nd quarter,8:07.0,Andrew Goudelock,LAL,True,2-pointer,22,33-28,'LAL',leads
695,695,695,201201290MIN,23.0,14.3,2nd quarter,7:43.0,Andrew Goudelock,LAL,False,2-pointer,9,33-30,'LAL',leads
700,700,700,201201290MIN,33.4,28.3,2nd quarter,4:59.0,Andrew Goudelock,LAL,False,3-pointer,25,41-36,'LAL',leads
576,576,576,201201310LAL,28.5,21.8,1st quarter,1:13.0,Andrew Goudelock,LAL,True,2-pointer,17,28-15,'LAL',leads
577,577,577,201201310LAL,30.9,15.8,1st quarter,0:43.9,Andrew Goudelock,LAL,False,2-pointer,13,28-15,'LAL',leads
579,579,579,201201310LAL,33.1,11.1,2nd quarter,10:39.0,Andrew Goudelock,LAL,False,2-pointer,11,30-18,'LAL',leads
581,581,581,201201310LAL,40.6,25.3,2nd quarter,9:30.0,Andrew Goudelock,LAL,True,3-pointer,26,35-20,'LAL',leads
611,611,611,201201310LAL,33.5,12.5,3rd quarter,0:15.5,Andrew Goudelock,LAL,True,2-pointer,12,73-58,'LAL',leads
613,613,613,201201310LAL,36.4,28.0,4th quarter,10:57.0,Andrew Goudelock,LAL,False,3-pointer,26,73-60,'LAL',leads
617,617,617,201201310LAL,38.6,27.5,4th quarter,8:06.0,Andrew Goudelock,LAL,True,3-pointer,27,83-62,'LAL',leads
621,621,621,201201310LAL,33.7,29.1,4th quarter,5:43.0,Andrew Goudelock,LAL,False,3-pointer,26,89-68,'LAL',leads
631,631,631,201201310LAL,42.5,5.1,4th quarter,0:12.9,Andrew Goudelock,LAL,False,2-pointer,19,106-73,'LAL',leads
342,342,342,201202030DEN,36.9,15.7,1st quarter,2:21.0,Andrew Goudelock,LAL,False,2-pointer,17,23-14,'LAL',leads
347,347,347,201202030DEN,31.2,25.6,2nd quarter,10:57.0,Andrew Goudelock,LAL,False,2-pointer,22,23-23,'LAL',tied
350,350,350,201202030DEN,24.6,16.3,2nd quarter,8:44.0,Andrew Goudelock,LAL,True,2-pointer,11,30-25,'LAL',leads
