Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1797,1797,1797,201510300SAC,-0.3,3.7,4th quarter,0:37.0,Anthony Brown,LAL,True,3-pointer,24,114-132,'LAL',trails
1799,1799,1799,201510300SAC,48.3,4.1,4th quarter,0:01.0,Anthony Brown,LAL,False,3-pointer,24,114-132,'LAL',trails
1456,1456,1456,201512110SAS,24.9,2.9,4th quarter,0:25.0,Anthony Brown,LAL,False,2-pointer,0,85-109,'SAS',trails
1097,1097,1097,201512120HOU,2.1,-1.1,4th quarter,2:14.0,Anthony Brown,LAL,False,2-pointer,22,95-119,'HOU',trails
1098,1098,1098,201512120HOU,0.3,1.1,4th quarter,1:38.0,Anthony Brown,LAL,False,3-pointer,23,95-119,'HOU',trails
502,502,502,201512190OKC,7.1,21.0,1st quarter,7:13.0,Anthony Brown,LAL,False,3-pointer,24,9-13,'LAL',trails
526,526,526,201512190OKC,26.2,4.1,2nd quarter,6:14.0,Anthony Brown,LAL,False,2-pointer,2,25-51,'LAL',trails
532,532,532,201512190OKC,24.1,4.3,2nd quarter,2:12.0,Anthony Brown,LAL,True,2-pointer,1,32-62,'LAL',trails
538,538,538,201512190OKC,37.3,25.9,3rd quarter,10:58.0,Anthony Brown,LAL,False,3-pointer,26,41-67,'LAL',trails
543,543,543,201512190OKC,10.7,16.9,3rd quarter,7:46.0,Anthony Brown,LAL,True,2-pointer,19,47-77,'LAL',trails
548,548,548,201512190OKC,4.4,13.5,3rd quarter,4:36.0,Anthony Brown,LAL,False,2-pointer,22,52-79,'LAL',trails
569,569,569,201512190OKC,30.4,7.6,4th quarter,5:16.0,Anthony Brown,LAL,False,2-pointer,7,68-106,'LAL',trails
570,570,570,201512190OKC,25.0,3.7,4th quarter,5:14.0,Anthony Brown,LAL,False,2-pointer,1,68-106,'LAL',trails
576,576,576,201512190OKC,43.5,18.9,4th quarter,1:55.0,Anthony Brown,LAL,False,3-pointer,25,72-115,'LAL',trails
1144,1144,1144,201512230LAL,36.3,24.9,1st quarter,1:55.0,Anthony Brown,LAL,False,3-pointer,25,14-25,'LAL',trails
1145,1145,1145,201512230LAL,0.0,3.7,1st quarter,1:23.0,Anthony Brown,LAL,False,3-pointer,24,14-27,'LAL',trails
1194,1194,1194,201512230LAL,46.8,6.3,3rd quarter,0:19.0,Anthony Brown,LAL,False,3-pointer,23,61-90,'LAL',trails
1212,1212,1212,201512230LAL,24.2,4.6,4th quarter,1:19.0,Anthony Brown,LAL,True,2-pointer,1,85-116,'LAL',trails
1213,1213,1213,201512230LAL,38.1,22.8,4th quarter,0:32.0,Anthony Brown,LAL,False,3-pointer,24,85-120,'LAL',trails
1214,1214,1214,201512230LAL,39.1,21.8,4th quarter,0:01.0,Anthony Brown,LAL,False,3-pointer,24,85-120,'LAL',trails
246,246,246,201512270MEM,28.8,6.8,4th quarter,4:29.0,Anthony Brown,LAL,False,2-pointer,6,84-105,'LAL',trails
247,247,247,201512270MEM,28.5,6.8,4th quarter,4:26.0,Anthony Brown,LAL,False,2-pointer,5,84-105,'LAL',trails
256,256,256,201512270MEM,24.4,8.1,4th quarter,0:42.0,Anthony Brown,LAL,False,2-pointer,5,92-112,'LAL',trails
257,257,257,201512270MEM,23.6,28.2,4th quarter,0:27.0,Anthony Brown,LAL,False,3-pointer,25,92-112,'LAL',trails
264,264,264,201601010LAL,21.6,11.7,1st quarter,6:35.0,Anthony Brown,LAL,False,2-pointer,9,11-8,'LAL',leads
303,303,303,201601010LAL,9.2,12.0,3rd quarter,7:13.0,Anthony Brown,LAL,True,2-pointer,17,50-49,'LAL',leads
310,310,310,201601010LAL,36.8,24.4,3rd quarter,4:22.0,Anthony Brown,LAL,True,3-pointer,24,56-54,'LAL',leads
258,258,258,201601030LAL,34.5,20.5,1st quarter,6:26.0,Anthony Brown,LAL,False,2-pointer,20,10-6,'LAL',leads
282,282,282,201601030LAL,45.2,15.9,2nd quarter,3:47.0,Anthony Brown,LAL,False,3-pointer,24,40-16,'LAL',leads
295,295,295,201601030LAL,13.3,27.7,3rd quarter,9:04.0,Anthony Brown,LAL,False,3-pointer,26,54-28,'LAL',leads
