Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1708,1708,1708,202012290WAS,24.7,30.5,4th quarter,0:19.0,Anthony Gill,WAS,True,3-pointer,27,107-115,'WAS',trails
1221,1221,1221,202101110WAS,47.6,1.2,4th quarter,2:21.0,Anthony Gill,WAS,False,3-pointer,24,124-99,'PHO',leads
1223,1223,1223,202101110WAS,27.7,3.2,4th quarter,0:57.0,Anthony Gill,WAS,True,2-pointer,4,128-104,'PHO',leads
1084,1084,1084,202101240SAS,39.3,25.3,2nd quarter,11:13.0,Anthony Gill,WAS,False,3-pointer,27,26-26,'SAS',tied
174,174,174,202101260HOU,47.0,5.5,1st quarter,9:22.0,Anthony Gill,WAS,False,3-pointer,23,11-6,'HOU',leads
176,176,176,202101260HOU,25.0,3.9,1st quarter,8:23.0,Anthony Gill,WAS,True,2-pointer,1,13-10,'HOU',leads
208,208,208,202101260HOU,36.6,26.4,2nd quarter,2:13.0,Anthony Gill,WAS,False,3-pointer,26,45-53,'HOU',trails
220,220,220,202101260HOU,2.9,16.9,3rd quarter,6:41.0,Anthony Gill,WAS,False,3-pointer,25,56-58,'HOU',trails
898,898,898,202101270NOP,1.5,3.9,1st quarter,2:42.0,Anthony Gill,WAS,False,3-pointer,23,14-23,'NOP',trails
899,899,899,202101270NOP,6.7,18.4,1st quarter,1:49.0,Anthony Gill,WAS,False,2-pointer,23,14-28,'NOP',trails
591,591,591,202103230NYK,47.5,9.1,4th quarter,2:43.0,Anthony Gill,WAS,False,3-pointer,24,101-123,'NYK',trails
596,596,596,202103230NYK,24.8,3.4,4th quarter,0:19.0,Anthony Gill,WAS,True,2-pointer,1,113-131,'NYK',trails
1401,1401,1401,202104030WAS,26.8,30.6,4th quarter,2:02.0,Anthony Gill,WAS,False,3-pointer,27,83-103,'DAL',trails
1121,1121,1121,202104050TOR,34.3,26.9,3rd quarter,4:00.0,Anthony Gill,WAS,False,3-pointer,26,80-70,'TOR',leads
1122,1122,1122,202104050TOR,24.4,6.7,3rd quarter,3:25.0,Anthony Gill,WAS,False,2-pointer,3,80-72,'TOR',leads
1124,1124,1124,202104050TOR,25.3,4.9,3rd quarter,2:49.0,Anthony Gill,WAS,True,2-pointer,2,82-72,'TOR',leads
1125,1125,1125,202104050TOR,46.2,14.1,3rd quarter,2:14.0,Anthony Gill,WAS,False,3-pointer,25,82-72,'TOR',leads
1152,1152,1152,202104050TOR,26.0,9.0,4th quarter,1:25.0,Anthony Gill,WAS,False,2-pointer,6,98-100,'TOR',trails
772,772,772,202104100PHO,25.7,5.4,4th quarter,1:42.0,Anthony Gill,WAS,True,2-pointer,3,101-131,'PHO',trails
774,774,774,202104100PHO,25.1,30.3,4th quarter,0:44.0,Anthony Gill,WAS,True,3-pointer,27,106-134,'PHO',trails
1073,1073,1073,202104170WAS,21.3,11.8,4th quarter,0:58.0,Anthony Gill,WAS,False,2-pointer,9,119-100,'DET',leads
910,910,910,202104230OKC,1.7,4.9,2nd quarter,1:35.0,Anthony Gill,WAS,False,3-pointer,22,65-64,'OKC',leads
