Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
550,550,550,200102050PHI,32.3,33.5,4th quarter,0:23.1,Anthony Goldwire,DEN,False,3-pointer,30,80-99,'DEN',trails
179,179,179,200102060DET,43.1,24.4,2nd quarter,10:02.0,Anthony Goldwire,DEN,False,3-pointer,27,29-32,'DET',trails
183,183,183,200102060DET,25.8,24.4,2nd quarter,6:26.0,Anthony Goldwire,DEN,False,2-pointer,19,33-36,'DET',trails
225,225,225,200102060DET,32.3,23.8,4th quarter,4:20.0,Anthony Goldwire,DEN,True,2-pointer,21,72-89,'DET',trails
519,519,519,200102080TOR,1.9,16.4,2nd quarter,8:00.0,Anthony Goldwire,DEN,True,3-pointer,25,40-28,'TOR',leads
444,444,444,200102130DEN,4.9,25.9,2nd quarter,0:02.9,Anthony Goldwire,DEN,False,3-pointer,28,54-44,'NYK',leads
460,460,460,200102130DEN,0.5,5.7,3rd quarter,0:26.9,Anthony Goldwire,DEN,False,3-pointer,24,74-62,'NYK',leads
997,997,997,200102160SAC,2.1,16.6,2nd quarter,7:41.0,Anthony Goldwire,DEN,False,3-pointer,25,31-43,'SAC',trails
998,998,998,200102160SAC,2.1,16.0,2nd quarter,7:06.0,Anthony Goldwire,DEN,False,3-pointer,25,31-45,'SAC',trails
1034,1034,1034,200102160SAC,24.0,5.0,4th quarter,5:49.0,Anthony Goldwire,DEN,False,2-pointer,0,69-100,'SAC',trails
1038,1038,1038,200102160SAC,3.6,18.7,4th quarter,4:27.0,Anthony Goldwire,DEN,False,3-pointer,25,69-104,'SAC',trails
1043,1043,1043,200102160SAC,46.8,6.3,4th quarter,2:17.0,Anthony Goldwire,DEN,False,3-pointer,23,73-110,'SAC',trails
1044,1044,1044,200102160SAC,39.7,16.0,4th quarter,2:02.0,Anthony Goldwire,DEN,True,2-pointer,19,75-112,'SAC',trails
1045,1045,1045,200102160SAC,35.3,6.3,4th quarter,1:14.0,Anthony Goldwire,DEN,True,2-pointer,11,79-114,'SAC',trails
1046,1046,1046,200102160SAC,5.1,14.9,4th quarter,0:57.9,Anthony Goldwire,DEN,True,2-pointer,21,82-115,'SAC',trails
1130,1130,1130,200102210SEA,30.4,6.9,2nd quarter,10:42.0,Anthony Goldwire,DEN,False,2-pointer,7,27-42,'SEA',trails
1131,1131,1131,200102210SEA,40.3,14.7,2nd quarter,9:14.0,Anthony Goldwire,DEN,False,2-pointer,19,27-44,'SEA',trails
1132,1132,1132,200102210SEA,42.4,8.0,2nd quarter,8:38.0,Anthony Goldwire,DEN,True,2-pointer,19,29-47,'SEA',trails
1174,1174,1174,200102210SEA,17.1,7.6,4th quarter,8:12.0,Anthony Goldwire,DEN,False,2-pointer,7,78-108,'SEA',trails
1175,1175,1175,200102210SEA,43.1,20.8,4th quarter,7:42.0,Anthony Goldwire,DEN,False,3-pointer,25,78-110,'SEA',trails
1181,1181,1181,200102210SEA,46.8,17.5,4th quarter,5:38.0,Anthony Goldwire,DEN,False,3-pointer,26,82-114,'SEA',trails
1191,1191,1191,200102210SEA,48.3,5.9,4th quarter,0:02.7,Anthony Goldwire,DEN,False,3-pointer,24,96-127,'SEA',trails
570,570,570,200102240DEN,5.5,23.4,2nd quarter,10:57.0,Anthony Goldwire,DEN,False,3-pointer,26,29-19,'DEN',leads
576,576,576,200102240DEN,1.1,2.1,2nd quarter,8:04.0,Anthony Goldwire,DEN,True,3-pointer,23,38-28,'DEN',leads
1341,1341,1341,200103090SAC,6.4,18.3,2nd quarter,6:59.0,Anthony Goldwire,DEN,False,2-pointer,22,34-37,'SAC',trails
1344,1344,1344,200103090SAC,24.0,5.0,2nd quarter,6:22.0,Anthony Goldwire,DEN,False,2-pointer,0,34-37,'SAC',trails
160,160,160,200103180DEN,44.5,12.0,4th quarter,2:30.0,Anthony Goldwire,DEN,True,2-pointer,22,96-75,'NJN',leads
162,162,162,200103180DEN,43.9,5.0,4th quarter,1:10.0,Anthony Goldwire,DEN,False,2-pointer,20,96-78,'NJN',leads
209,209,209,200103280NJN,24.0,5.0,2nd quarter,6:13.0,Anthony Goldwire,DEN,True,2-pointer,0,43-36,'NJN',leads
212,212,212,200103280NJN,4.9,6.5,2nd quarter,4:15.0,Anthony Goldwire,DEN,False,2-pointer,19,45-40,'NJN',leads
270,270,270,200104030DEN,2.1,17.9,2nd quarter,10:52.0,Anthony Goldwire,DEN,True,3-pointer,25,28-23,'POR',leads
464,464,464,200104050DEN,43.7,16.4,4th quarter,2:58.0,Anthony Goldwire,DEN,False,2-pointer,23,76-96,SAS,trails
587,587,587,200104070DEN,0.7,18.5,2nd quarter,11:14.0,Anthony Goldwire,DEN,False,3-pointer,27,29-28,'VAN',leads
592,592,592,200104070DEN,18.8,25.7,2nd quarter,8:01.0,Anthony Goldwire,DEN,False,2-pointer,21,33-33,'VAN',tied
205,205,205,200104100HOU,43.9,12.0,2nd quarter,6:37.0,Anthony Goldwire,DEN,False,2-pointer,21,44-37,'HOU',leads
210,210,210,200104100HOU,1.5,5.9,2nd quarter,4:04.0,Anthony Goldwire,DEN,False,3-pointer,23,46-43,'HOU',leads
437,437,437,200104130DEN,24.0,5.0,2nd quarter,9:56.0,Anthony Goldwire,DEN,True,2-pointer,0,31-22,'DEN',leads
441,441,441,200104130DEN,1.9,15.6,2nd quarter,7:37.0,Anthony Goldwire,DEN,True,3-pointer,25,41-24,'DEN',leads
442,442,442,200104130DEN,22.2,30.9,2nd quarter,6:35.0,Anthony Goldwire,DEN,False,3-pointer,26,41-26,'DEN',leads
495,495,495,200104130DEN,42.0,23.4,4th quarter,1:14.0,Anthony Goldwire,DEN,True,3-pointer,26,108-90,'DEN',leads
574,574,574,200104140SAS,39.9,19.1,2nd quarter,10:30.0,Anthony Goldwire,DEN,False,2-pointer,21,20-30,'SAS',trails
613,613,613,200104140SAS,7.2,6.3,3rd quarter,1:25.0,Anthony Goldwire,DEN,False,2-pointer,17,58-85,'SAS',trails
614,614,614,200104140SAS,24.1,9.0,3rd quarter,0:52.9,Anthony Goldwire,DEN,True,2-pointer,4,60-85,'SAS',trails
616,616,616,200104140SAS,24.1,4.8,3rd quarter,0:04.1,Anthony Goldwire,DEN,True,2-pointer,0,64-85,'SAS',trails
