Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1334,1334,1334,200010310POR,24.0,5.0,2nd quarter,0:00.8,Antonio Harvey,POR,False,2-pointer,0,44-53,'POR',trails
840,840,840,200011020PHO,11.6,7.8,4th quarter,0:52.9,Antonio Harvey,POR,False,2-pointer,13,80-106,POR,trails
1108,1108,1108,200011090POR,5.5,9.2,4th quarter,0:59.0,Antonio Harvey,POR,True,2-pointer,19,103-88,'POR',leads
1110,1110,1110,200011090POR,24.0,5.0,4th quarter,0:11.4,Antonio Harvey,POR,False,2-pointer,0,105-91,'POR',leads
204,204,204,200104060GSW,21.5,8.2,4th quarter,9:23.0,Antonio Harvey,POR,False,2-pointer,4,104-71,'POR',leads
208,208,208,200104060GSW,24.0,5.0,4th quarter,7:56.0,Antonio Harvey,POR,True,2-pointer,0,106-76,'POR',leads
209,209,209,200104060GSW,34.2,19.6,4th quarter,7:02.0,Antonio Harvey,POR,True,2-pointer,18,108-76,'POR',leads
210,210,210,200104060GSW,32.7,19.6,4th quarter,6:07.0,Antonio Harvey,POR,True,2-pointer,17,110-79,'POR',leads
215,215,215,200104060GSW,24.1,17.2,4th quarter,3:13.0,Antonio Harvey,POR,True,2-pointer,12,115-82,'POR',leads
634,634,634,200104080SAC,17.3,7.6,2nd quarter,5:53.0,Antonio Harvey,POR,False,2-pointer,7,36-33,'POR',leads
638,638,638,200104080SAC,33.1,22.9,2nd quarter,4:01.0,Antonio Harvey,POR,False,2-pointer,20,38-37,'POR',leads
981,981,981,200104100POR,42.4,6.3,4th quarter,3:36.0,Antonio Harvey,POR,False,2-pointer,18,106-87,'POR',leads
983,983,983,200104100POR,24.0,5.0,4th quarter,2:37.0,Antonio Harvey,POR,False,2-pointer,0,106-88,'POR',leads
986,986,986,200104100POR,24.0,5.0,4th quarter,0:33.9,Antonio Harvey,POR,True,2-pointer,0,116-88,'POR',leads
903,903,903,200104120VAN,34.2,5.0,4th quarter,1:27.0,Antonio Harvey,POR,True,2-pointer,10,100-82,'POR',leads
1121,1121,1121,200104170POR,6.8,3.7,1st quarter,3:10.0,Antonio Harvey,POR,False,2-pointer,17,14-16,'SAS',trails
1126,1126,1126,200104170POR,11.8,7.6,2nd quarter,11:23.0,Antonio Harvey,POR,True,2-pointer,12,22-24,'SAS',trails
1129,1129,1129,200104170POR,24.0,5.0,2nd quarter,9:55.0,Antonio Harvey,POR,True,2-pointer,0,28-29,'SAS',trails
1135,1135,1135,200104170POR,31.0,6.5,2nd quarter,7:21.0,Antonio Harvey,POR,False,2-pointer,7,32-32,'SAS',tied
1136,1136,1136,200104170POR,13.3,21.7,2nd quarter,6:40.0,Antonio Harvey,POR,False,2-pointer,20,32-35,'SAS',trails
1142,1142,1142,200104170POR,21.5,17.7,2nd quarter,2:17.0,Antonio Harvey,POR,True,2-pointer,13,40-41,'SAS',trails
1143,1143,1143,200104170POR,24.0,5.0,2nd quarter,1:45.0,Antonio Harvey,POR,False,2-pointer,0,40-41,'SAS',trails
1145,1145,1145,200104170POR,24.0,5.0,2nd quarter,1:12.0,Antonio Harvey,POR,True,2-pointer,0,42-41,'SAS',leads
1151,1151,1151,200104170POR,6.8,4.4,3rd quarter,8:51.0,Antonio Harvey,POR,False,2-pointer,17,48-46,'SAS',leads
1152,1152,1152,200104170POR,24.0,5.0,3rd quarter,8:24.0,Antonio Harvey,POR,True,2-pointer,0,50-46,'SAS',leads
1176,1176,1176,200104170POR,26.6,6.9,4th quarter,7:20.0,Antonio Harvey,POR,False,2-pointer,3,77-85,'SAS',trails
1178,1178,1178,200104170POR,5.9,14.9,4th quarter,6:02.0,Antonio Harvey,POR,False,2-pointer,21,79-87,'SAS',trails
1179,1179,1179,200104170POR,31.0,10.9,4th quarter,5:30.0,Antonio Harvey,POR,True,2-pointer,9,81-87,'SAS',trails
33,33,33,200104220LAL,11.0,17.5,2nd quarter,2:32.0,Antonio Harvey,POR,False,2-pointer,18,41-42,'POR',trails
1361,1361,1361,200111160SEA,7.8,5.7,1st quarter,9:00.0,Antonio Harvey,SEA,False,2-pointer,16,11-4,'SEA',leads
1389,1389,1389,200111160SEA,24.0,5.0,2nd quarter,4:27.0,Antonio Harvey,SEA,True,2-pointer,0,49-40,'SEA',leads
1526,1526,1526,200111170SEA,31.0,3.7,1st quarter,7:55.0,Antonio Harvey,SEA,False,2-pointer,7,5-11,'SEA',trails
1532,1532,1532,200111170SEA,24.0,5.0,1st quarter,4:35.0,Antonio Harvey,SEA,False,2-pointer,0,13-16,'SEA',trails
1533,1533,1533,200111170SEA,24.0,5.0,1st quarter,4:33.0,Antonio Harvey,SEA,True,2-pointer,0,15-16,'SEA',trails
826,826,826,200112110LAL,24.7,9.7,1st quarter,8:17.0,Antonio Harvey,SEA,True,2-pointer,5,9-9,'LAL',tied
829,829,829,200112110LAL,14.2,18.7,1st quarter,6:41.0,Antonio Harvey,SEA,False,2-pointer,17,13-13,'LAL',tied
852,852,852,200112110LAL,10.6,9.2,2nd quarter,5:38.0,Antonio Harvey,SEA,False,2-pointer,14,47-37,'LAL',leads
863,863,863,200112110LAL,24.0,5.0,3rd quarter,11:43.0,Antonio Harvey,SEA,False,2-pointer,0,61-54,'LAL',leads
871,871,871,200112110LAL,24.7,11.3,3rd quarter,8:16.0,Antonio Harvey,SEA,False,2-pointer,6,65-61,'LAL',leads
9,9,9,200112120LAC,19.4,9.7,1st quarter,7:20.0,Antonio Harvey,SEA,False,2-pointer,7,5-11,'SEA',trails
1756,1756,1756,200112220SEA,4.7,9.5,4th quarter,0:32.7,Antonio Harvey,SEA,True,2-pointer,20,117-87,'SEA',leads
1327,1327,1327,200210300NJN,24.0,5.0,3rd quarter,8:08.0,Antonio Harvey,ATL,True,2-pointer,0,50-57,'NJN',trails
1345,1345,1345,200210300NJN,23.8,13.1,4th quarter,9:59.0,Antonio Harvey,ATL,False,2-pointer,8,65-81,'NJN',trails
1346,1346,1346,200210300NJN,25.3,14.1,4th quarter,9:56.0,Antonio Harvey,ATL,False,2-pointer,9,65-81,'NJN',trails
96,96,96,200210310ATL,28.3,8.1,1st quarter,1:29.0,Antonio Harvey,ATL,False,2-pointer,5,25-19,'UTA',leads
109,109,109,200210310ATL,24.0,5.0,2nd quarter,2:29.0,Antonio Harvey,ATL,True,2-pointer,0,46-42,'UTA',leads
