Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1464,1464,1464,200010310SAS,14.4,5.7,1st quarter,7:51.0,Avery Johnson,SAS,True,2-pointer,10,13-2,'SAS',leads
1465,1465,1465,200010310SAS,19.4,6.3,1st quarter,7:10.0,Avery Johnson,SAS,True,2-pointer,5,15-4,'SAS',leads
1468,1468,1468,200010310SAS,11.4,17.5,1st quarter,4:35.0,Avery Johnson,SAS,False,2-pointer,18,15-6,'SAS',leads
1492,1492,1492,200010310SAS,10.2,11.3,3rd quarter,8:20.0,Avery Johnson,SAS,False,2-pointer,15,57-50,'SAS',leads
1018,1018,1018,200011020SAS,35.9,13.7,1st quarter,7:17.0,Avery Johnson,SAS,True,2-pointer,15,10-8,SAS,leads
1020,1020,1020,200011020SAS,23.2,5.9,1st quarter,5:00.0,Avery Johnson,SAS,False,2-pointer,1,15-12,SAS,leads
1040,1040,1040,200011020SAS,8.9,12.0,2nd quarter,5:18.0,Avery Johnson,SAS,False,2-pointer,17,32-38,SAS,trails
1043,1043,1043,200011020SAS,22.4,5.4,2nd quarter,4:10.0,Avery Johnson,SAS,True,2-pointer,2,40-42,SAS,trails
1049,1049,1049,200011020SAS,11.0,9.2,2nd quarter,0:10.9,Avery Johnson,SAS,False,2-pointer,14,45-52,SAS,trails
1058,1058,1058,200011020SAS,18.2,5.9,3rd quarter,8:01.0,Avery Johnson,SAS,True,2-pointer,6,54-59,SAS,trails
1063,1063,1063,200011020SAS,37.2,15.6,3rd quarter,4:44.0,Avery Johnson,SAS,False,2-pointer,17,58-63,SAS,trails
1082,1082,1082,200011020SAS,27.2,11.6,4th quarter,5:13.0,Avery Johnson,SAS,True,2-pointer,7,88-82,SAS,leads
1084,1084,1084,200011020SAS,23.2,5.0,4th quarter,3:56.0,Avery Johnson,SAS,True,2-pointer,1,93-82,SAS,leads
1086,1086,1086,200011020SAS,25.8,5.0,4th quarter,1:31.0,Avery Johnson,SAS,True,2-pointer,2,100-85,SAS,leads
612,612,612,200011040GSW,21.1,6.3,1st quarter,6:46.0,Avery Johnson,SAS,False,2-pointer,3,7-11,'SAS',trails
615,615,615,200011040GSW,21.1,20.2,1st quarter,5:39.0,Avery Johnson,SAS,True,2-pointer,15,9-15,'SAS',trails
648,648,648,200011040GSW,34.8,19.6,2nd quarter,0:27.0,Avery Johnson,SAS,True,2-pointer,18,57-45,'SAS',leads
652,652,652,200011040GSW,24.0,5.0,3rd quarter,9:35.0,Avery Johnson,SAS,True,2-pointer,0,65-52,'SAS',leads
656,656,656,200011040GSW,6.6,3.9,3rd quarter,6:08.0,Avery Johnson,SAS,False,2-pointer,17,72-59,'SAS',leads
681,681,681,200011040GSW,24.0,5.0,4th quarter,3:30.0,Avery Johnson,SAS,False,2-pointer,0,107-96,'SAS',leads
473,473,473,200011070PHO,24.0,5.0,1st quarter,6:17.0,Avery Johnson,SAS,False,2-pointer,0,8-10,'SAS',trails
494,494,494,200011070PHO,36.9,16.2,2nd quarter,3:55.0,Avery Johnson,SAS,True,2-pointer,17,34-44,'SAS',trails
495,495,495,200011070PHO,22.2,14.1,2nd quarter,3:04.0,Avery Johnson,SAS,False,2-pointer,9,34-47,'SAS',trails
498,498,498,200011070PHO,24.0,5.0,2nd quarter,0:35.9,Avery Johnson,SAS,False,2-pointer,0,36-53,'SAS',trails
505,505,505,200011070PHO,8.7,2.3,3rd quarter,7:11.0,Avery Johnson,SAS,False,2-pointer,16,47-57,'SAS',trails
507,507,507,200011070PHO,24.0,5.0,3rd quarter,5:53.0,Avery Johnson,SAS,False,2-pointer,0,49-59,'SAS',trails
528,528,528,200011070PHO,15.0,20.2,4th quarter,6:19.0,Avery Johnson,SAS,True,2-pointer,18,70-88,'SAS',trails
1544,1544,1544,200011080SAS,36.5,12.6,1st quarter,7:44.0,Avery Johnson,SAS,True,2-pointer,15,10-8,'SAS',leads
1575,1575,1575,200011080SAS,19.0,6.5,2nd quarter,4:11.0,Avery Johnson,SAS,False,2-pointer,5,40-31,'SAS',leads
1580,1580,1580,200011080SAS,38.0,9.2,2nd quarter,0:34.9,Avery Johnson,SAS,False,2-pointer,15,48-39,'SAS',leads
1589,1589,1589,200011080SAS,16.9,20.6,3rd quarter,7:23.0,Avery Johnson,SAS,False,2-pointer,17,54-47,'SAS',leads
1612,1612,1612,200011080SAS,22.4,5.4,4th quarter,3:00.0,Avery Johnson,SAS,True,2-pointer,2,85-76,'SAS',leads
1615,1615,1615,200011080SAS,11.0,20.0,4th quarter,0:58.9,Avery Johnson,SAS,False,2-pointer,20,89-79,'SAS',leads
178,178,178,200011100DAL,25.8,9.2,1st quarter,0:02.5,Avery Johnson,SAS,False,2-pointer,5,19-24,'SAS',trails
180,180,180,200011100DAL,7.4,14.3,2nd quarter,10:37.0,Avery Johnson,SAS,False,2-pointer,19,21-28,'SAS',trails
181,181,181,200011100DAL,24.0,5.0,2nd quarter,10:06.0,Avery Johnson,SAS,True,2-pointer,0,23-30,'SAS',trails
182,182,182,200011100DAL,24.0,5.0,2nd quarter,9:38.0,Avery Johnson,SAS,True,2-pointer,0,25-30,'SAS',trails
202,202,202,200011100DAL,20.3,20.0,3rd quarter,10:40.0,Avery Johnson,SAS,False,2-pointer,15,39-42,'SAS',trails
207,207,207,200011100DAL,25.1,18.7,3rd quarter,7:57.0,Avery Johnson,SAS,False,2-pointer,14,41-44,'SAS',trails
208,208,208,200011100DAL,24.0,5.0,3rd quarter,7:29.0,Avery Johnson,SAS,True,2-pointer,0,43-44,'SAS',trails
242,242,242,200011100DAL,47.3,8.6,4th quarter,0:04.1,Avery Johnson,SAS,True,3-pointer,24,77-77,'SAS',tied
1460,1460,1460,200011110SAS,38.6,3.1,1st quarter,11:30.0,Avery Johnson,SAS,False,2-pointer,15,0-0,'SAS',tied
