Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
152,152,152,200011080DAL,19.0,5.0,4th quarter,4:01.0,Bill Curley,DAL,False,2-pointer,5,66-93,'DAL',trails
156,156,156,200011080DAL,24.0,5.0,4th quarter,2:11.0,Bill Curley,DAL,False,2-pointer,0,70-98,'DAL',trails
77,77,77,200011130LAC,47.5,5.4,4th quarter,0:21.9,Bill Curley,DAL,False,3-pointer,24,90-76,'DAL',leads
314,314,314,200011250DAL,24.0,5.0,4th quarter,0:20.1,Bill Curley,DAL,True,2-pointer,0,108-84,'DAL',leads
825,825,825,200012020GSW,17.3,7.1,4th quarter,1:59.0,Bill Curley,GSW,False,2-pointer,7,71-91,'DAL',trails
827,827,827,200012020GSW,24.0,5.0,4th quarter,1:03.0,Bill Curley,GSW,True,2-pointer,0,74-95,'DAL',trails
617,617,617,200012080GSW,15.2,21.0,4th quarter,11:31.0,Bill Curley,GSW,False,2-pointer,18,68-83,'TOR',trails
618,618,618,200012080GSW,22.2,7.8,4th quarter,11:28.0,Bill Curley,GSW,True,2-pointer,3,70-83,'TOR',trails
1306,1306,1306,200012090UTA,33.4,22.9,2nd quarter,10:09.0,Bill Curley,GSW,False,2-pointer,20,42-34,'UTA',leads
1311,1311,1311,200012090UTA,18.0,7.8,2nd quarter,7:37.0,Bill Curley,GSW,False,2-pointer,7,51-43,'UTA',leads
991,991,991,200012220SAS,24.3,6.5,4th quarter,0:47.4,Bill Curley,GSW,True,2-pointer,2,87-105,'SAS',trails
993,993,993,200012220SAS,21.1,5.9,4th quarter,0:13.9,Bill Curley,GSW,False,2-pointer,3,87-105,'SAS',trails
1676,1676,1676,200012300VAN,31.7,22.7,2nd quarter,6:27.0,Bill Curley,GSW,False,2-pointer,19,50-34,'VAN',leads
1679,1679,1679,200012300VAN,25.1,7.8,2nd quarter,3:33.0,Bill Curley,GSW,True,2-pointer,3,56-43,'VAN',leads
1706,1706,1706,200012300VAN,27.9,24.8,4th quarter,11:07.0,Bill Curley,GSW,True,2-pointer,20,80-81,'VAN',trails
1709,1709,1709,200012300VAN,16.1,8.4,4th quarter,9:24.0,Bill Curley,GSW,False,2-pointer,9,81-85,'VAN',trails
1712,1712,1712,200012300VAN,20.3,7.1,4th quarter,7:42.0,Bill Curley,GSW,True,2-pointer,4,88-87,'VAN',leads
34,34,34,200101050BOS,23.0,7.8,2nd quarter,4:07.0,Bill Curley,GSW,False,2-pointer,3,39-41,'BOS',trails
669,669,669,200101080MIA,24.0,5.0,2nd quarter,9:54.0,Bill Curley,GSW,True,2-pointer,0,27-25,'MIA',leads
708,708,708,200101080MIA,24.0,5.0,4th quarter,8:57.0,Bill Curley,GSW,False,2-pointer,0,57-73,'MIA',trails
713,713,713,200101080MIA,25.8,23.8,4th quarter,5:21.0,Bill Curley,GSW,False,2-pointer,19,65-77,'MIA',trails
