Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
815,815,815,200803210MIA,1.3,5.0,4th quarter,6:19.0,Blake Ahearn,MIA,True,3-pointer,23,74-94,'MIA',trails
821,821,821,200803210MIA,33.8,27.5,4th quarter,1:29.0,Blake Ahearn,MIA,False,3-pointer,25,83-100,'MIA',trails
823,823,823,200803210MIA,24.0,5.0,4th quarter,0:05.4,Blake Ahearn,MIA,False,2-pointer,0,86-103,'MIA',trails
824,824,824,200803210MIA,1.5,16.0,4th quarter,0:02.6,Blake Ahearn,MIA,False,3-pointer,25,86-103,'MIA',trails
230,230,230,200803220CHA,24.0,5.0,4th quarter,2:15.0,Blake Ahearn,MIA,False,2-pointer,0,79-94,'MIA',trails
231,231,231,200803220CHA,24.0,5.0,4th quarter,1:35.0,Blake Ahearn,MIA,False,2-pointer,0,79-94,'MIA',trails
951,951,951,200803240MIA,29.6,30.2,2nd quarter,7:30.0,Blake Ahearn,MIA,False,3-pointer,26,21-29,'MIA',trails
978,978,978,200803240MIA,3.8,18.7,4th quarter,9:02.0,Blake Ahearn,MIA,False,3-pointer,24,58-55,'MIA',leads
979,979,979,200803240MIA,5.6,22.8,4th quarter,8:37.0,Blake Ahearn,MIA,False,3-pointer,26,58-55,'MIA',leads
987,987,987,200803260NYK,47.5,0.3,2nd quarter,10:00.0,Blake Ahearn,MIA,False,3-pointer,24,24-29,'MIA',trails
991,991,991,200803260NYK,43.9,20.5,2nd quarter,8:25.0,Blake Ahearn,MIA,False,3-pointer,25,26-31,'MIA',trails
1027,1027,1027,200803260NYK,18.6,8.8,4th quarter,10:53.0,Blake Ahearn,MIA,False,2-pointer,7,68-67,'MIA',leads
1033,1033,1033,200803260NYK,47.5,2.1,4th quarter,6:34.0,Blake Ahearn,MIA,False,3-pointer,24,74-80,'MIA',trails
