Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
536,536,536,200810310MIA,41.7,24.2,4th quarter,11:37.0,Bobby Brown,SAC,False,3-pointer,26,47-78,'MIA',trails
545,545,545,200810310MIA,24.0,5.0,4th quarter,6:35.0,Bobby Brown,SAC,True,2-pointer,0,61-94,'MIA',trails
550,550,550,200810310MIA,27.2,30.2,4th quarter,4:31.0,Bobby Brown,SAC,False,3-pointer,25,63-96,'MIA',trails
555,555,555,200810310MIA,24.0,5.0,4th quarter,1:30.0,Bobby Brown,SAC,True,2-pointer,0,76-100,'MIA',trails
827,827,827,200811030PHI,0.8,3.7,3rd quarter,1:46.0,Bobby Brown,SAC,True,3-pointer,23,65-89,'SAC',trails
828,828,828,200811030PHI,24.0,5.0,3rd quarter,0:14.9,Bobby Brown,SAC,False,2-pointer,0,65-92,'SAC',trails
829,829,829,200811030PHI,24.0,5.0,3rd quarter,0:00.9,Bobby Brown,SAC,False,2-pointer,0,65-93,'SAC',trails
831,831,831,200811030PHI,13.2,13.9,4th quarter,10:11.0,Bobby Brown,SAC,False,2-pointer,14,65-95,'SAC',trails
843,843,843,200811030PHI,36.5,18.1,4th quarter,3:53.0,Bobby Brown,SAC,True,2-pointer,18,79-114,'SAC',trails
848,848,848,200811030PHI,42.1,25.5,4th quarter,1:21.0,Bobby Brown,SAC,False,3-pointer,27,85-122,'SAC',trails
1757,1757,1757,200811050SAC,44.4,8.1,1st quarter,2:29.0,Bobby Brown,SAC,True,2-pointer,21,18-12,'SAC',leads
1759,1759,1759,200811050SAC,30.1,24.8,1st quarter,1:26.0,Bobby Brown,SAC,True,2-pointer,21,20-14,'SAC',leads
1774,1774,1774,200811050SAC,47.1,8.9,2nd quarter,7:26.0,Bobby Brown,SAC,True,3-pointer,23,38-27,'SAC',leads
1803,1803,1803,200811050SAC,24.9,29.9,4th quarter,8:33.0,Bobby Brown,SAC,True,3-pointer,25,90-72,'SAC',leads
1551,1551,1551,200811070SAC,21.1,30.8,1st quarter,1:40.0,Bobby Brown,SAC,True,3-pointer,26,34-22,'SAC',leads
1554,1554,1554,200811070SAC,24.0,5.0,2nd quarter,11:04.0,Bobby Brown,SAC,True,2-pointer,0,38-32,'SAC',leads
1589,1589,1589,200811070SAC,18.4,29.4,3rd quarter,2:02.0,Bobby Brown,SAC,True,3-pointer,25,88-73,'SAC',leads
1590,1590,1590,200811070SAC,31.5,23.9,3rd quarter,1:00.0,Bobby Brown,SAC,False,2-pointer,20,90-75,'SAC',leads
1601,1601,1601,200811070SAC,34.8,19.6,4th quarter,7:48.0,Bobby Brown,SAC,False,2-pointer,18,103-86,'SAC',leads
1221,1221,1221,200811090SAC,17.3,7.8,2nd quarter,11:47.0,Bobby Brown,SAC,False,2-pointer,7,36-33,'SAC',leads
1224,1224,1224,200811090SAC,26.4,26.1,2nd quarter,11:14.0,Bobby Brown,SAC,True,2-pointer,21,38-33,'SAC',leads
1226,1226,1226,200811090SAC,41.0,25.6,2nd quarter,10:41.0,Bobby Brown,SAC,False,3-pointer,27,38-33,'SAC',leads
1229,1229,1229,200811090SAC,47.3,9.2,2nd quarter,9:02.0,Bobby Brown,SAC,True,3-pointer,24,43-37,'SAC',leads
1234,1234,1234,200811090SAC,30.5,25.0,2nd quarter,7:06.0,Bobby Brown,SAC,True,2-pointer,21,49-41,'SAC',leads
1265,1265,1265,200811090SAC,42.9,7.0,3rd quarter,1:27.0,Bobby Brown,SAC,False,2-pointer,19,87-72,'SAC',leads
1266,1266,1266,200811090SAC,22.4,31.0,3rd quarter,0:55.9,Bobby Brown,SAC,True,3-pointer,26,90-72,'SAC',leads
1271,1271,1271,200811090SAC,30.7,7.8,4th quarter,9:34.0,Bobby Brown,SAC,True,2-pointer,7,95-75,'SAC',leads
1275,1275,1275,200811090SAC,24.0,5.0,4th quarter,5:50.0,Bobby Brown,SAC,False,2-pointer,0,101-84,'SAC',leads
1149,1149,1149,200811110SAC,25.2,29.9,4th quarter,11:33.0,Bobby Brown,SAC,True,3-pointer,25,80-77,'SAC',leads
