Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
372,372,372,200111020DET,8.3,12.8,4th quarter,6:49.0,Brandon Armstrong,NJN,False,2-pointer,18,76-93,'NJN',trails
374,374,374,200111020DET,35.0,22.1,4th quarter,6:13.0,Brandon Armstrong,NJN,False,2-pointer,20,76-93,'NJN',trails
376,376,376,200111020DET,15.4,8.4,4th quarter,5:22.0,Brandon Armstrong,NJN,False,2-pointer,9,79-93,'NJN',trails
378,378,378,200111020DET,24.0,5.0,4th quarter,4:29.0,Brandon Armstrong,NJN,False,2-pointer,0,79-93,'NJN',trails
385,385,385,200111020DET,7.4,10.1,4th quarter,0:49.2,Brandon Armstrong,NJN,False,2-pointer,17,88-100,'NJN',trails
649,649,649,200111160NJN,45.6,15.1,4th quarter,1:57.0,Brandon Armstrong,NJN,False,3-pointer,24,102-79,'NYK',leads
1403,1403,1403,200111170NJN,40.7,13.9,3rd quarter,5:39.0,Brandon Armstrong,NJN,False,2-pointer,19,47-63,'NJN',trails
1409,1409,1409,200111170NJN,21.3,13.2,3rd quarter,1:21.0,Brandon Armstrong,NJN,False,2-pointer,9,57-71,'NJN',trails
1411,1411,1411,200111170NJN,24.0,5.0,3rd quarter,0:39.6,Brandon Armstrong,NJN,True,2-pointer,0,60-73,'NJN',trails
1417,1417,1417,200111170NJN,47.3,4.4,4th quarter,9:37.0,Brandon Armstrong,NJN,False,3-pointer,23,62-75,'NJN',trails
1418,1418,1418,200111170NJN,33.4,21.5,4th quarter,8:33.0,Brandon Armstrong,NJN,False,2-pointer,19,62-75,'NJN',trails
254,254,254,200111220LAC,24.0,5.0,3rd quarter,0:50.5,Brandon Armstrong,NJN,False,2-pointer,0,71-64,'NJN',leads
256,256,256,200111220LAC,15.6,12.4,3rd quarter,0:00.1,Brandon Armstrong,NJN,False,2-pointer,11,71-66,'NJN',leads
77,77,77,200111250GSW,40.5,6.3,4th quarter,3:36.0,Brandon Armstrong,NJN,False,2-pointer,17,75-93,'NJN',trails
78,78,78,200111250GSW,24.9,13.9,4th quarter,3:02.0,Brandon Armstrong,NJN,False,2-pointer,9,75-95,'NJN',trails
80,80,80,200111250GSW,24.9,13.9,4th quarter,1:51.0,Brandon Armstrong,NJN,True,2-pointer,9,81-97,'NJN',trails
915,915,915,200111270NJN,20.5,10.5,2nd quarter,11:01.0,Brandon Armstrong,NJN,True,2-pointer,7,30-23,'NJN',leads
918,918,918,200111270NJN,25.1,23.6,2nd quarter,9:37.0,Brandon Armstrong,NJN,False,2-pointer,19,30-23,'NJN',leads
960,960,960,200111270NJN,36.7,17.2,4th quarter,10:27.0,Brandon Armstrong,NJN,False,2-pointer,18,80-50,'NJN',leads
963,963,963,200111270NJN,7.4,9.7,4th quarter,8:29.0,Brandon Armstrong,NJN,True,2-pointer,17,85-56,'NJN',leads
967,967,967,200111270NJN,32.5,20.8,4th quarter,6:49.0,Brandon Armstrong,NJN,True,2-pointer,18,87-58,'NJN',leads
973,973,973,200111270NJN,16.5,17.9,4th quarter,1:43.0,Brandon Armstrong,NJN,True,2-pointer,15,95-66,'NJN',leads
1138,1138,1138,200112010NJN,47.3,5.0,2nd quarter,9:52.0,Brandon Armstrong,NJN,False,3-pointer,23,29-15,'NJN',leads
1139,1139,1139,200112010NJN,8.3,6.9,2nd quarter,9:06.0,Brandon Armstrong,NJN,True,2-pointer,16,31-19,'NJN',leads
1140,1140,1140,200112010NJN,31.7,19.4,2nd quarter,8:36.0,Brandon Armstrong,NJN,True,2-pointer,16,33-19,'NJN',leads
1145,1145,1145,200112010NJN,14.8,18.7,2nd quarter,6:50.0,Brandon Armstrong,NJN,False,2-pointer,17,33-21,'NJN',leads
923,923,923,200112050NJN,13.9,19.4,2nd quarter,8:14.0,Brandon Armstrong,NJN,False,2-pointer,18,28-30,'NJN',trails
927,927,927,200112050NJN,34.2,24.2,2nd quarter,6:27.0,Brandon Armstrong,NJN,True,2-pointer,22,32-34,'NJN',trails
