Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
751,751,751,201910230MIA,24.4,14.8,1st quarter,2:34.0,Brandon Clarke,MEM,False,2-pointer,12,20-20,'MIA',tied
756,756,756,201910230MIA,-0.1,3.9,1st quarter,0:42.0,Brandon Clarke,MEM,True,3-pointer,24,29-24,'MIA',leads
770,770,770,201910230MIA,19.6,7.4,2nd quarter,4:41.0,Brandon Clarke,MEM,False,2-pointer,6,45-44,'MIA',leads
796,796,796,201910230MIA,20.6,3.3,3rd quarter,4:30.0,Brandon Clarke,MEM,True,2-pointer,3,76-75,'MIA',leads
807,807,807,201910230MIA,23.1,6.8,4th quarter,9:33.0,Brandon Clarke,MEM,False,2-pointer,4,86-90,'MIA',trails
824,824,824,201910230MIA,24.0,2.7,4th quarter,0:46.0,Brandon Clarke,MEM,True,2-pointer,1,99-120,'MIA',trails
956,956,956,201910250MEM,15.2,16.3,1st quarter,3:50.0,Brandon Clarke,MEM,False,2-pointer,16,20-16,'MEM',leads
963,963,963,201910250MEM,24.2,28.5,1st quarter,0:10.0,Brandon Clarke,MEM,False,3-pointer,25,29-25,'MEM',leads
976,976,976,201910250MEM,23.6,4.3,2nd quarter,5:39.0,Brandon Clarke,MEM,True,2-pointer,1,46-36,'MEM',leads
978,978,978,201910250MEM,30.1,14.7,2nd quarter,4:52.0,Brandon Clarke,MEM,True,2-pointer,13,48-36,'MEM',leads
987,987,987,201910250MEM,21.4,7.9,2nd quarter,0:22.0,Brandon Clarke,MEM,True,2-pointer,5,60-47,'MEM',leads
1003,1003,1003,201910250MEM,22.8,9.1,3rd quarter,5:14.0,Brandon Clarke,MEM,True,2-pointer,6,73-62,'MEM',leads
1005,1005,1005,201910250MEM,24.0,2.7,3rd quarter,4:18.0,Brandon Clarke,MEM,True,2-pointer,1,75-64,'MEM',leads
1007,1007,1007,201910250MEM,15.0,21.8,3rd quarter,3:04.0,Brandon Clarke,MEM,True,2-pointer,21,77-68,'MEM',leads
1008,1008,1008,201910250MEM,23.3,2.6,3rd quarter,2:28.0,Brandon Clarke,MEM,True,2-pointer,1,79-70,'MEM',leads
476,476,476,201910270MEM,29.6,28.5,1st quarter,5:34.0,Brandon Clarke,MEM,False,3-pointer,26,22-17,'MEM',leads
479,479,479,201910270MEM,24.4,28.4,1st quarter,2:59.0,Brandon Clarke,MEM,False,3-pointer,25,24-24,'MEM',tied
497,497,497,201910270MEM,23.5,9.1,2nd quarter,4:50.0,Brandon Clarke,MEM,True,2-pointer,6,52-47,'MEM',leads
501,501,501,201910270MEM,25.6,19.3,2nd quarter,3:32.0,Brandon Clarke,MEM,True,2-pointer,16,56-49,'MEM',leads
503,503,503,201910270MEM,1.0,3.1,2nd quarter,2:23.0,Brandon Clarke,MEM,False,3-pointer,23,56-52,'MEM',leads
