Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
466,466,466,201812220LAC,16.5,13.2,4th quarter,1:05.0,Brandon Goodwin,DEN,False,2-pointer,12,108-130,'DEN',trails
468,468,468,201812220LAC,26.9,5.7,4th quarter,0:34.0,Brandon Goodwin,DEN,False,2-pointer,4,108-132,'DEN',trails
469,469,469,201812220LAC,38.1,28.2,4th quarter,0:01.0,Brandon Goodwin,DEN,True,3-pointer,29,111-132,'DEN',trails
1697,1697,1697,201812260SAS,7.7,22.9,4th quarter,2:37.0,Brandon Goodwin,DEN,True,3-pointer,26,90-102,'SAS',trails
1703,1703,1703,201812260SAS,28.0,4.8,4th quarter,0:20.0,Brandon Goodwin,DEN,False,2-pointer,4,103-111,'SAS',trails
605,605,605,201901070HOU,23.7,3.7,4th quarter,1:51.0,Brandon Goodwin,DEN,True,2-pointer,0,106-120,'HOU',trails
181,181,181,201901100DEN,29.2,13.4,4th quarter,2:09.0,Brandon Goodwin,DEN,False,2-pointer,11,118-96,'DEN',leads
184,184,184,201901100DEN,28.3,4.7,4th quarter,0:48.0,Brandon Goodwin,DEN,False,2-pointer,4,118-100,'DEN',leads
354,354,354,201901150DEN,34.5,12.4,4th quarter,7:17.0,Brandon Goodwin,DEN,False,2-pointer,14,95-127,'DEN',trails
357,357,357,201901150DEN,11.7,18.8,4th quarter,5:19.0,Brandon Goodwin,DEN,False,2-pointer,20,98-131,'DEN',trails
359,359,359,201901150DEN,27.3,4.1,4th quarter,4:39.0,Brandon Goodwin,DEN,False,2-pointer,3,100-131,'DEN',trails
366,366,366,201901150DEN,10.6,24.1,4th quarter,1:06.0,Brandon Goodwin,DEN,False,3-pointer,25,106-140,'DEN',trails
367,367,367,201901150DEN,21.1,3.6,4th quarter,0:28.0,Brandon Goodwin,DEN,True,2-pointer,3,109-140,'DEN',trails
357,357,357,201901170DEN,35.8,27.0,4th quarter,1:38.0,Brandon Goodwin,DEN,False,3-pointer,27,133-98,'DEN',leads
676,676,676,201901190DEN,25.6,4.7,4th quarter,2:55.0,Brandon Goodwin,DEN,False,2-pointer,2,118-93,'DEN',leads
680,680,680,201901190DEN,26.7,4.4,4th quarter,1:13.0,Brandon Goodwin,DEN,False,2-pointer,3,122-96,'DEN',leads
681,681,681,201901190DEN,33.2,8.7,4th quarter,0:30.0,Brandon Goodwin,DEN,False,2-pointer,11,122-99,'DEN',leads
364,364,364,201901260DEN,24.5,3.6,4th quarter,0:46.0,Brandon Goodwin,DEN,True,2-pointer,1,126-108,'DEN',leads
283,283,283,201902040DET,6.8,3.4,4th quarter,4:41.0,Brandon Goodwin,DEN,False,2-pointer,17,95-122,'DET',trails
285,285,285,201902040DET,11.9,28.2,4th quarter,4:01.0,Brandon Goodwin,DEN,False,3-pointer,28,98-122,'DET',trails
288,288,288,201902040DET,18.1,8.3,4th quarter,2:31.0,Brandon Goodwin,DEN,False,2-pointer,8,98-127,'DET',trails
291,291,291,201902040DET,27.8,3.4,4th quarter,1:06.0,Brandon Goodwin,DEN,True,2-pointer,4,103-129,'DET',trails
293,293,293,201902040DET,14.4,28.3,4th quarter,0:10.0,Brandon Goodwin,DEN,False,3-pointer,27,103-129,'DET',trails
123,123,123,201912040ATL,46.3,7.5,2nd quarter,11:24.0,Brandon Goodwin,ATL,False,3-pointer,23,26-22,'ATL',leads
141,141,141,201912270ATL,23.9,15.1,3rd quarter,7:16.0,Brandon Goodwin,ATL,False,2-pointer,12,46-75,'MIL',trails
144,144,144,201912270ATL,26.3,28.9,3rd quarter,6:51.0,Brandon Goodwin,ATL,False,3-pointer,26,46-75,'MIL',trails
149,149,149,201912270ATL,22.0,28.2,3rd quarter,4:22.0,Brandon Goodwin,ATL,False,3-pointer,25,50-80,'MIL',trails
165,165,165,201912270ATL,47.1,6.0,4th quarter,8:03.0,Brandon Goodwin,ATL,False,3-pointer,23,70-95,'MIL',trails
