Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
731,731,731,200101050PHO,35.5,6.5,4th quarter,2:35.0,Brent Price,VAN,False,2-pointer,12,70-100,'PHO',trails
239,239,239,200101170DEN,46.2,17.5,4th quarter,5:44.0,Brent Price,VAN,True,3-pointer,25,85-104,'VAN',trails
243,243,243,200101170DEN,4.9,4.2,4th quarter,3:33.0,Brent Price,VAN,False,2-pointer,19,87-110,'VAN',trails
248,248,248,200101170DEN,39.9,10.7,4th quarter,0:21.9,Brent Price,VAN,False,2-pointer,17,96-121,'VAN',trails
1355,1355,1355,200101230SAS,31.7,30.1,4th quarter,0:46.9,Brent Price,VAN,False,3-pointer,26,75-107,'SAS',trails
1357,1357,1357,200101230SAS,30.2,14.9,4th quarter,0:15.9,Brent Price,VAN,True,2-pointer,12,77-110,'SAS',trails
64,64,64,200101250DAL,35.9,21.7,4th quarter,5:37.0,Brent Price,VAN,True,2-pointer,21,74-106,'DAL',trails
68,68,68,200101250DAL,36.5,25.7,4th quarter,2:58.0,Brent Price,VAN,False,3-pointer,24,76-116,'DAL',trails
69,69,69,200101250DAL,24.0,5.0,4th quarter,2:47.0,Brent Price,VAN,False,2-pointer,0,76-116,'DAL',trails
560,560,560,200101260HOU,43.9,20.4,4th quarter,4:55.0,Brent Price,VAN,False,3-pointer,25,80-101,'HOU',trails
561,561,561,200101260HOU,43.1,9.7,4th quarter,4:26.0,Brent Price,VAN,False,2-pointer,20,80-101,'HOU',trails
957,957,957,200111040SAC,5.7,12.2,4th quarter,2:36.0,Brent Price,SAC,False,2-pointer,20,99-78,'SAS',leads
959,959,959,200111040SAC,40.3,25.5,4th quarter,1:01.0,Brent Price,SAC,False,3-pointer,26,101-81,'SAS',leads
964,964,964,200111040SAC,24.0,5.0,4th quarter,0:11.3,Brent Price,SAC,True,2-pointer,0,103-83,'SAS',leads
1111,1111,1111,200111160SAC,43.1,21.0,4th quarter,2:02.0,Brent Price,SAC,False,3-pointer,25,101-64,'SAC',leads
337,337,337,200111190SAC,41.8,23.8,4th quarter,3:25.0,Brent Price,SAC,True,3-pointer,26,106-70,'HOU',leads
341,341,341,200111190SAC,34.0,27.6,4th quarter,0:46.9,Brent Price,SAC,True,3-pointer,25,111-77,'HOU',leads
1136,1136,1136,200112040SAC,5.1,3.7,4th quarter,0:36.8,Brent Price,SAC,True,2-pointer,19,94-82,'SAC',leads
1857,1857,1857,200112110SAC,36.1,26.9,4th quarter,1:05.0,Brent Price,SAC,False,3-pointer,25,107-97,'SAC',leads
1858,1858,1858,200112110SAC,24.0,5.0,4th quarter,0:35.4,Brent Price,SAC,True,2-pointer,0,110-99,'SAC',leads
239,239,239,200112120PHO,35.5,26.7,4th quarter,4:03.0,Brent Price,SAC,True,3-pointer,25,81-105,'SAC',trails
243,243,243,200112120PHO,26.2,10.9,4th quarter,2:27.0,Brent Price,SAC,False,2-pointer,6,84-109,'SAC',trails
573,573,573,200112140MIN,8.9,5.2,4th quarter,0:12.0,Brent Price,SAC,True,2-pointer,15,94-114,SAC,trails
644,644,644,200112160SAC,24.0,5.0,4th quarter,2:01.0,Brent Price,SAC,False,2-pointer,0,100-78,'SAC',leads
1245,1245,1245,200112190SEA,8.3,9.5,4th quarter,0:22.4,Brent Price,SAC,False,2-pointer,16,92-104,'SAC',trails
334,334,334,200112230SAC,25.6,30.7,4th quarter,2:01.0,Brent Price,SAC,False,3-pointer,26,123-95,'SAC',leads
336,336,336,200112230SAC,45.4,17.7,4th quarter,1:25.0,Brent Price,SAC,False,3-pointer,25,126-97,'SAC',leads
1650,1650,1650,200112260SAC,6.4,21.5,4th quarter,2:12.0,Brent Price,SAC,False,3-pointer,24,87-65,'POR',leads
942,942,942,200112300SAC,38.2,25.5,4th quarter,0:20.3,Brent Price,SAC,False,3-pointer,25,109-91,'SAC',leads
1549,1549,1549,200201260UTA,7.2,21.5,4th quarter,2:12.0,Brent Price,SAC,True,3-pointer,24,114-83,'SAC',leads
1550,1550,1550,200201260UTA,38.6,20.8,4th quarter,1:22.0,Brent Price,SAC,False,2-pointer,22,114-88,'SAC',leads
1275,1275,1275,200202010SAC,27.7,7.8,4th quarter,8:11.0,Brent Price,SAC,False,2-pointer,5,114-82,'SAC',leads
1280,1280,1280,200202010SAC,30.4,29.3,4th quarter,6:55.0,Brent Price,SAC,False,3-pointer,25,114-86,'SAC',leads
1288,1288,1288,200202010SAC,41.8,5.7,4th quarter,2:37.0,Brent Price,SAC,False,2-pointer,18,124-90,'SAC',leads
824,824,824,200204170LAL,4.0,23.1,2nd quarter,10:14.0,Brent Price,SAC,False,3-pointer,27,28-30,'LAL',trails
867,867,867,200204170LAL,20.7,30.5,4th quarter,8:14.0,Brent Price,SAC,False,3-pointer,26,80-89,'LAL',trails
871,871,871,200204170LAL,28.3,30.5,4th quarter,6:12.0,Brent Price,SAC,False,3-pointer,26,82-96,'LAL',trails
872,872,872,200204170LAL,24.0,5.0,4th quarter,5:51.0,Brent Price,SAC,True,2-pointer,0,84-96,'LAL',trails
