Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
468,468,468,200201310NJN,23.6,24.8,3rd quarter,2:17.0,Brian Scalabrine,NJN,True,2-pointer,20,86-77,'NJN',leads
577,577,577,200202020NJN,23.6,26.3,1st quarter,3:35.0,Brian Scalabrine,NJN,False,2-pointer,21,20-14,'NJN',leads
261,261,261,200202040NJN,29.4,30.5,2nd quarter,11:11.0,Brian Scalabrine,NJN,True,3-pointer,26,29-31,NJN,trails
313,313,313,200202040NJN,34.2,18.7,4th quarter,3:25.0,Brian Scalabrine,NJN,True,2-pointer,17,105-78,NJN,leads
186,186,186,200202150CHI,7.6,6.1,2nd quarter,7:20.0,Brian Scalabrine,NJN,False,2-pointer,16,30-18,'NJN',leads
795,795,795,200202170NJN,9.9,21.5,4th quarter,7:51.0,Brian Scalabrine,NJN,False,2-pointer,22,83-60,'NJN',leads
803,803,803,200202170NJN,27.7,9.7,4th quarter,1:03.0,Brian Scalabrine,NJN,False,2-pointer,6,95-77,'NJN',leads
473,473,473,200202190NJN,11.6,16.6,2nd quarter,3:35.0,Brian Scalabrine,NJN,False,2-pointer,17,64-46,'NJN',leads
477,477,477,200202190NJN,10.8,23.6,2nd quarter,1:15.0,Brian Scalabrine,NJN,True,2-pointer,23,73-48,'NJN',leads
496,496,496,200202190NJN,1.7,9.7,3rd quarter,4:53.0,Brian Scalabrine,NJN,False,3-pointer,23,85-77,'NJN',leads
1236,1236,1236,200202210WAS,23.0,24.4,4th quarter,0:47.9,Brian Scalabrine,NJN,False,2-pointer,19,91-80,'NJN',leads
753,753,753,200202220NJN,36.7,16.6,2nd quarter,9:41.0,Brian Scalabrine,NJN,True,2-pointer,17,43-20,'NYK',leads
798,798,798,200202220NJN,4.9,5.0,4th quarter,9:54.0,Brian Scalabrine,NJN,True,2-pointer,19,94-74,'NYK',leads
801,801,801,200202220NJN,36.7,21.5,4th quarter,8:20.0,Brian Scalabrine,NJN,False,2-pointer,21,97-74,'NYK',leads
811,811,811,200202220NJN,35.9,27.6,4th quarter,1:35.0,Brian Scalabrine,NJN,False,3-pointer,26,114-89,'NYK',leads
812,812,812,200202220NJN,14.8,21.5,4th quarter,1:21.0,Brian Scalabrine,NJN,False,2-pointer,19,115-89,'NYK',leads
742,742,742,200202240NJN,24.0,5.0,2nd quarter,11:39.0,Brian Scalabrine,NJN,False,2-pointer,0,18-28,'CHH',trails
350,350,350,200202270CHH,24.0,5.0,2nd quarter,10:31.0,Brian Scalabrine,NJN,False,2-pointer,0,18-29,'CHH',trails
390,390,390,200202270CHH,24.0,5.0,4th quarter,6:41.0,Brian Scalabrine,NJN,False,2-pointer,0,67-91,'CHH',trails
1271,1271,1271,200203010PHI,24.0,5.0,1st quarter,0:34.3,Brian Scalabrine,NJN,False,2-pointer,0,12-31,'NJN',trails
856,856,856,200203050LAL,47.3,4.2,1st quarter,1:56.0,Brian Scalabrine,NJN,False,3-pointer,23,21-16,'LAL',leads
858,858,858,200203050LAL,24.0,5.0,1st quarter,0:45.8,Brian Scalabrine,NJN,False,2-pointer,0,21-19,'LAL',leads
507,507,507,200203170MEM,24.0,5.0,2nd quarter,10:56.0,Brian Scalabrine,NJN,True,2-pointer,0,19-20,'NJN',trails
511,511,511,200203170MEM,23.6,10.7,2nd quarter,7:42.0,Brian Scalabrine,NJN,False,2-pointer,6,22-25,'NJN',trails
512,512,512,200203170MEM,24.0,5.0,2nd quarter,7:23.0,Brian Scalabrine,NJN,True,2-pointer,0,24-25,'NJN',trails
546,546,546,200203170MEM,38.6,4.8,4th quarter,11:19.0,Brian Scalabrine,NJN,False,2-pointer,15,70-55,'NJN',leads
549,549,549,200203170MEM,31.3,16.8,4th quarter,9:22.0,Brian Scalabrine,NJN,True,2-pointer,14,72-59,'NJN',leads
551,551,551,200203170MEM,24.0,5.0,4th quarter,7:59.0,Brian Scalabrine,NJN,False,2-pointer,0,74-61,'NJN',leads
563,563,563,200203170MEM,38.4,19.8,4th quarter,1:44.0,Brian Scalabrine,NJN,False,2-pointer,21,85-70,'NJN',leads
638,638,638,200203200NJN,27.7,26.9,4th quarter,0:46.7,Brian Scalabrine,NJN,False,2-pointer,22,97-80,'POR',leads
907,907,907,200203220NJN,24.0,5.0,4th quarter,10:25.0,Brian Scalabrine,NJN,True,2-pointer,0,88-66,'NJN',leads
918,918,918,200203220NJN,25.1,22.7,4th quarter,3:10.0,Brian Scalabrine,NJN,False,2-pointer,18,101-76,'NJN',leads
921,921,921,200203220NJN,24.0,5.0,4th quarter,1:17.0,Brian Scalabrine,NJN,False,2-pointer,0,103-82,'NJN',leads
61,61,61,200203260ATL,24.0,5.0,4th quarter,8:07.0,Brian Scalabrine,NJN,False,2-pointer,0,68-87,'NJN',trails
65,65,65,200203260ATL,32.1,10.7,4th quarter,5:24.0,Brian Scalabrine,NJN,False,2-pointer,10,72-94,'NJN',trails
67,67,67,200203260ATL,30.6,22.3,4th quarter,4:05.0,Brian Scalabrine,NJN,False,2-pointer,19,73-96,'NJN',trails
70,70,70,200203260ATL,24.0,5.0,4th quarter,1:39.0,Brian Scalabrine,NJN,True,2-pointer,0,75-101,'NJN',trails
527,527,527,200203270PHI,8.7,4.6,2nd quarter,8:33.0,Brian Scalabrine,NJN,True,2-pointer,15,15-18,'NJN',trails
530,530,530,200203270PHI,40.3,22.7,2nd quarter,6:19.0,Brian Scalabrine,NJN,True,3-pointer,24,22-22,'NJN',tied
1318,1318,1318,200204050NJN,9.1,3.7,4th quarter,3:30.0,Brian Scalabrine,NJN,False,2-pointer,15,105-77,'NJN',leads
1323,1323,1323,200204050NJN,24.0,5.0,4th quarter,1:40.0,Brian Scalabrine,NJN,True,2-pointer,0,107-83,'NJN',leads
954,954,954,200204090NJN,9.1,23.6,4th quarter,1:57.0,Brian Scalabrine,NJN,False,3-pointer,24,97-86,'NJN',leads
