Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
473,473,473,201702230GSW,17.7,7.6,4th quarter,2:03.0,Brice Johnson,LAC,False,2-pointer,7,102-121,'GSW',trails
410,410,410,201703160DEN,19.5,6.1,4th quarter,3:22.0,Brice Johnson,LAC,False,2-pointer,5,107-124,'DEN',trails
412,412,412,201703160DEN,25.7,4.8,4th quarter,1:55.0,Brice Johnson,LAC,True,2-pointer,2,112-126,'DEN',trails
413,413,413,201703160DEN,24.4,4.8,4th quarter,0:28.0,Brice Johnson,LAC,False,2-pointer,2,114-129,'DEN',trails
867,867,867,201704100LAC,30.8,4.8,4th quarter,2:06.0,Brice Johnson,LAC,False,2-pointer,7,121-90,'HOU',leads
869,869,869,201704100LAC,37.8,7.3,4th quarter,1:33.0,Brice Johnson,LAC,False,2-pointer,14,123-92,'HOU',leads
870,870,870,201704100LAC,24.2,3.7,4th quarter,0:26.0,Brice Johnson,LAC,True,2-pointer,0,125-94,'HOU',leads
829,829,829,201710210LAC,23.7,14.6,4th quarter,5:58.0,Brice Johnson,LAC,True,2-pointer,11,105-77,'PHO',leads
841,841,841,201710210LAC,24.5,6.2,4th quarter,1:20.0,Brice Johnson,LAC,True,2-pointer,3,124-87,'PHO',leads
499,499,499,201710300LAC,33.0,22.1,4th quarter,5:16.0,Brice Johnson,LAC,False,2-pointer,21,99-127,'GSW',trails
503,503,503,201710300LAC,9.8,14.8,4th quarter,3:23.0,Brice Johnson,LAC,True,2-pointer,18,106-132,'GSW',trails
504,504,504,201710300LAC,29.9,19.3,4th quarter,2:55.0,Brice Johnson,LAC,True,2-pointer,17,108-132,'GSW',trails
840,840,840,201711010LAC,22.0,6.2,4th quarter,4:47.0,Brice Johnson,LAC,False,2-pointer,3,109-88,'DAL',leads
1088,1088,1088,201711070SAS,24.0,2.4,4th quarter,0:10.0,Brice Johnson,LAC,True,2-pointer,0,107-120,'SAS',trails
598,598,598,201712020DAL,22.8,28.4,4th quarter,4:47.0,Brice Johnson,LAC,False,3-pointer,25,72-103,'DAL',trails
1825,1825,1825,201712150WAS,12.9,20.9,4th quarter,10:51.0,Brice Johnson,LAC,False,2-pointer,21,66-75,'WAS',trails
1848,1848,1848,201712150WAS,23.4,4.6,4th quarter,0:55.0,Brice Johnson,LAC,True,2-pointer,1,89-100,'WAS',trails
1628,1628,1628,201712180SAS,23.9,4.7,4th quarter,2:25.0,Brice Johnson,LAC,True,2-pointer,1,91-102,'SAS',trails
253,253,253,201802240MIA,21.5,3.5,4th quarter,1:31.0,Brice Johnson,MEM,False,2-pointer,2,89-115,'MIA',trails
254,254,254,201802240MIA,24.0,2.4,4th quarter,1:27.0,Brice Johnson,MEM,False,2-pointer,0,89-115,'MIA',trails
260,260,260,201802260BOS,25.7,5.0,4th quarter,1:19.0,Brice Johnson,MEM,True,2-pointer,2,93-107,'BOS',trails
263,263,263,201802260BOS,22.2,4.0,4th quarter,0:12.0,Brice Johnson,MEM,True,2-pointer,2,98-109,'BOS',trails
604,604,604,201803020MEM,26.3,18.1,1st quarter,2:36.0,Brice Johnson,MEM,False,2-pointer,15,20-27,'DEN',trails
607,607,607,201803020MEM,39.5,2.9,1st quarter,1:39.0,Brice Johnson,MEM,True,2-pointer,15,24-31,'DEN',trails
650,650,650,201803020MEM,24.5,21.9,3rd quarter,3:23.0,Brice Johnson,MEM,False,2-pointer,18,71-81,'DEN',trails
655,655,655,201803020MEM,23.2,3.8,3rd quarter,2:33.0,Brice Johnson,MEM,True,2-pointer,1,73-83,'DEN',trails
658,658,658,201803020MEM,22.8,4.7,3rd quarter,1:04.0,Brice Johnson,MEM,True,2-pointer,2,78-85,'DEN',trails
662,662,662,201803020MEM,27.2,25.6,4th quarter,10:24.0,Brice Johnson,MEM,False,2-pointer,22,80-95,'DEN',trails
554,554,554,201803030ORL,27.5,24.0,2nd quarter,6:10.0,Brice Johnson,MEM,False,2-pointer,21,40-38,'ORL',leads
558,558,558,201803030ORL,39.1,15.1,2nd quarter,4:18.0,Brice Johnson,MEM,False,2-pointer,19,46-40,'ORL',leads
559,559,559,201803030ORL,28.7,5.1,2nd quarter,3:54.0,Brice Johnson,MEM,False,2-pointer,5,46-42,'ORL',leads
562,562,562,201803030ORL,18.8,3.7,2nd quarter,2:22.0,Brice Johnson,MEM,False,2-pointer,5,46-50,'ORL',trails
563,563,563,201803030ORL,27.1,5.6,2nd quarter,2:11.0,Brice Johnson,MEM,True,2-pointer,4,48-50,'ORL',trails
586,586,586,201803030ORL,21.0,6.6,3rd quarter,1:42.0,Brice Johnson,MEM,False,2-pointer,4,77-75,'ORL',leads
587,587,587,201803030ORL,21.0,6.6,3rd quarter,1:42.0,Brice Johnson,MEM,False,2-pointer,4,77-75,'ORL',leads
588,588,588,201803030ORL,26.3,11.2,3rd quarter,1:00.0,Brice Johnson,MEM,False,2-pointer,8,77-77,'ORL',tied
244,244,244,201803100DAL,21.1,4.7,4th quarter,4:10.0,Brice Johnson,MEM,True,2-pointer,3,78-100,'DAL',trails
248,248,248,201803100DAL,16.2,10.3,4th quarter,1:55.0,Brice Johnson,MEM,True,2-pointer,10,80-107,'DAL',trails
249,249,249,201803100DAL,22.7,5.0,4th quarter,1:22.0,Brice Johnson,MEM,False,2-pointer,2,80-109,'DAL',trails
1110,1110,1110,201803210PHI,24.1,5.2,4th quarter,10:20.0,Brice Johnson,MEM,True,2-pointer,2,71-103,'MEM',trails
1111,1111,1111,201803210PHI,23.0,4.6,4th quarter,9:46.0,Brice Johnson,MEM,False,2-pointer,1,72-105,'MEM',trails
1113,1113,1113,201803210PHI,23.8,6.0,4th quarter,9:17.0,Brice Johnson,MEM,True,2-pointer,3,74-105,'MEM',trails
1126,1126,1126,201803210PHI,24.5,22.7,4th quarter,4:40.0,Brice Johnson,MEM,True,2-pointer,19,88-111,'MEM',trails
1127,1127,1127,201803210PHI,17.5,8.1,4th quarter,4:10.0,Brice Johnson,MEM,False,2-pointer,8,88-113,'MEM',trails
1135,1135,1135,201803210PHI,25.1,4.0,4th quarter,0:38.0,Brice Johnson,MEM,True,2-pointer,1,102-119,'MEM',trails
21,21,21,201803220CHO,39.7,16.6,2nd quarter,11:18.0,Brice Johnson,MEM,False,2-pointer,20,14-37,'CHO',trails
22,22,22,201803220CHO,24.0,3.0,2nd quarter,10:57.0,Brice Johnson,MEM,True,2-pointer,0,16-39,'CHO',trails
61,61,61,201803220CHO,26.2,24.0,3rd quarter,0:49.0,Brice Johnson,MEM,False,2-pointer,21,57-103,'CHO',trails
72,72,72,201803220CHO,8.0,14.6,4th quarter,3:46.0,Brice Johnson,MEM,False,2-pointer,19,72-128,'CHO',trails
