Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
629,629,629,200011210IND,-0.2,6.3,3rd quarter,2:55.0,Bruno Šundov,IND,False,3-pointer,24,64-62,'HOU',leads
155,155,155,200011230IND,33.6,5.0,4th quarter,2:30.0,Bruno Šundov,IND,True,2-pointer,10,84-107,'IND',trails
157,157,157,200011230IND,24.9,9.7,4th quarter,1:26.0,Bruno Šundov,IND,True,2-pointer,5,89-110,'IND',trails
934,934,934,200011240IND,42.4,7.6,4th quarter,3:05.0,Bruno Šundov,IND,True,2-pointer,19,97-78,'IND',leads
936,936,936,200011240IND,38.8,14.9,4th quarter,2:31.0,Bruno Šundov,IND,False,2-pointer,18,97-79,'IND',leads
321,321,321,200101300ORL,37.2,24.8,1st quarter,11:41.0,Bruno Šundov,IND,False,3-pointer,24,0-0,'IND',tied
325,325,325,200101300ORL,15.4,9.5,1st quarter,9:21.0,Bruno Šundov,IND,True,2-pointer,10,8-5,'IND',leads
327,327,327,200101300ORL,40.1,17.7,1st quarter,8:25.0,Bruno Šundov,IND,False,2-pointer,21,10-7,'IND',leads
330,330,330,200101300ORL,24.0,5.0,1st quarter,7:10.0,Bruno Šundov,IND,True,2-pointer,0,12-9,'IND',leads
337,337,337,200101300ORL,24.0,5.0,1st quarter,2:45.0,Bruno Šundov,IND,True,2-pointer,0,20-17,'IND',leads
338,338,338,200101300ORL,8.9,2.9,1st quarter,2:20.0,Bruno Šundov,IND,False,2-pointer,15,20-17,'IND',leads
340,340,340,200101300ORL,32.3,28.8,1st quarter,1:30.0,Bruno Šundov,IND,False,3-pointer,25,22-19,'IND',leads
366,366,366,200101300ORL,16.9,21.5,3rd quarter,11:02.0,Bruno Šundov,IND,True,2-pointer,18,38-46,'IND',trails
379,379,379,200101300ORL,8.9,15.6,3rd quarter,2:55.0,Bruno Šundov,IND,True,2-pointer,18,57-57,'IND',tied
380,380,380,200101300ORL,8.9,11.1,3rd quarter,1:49.0,Bruno Šundov,IND,True,2-pointer,16,60-59,'IND',leads
381,381,381,200101300ORL,19.0,21.5,3rd quarter,1:17.0,Bruno Šundov,IND,True,2-pointer,17,62-61,'IND',leads
395,395,395,200101300ORL,7.4,4.2,4th quarter,4:44.0,Bruno Šundov,IND,False,2-pointer,17,72-78,'IND',trails
