Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1105,1105,1105,201910230PHI,47.1,3.8,1st quarter,1:08.0,Carsen Edwards,BOS,False,3-pointer,23,22-16,'BOS',leads
1152,1152,1152,201910230PHI,33.2,6.5,3rd quarter,0:57.0,Carsen Edwards,BOS,False,2-pointer,10,66-73,'BOS',trails
1155,1155,1155,201910230PHI,2.9,18.3,3rd quarter,0:02.0,Carsen Edwards,BOS,False,3-pointer,26,68-77,'BOS',trails
1156,1156,1156,201910230PHI,11.2,19.0,3rd quarter,0:01.0,Carsen Edwards,BOS,False,2-pointer,20,68-77,'BOS',trails
1174,1174,1174,201910230PHI,29.9,27.8,4th quarter,0:24.0,Carsen Edwards,BOS,True,3-pointer,25,93-107,'BOS',trails
1099,1099,1099,201910260NYK,30.4,17.0,1st quarter,1:16.0,Carsen Edwards,BOS,False,2-pointer,15,17-18,'NYK',trails
1102,1102,1102,201910260NYK,8.4,14.7,1st quarter,0:06.0,Carsen Edwards,BOS,True,2-pointer,19,22-24,'NYK',trails
1104,1104,1104,201910260NYK,33.7,28.7,2nd quarter,11:01.0,Carsen Edwards,BOS,False,3-pointer,27,26-24,'NYK',leads
1106,1106,1106,201910260NYK,23.9,32.0,2nd quarter,9:45.0,Carsen Edwards,BOS,False,3-pointer,29,29-26,'NYK',leads
1115,1115,1115,201910260NYK,1.0,14.9,2nd quarter,5:24.0,Carsen Edwards,BOS,False,3-pointer,26,39-35,'NYK',leads
1135,1135,1135,201910260NYK,15.6,26.4,3rd quarter,4:57.0,Carsen Edwards,BOS,True,3-pointer,25,72-70,'NYK',leads
1136,1136,1136,201910260NYK,23.9,3.1,3rd quarter,4:25.0,Carsen Edwards,BOS,False,2-pointer,0,72-70,'NYK',leads
1137,1137,1137,201910260NYK,13.2,25.9,3rd quarter,4:00.0,Carsen Edwards,BOS,False,3-pointer,25,72-72,'NYK',tied
1149,1149,1149,201910260NYK,19.7,22.8,4th quarter,10:30.0,Carsen Edwards,BOS,True,2-pointer,20,89-76,'NYK',leads
1151,1151,1151,201910260NYK,18.2,28.3,4th quarter,9:13.0,Carsen Edwards,BOS,False,3-pointer,26,90-81,'NYK',leads
1155,1155,1155,201910260NYK,25.0,4.2,4th quarter,8:21.0,Carsen Edwards,BOS,False,2-pointer,1,90-81,'NYK',leads
108,108,108,201911010BOS,16.8,13.4,1st quarter,2:01.0,Carsen Edwards,BOS,False,2-pointer,12,16-19,'NYK',trails
111,111,111,201911010BOS,11.9,27.7,1st quarter,0:04.0,Carsen Edwards,BOS,False,3-pointer,27,22-23,'NYK',trails
114,114,114,201911010BOS,7.7,23.8,2nd quarter,11:08.0,Carsen Edwards,BOS,False,3-pointer,26,24-23,'NYK',leads
