Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
97,97,97,201810180PHI,24.8,10.4,4th quarter,1:50.0,Chandler Hutchison,CHI,False,2-pointer,7,104-125,'CHI',trails
244,244,244,201810220DAL,24.2,7.2,3rd quarter,1:50.0,Chandler Hutchison,CHI,True,2-pointer,4,79-80,'DAL',trails
286,286,286,201810240CHI,11.6,25.9,2nd quarter,9:43.0,Chandler Hutchison,CHI,False,3-pointer,26,28-29,'CHO',trails
287,287,287,201810240CHI,24.8,4.8,2nd quarter,9:18.0,Chandler Hutchison,CHI,True,2-pointer,2,30-31,'CHO',trails
289,289,289,201810240CHI,24.9,2.7,2nd quarter,8:35.0,Chandler Hutchison,CHI,True,2-pointer,1,35-33,'CHO',leads
290,290,290,201810240CHI,19.2,10.3,2nd quarter,8:08.0,Chandler Hutchison,CHI,True,2-pointer,9,37-33,'CHO',leads
292,292,292,201810240CHI,23.7,8.8,2nd quarter,6:52.0,Chandler Hutchison,CHI,True,2-pointer,6,41-33,'CHO',leads
6,6,6,201810260CHO,23.7,4.2,1st quarter,8:09.0,Chandler Hutchison,CHI,False,2-pointer,1,6-6,'CHO',tied
43,43,43,201810260CHO,18.3,5.5,3rd quarter,11:31.0,Chandler Hutchison,CHI,False,2-pointer,6,54-70,'CHO',trails
49,49,49,201810260CHO,10.2,25.7,3rd quarter,8:24.0,Chandler Hutchison,CHI,False,3-pointer,26,61-76,'CHO',trails
78,78,78,201810260CHO,15.6,8.0,4th quarter,4:39.0,Chandler Hutchison,CHI,False,2-pointer,10,95-123,'CHO',trails
3,3,3,201810270ATL,24.1,4.7,1st quarter,10:38.0,Chandler Hutchison,CHI,False,2-pointer,1,2-0,'CHI',leads
9,9,9,201810270ATL,23.9,5.1,1st quarter,8:11.0,Chandler Hutchison,CHI,True,2-pointer,2,10-1,'CHI',leads
47,47,47,201810270ATL,23.8,4.1,3rd quarter,10:53.0,Chandler Hutchison,CHI,True,2-pointer,1,43-44,'CHI',trails
53,53,53,201810270ATL,20.8,6.7,3rd quarter,6:32.0,Chandler Hutchison,CHI,False,2-pointer,5,52-53,'CHI',trails
61,61,61,201810270ATL,24.4,4.7,3rd quarter,2:49.0,Chandler Hutchison,CHI,False,2-pointer,1,58-57,'CHI',leads
151,151,151,201810290CHI,46.4,12.6,3rd quarter,9:18.0,Chandler Hutchison,CHI,False,3-pointer,24,58-102,'CHI',trails
312,312,312,201810310CHI,7.6,22.1,1st quarter,1:42.0,Chandler Hutchison,CHI,True,3-pointer,25,20-22,'DEN',trails
315,315,315,201810310CHI,1.2,8.6,2nd quarter,11:38.0,Chandler Hutchison,CHI,False,3-pointer,23,24-28,'DEN',trails
317,317,317,201810310CHI,24.7,5.2,2nd quarter,10:43.0,Chandler Hutchison,CHI,False,2-pointer,2,24-30,'DEN',trails
322,322,322,201810310CHI,14.6,26.5,2nd quarter,8:05.0,Chandler Hutchison,CHI,False,3-pointer,25,30-35,'DEN',trails
326,326,326,201810310CHI,23.8,6.4,2nd quarter,5:20.0,Chandler Hutchison,CHI,True,2-pointer,3,35-41,'DEN',trails
