Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1528,1528,1528,201810200POR,35.6,19.6,4th quarter,3:19.0,Chimezie Metu,SAS,False,2-pointer,20,101-119,'SAS',trails
1756,1756,1756,201810240SAS,24.9,4.4,4th quarter,4:41.0,Chimezie Metu,SAS,True,2-pointer,1,83-104,'SAS',trails
1758,1758,1758,201810240SAS,11.6,9.3,4th quarter,3:25.0,Chimezie Metu,SAS,False,2-pointer,14,83-110,'SAS',trails
1760,1760,1760,201810240SAS,20.7,4.6,4th quarter,1:08.0,Chimezie Metu,SAS,False,2-pointer,4,91-114,'SAS',trails
1762,1762,1762,201810240SAS,18.5,29.1,4th quarter,0:03.0,Chimezie Metu,SAS,False,3-pointer,26,96-116,'SAS',trails
1153,1153,1153,201810310PHO,22.7,8.6,4th quarter,3:24.0,Chimezie Metu,SAS,False,2-pointer,6,112-82,'SAS',leads
1154,1154,1154,201810310PHO,16.7,8.8,4th quarter,2:42.0,Chimezie Metu,SAS,False,2-pointer,9,114-84,'SAS',leads
1158,1158,1158,201810310PHO,24.8,3.1,4th quarter,0:47.0,Chimezie Metu,SAS,False,2-pointer,1,118-90,'SAS',leads
1159,1159,1159,201810310PHO,27.8,9.8,4th quarter,0:42.0,Chimezie Metu,SAS,True,2-pointer,8,120-90,'SAS',leads
1533,1533,1533,201811100SAS,20.7,2.3,1st quarter,4:10.0,Chimezie Metu,SAS,False,2-pointer,3,17-12,'SAS',leads
1473,1473,1473,201811140PHO,29.6,4.6,4th quarter,4:20.0,Chimezie Metu,SAS,True,2-pointer,6,92-113,'SAS',trails
1476,1476,1476,201811140PHO,43.7,3.9,4th quarter,2:10.0,Chimezie Metu,SAS,False,2-pointer,20,96-113,'SAS',trails
1119,1119,1119,201811190NOP,24.0,2.7,3rd quarter,2:09.0,Chimezie Metu,SAS,True,2-pointer,1,91-101,'SAS',trails
1135,1135,1135,201811190NOP,23.4,11.5,4th quarter,5:58.0,Chimezie Metu,SAS,True,2-pointer,8,110-128,'SAS',trails
1137,1137,1137,201811190NOP,25.5,11.3,4th quarter,4:37.0,Chimezie Metu,SAS,True,2-pointer,8,112-130,'SAS',trails
1138,1138,1138,201811190NOP,23.6,2.8,4th quarter,4:15.0,Chimezie Metu,SAS,True,2-pointer,1,114-130,'SAS',trails
1139,1139,1139,201811190NOP,40.0,22.7,4th quarter,3:53.0,Chimezie Metu,SAS,False,3-pointer,25,114-132,'SAS',trails
1138,1138,1138,201811230IND,33.8,5.8,4th quarter,0:41.0,Chimezie Metu,SAS,False,2-pointer,10,109-98,'SAS',leads
932,932,932,201811280MIN,5.8,1.1,4th quarter,11:20.0,Chimezie Metu,SAS,False,2-pointer,18,58-95,'SAS',trails
