Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
95,95,95,200011030BOS,9.3,9.2,1st quarter,1:07.0,Chris Carr,BOS,True,2-pointer,15,13-29,'TOR',trails
96,96,96,200011030BOS,11.6,16.0,2nd quarter,11:36.0,Chris Carr,BOS,True,2-pointer,17,15-33,'TOR',trails
181,181,181,200011040CLE,-0.2,6.7,2nd quarter,11:36.0,Chris Carr,BOS,False,3-pointer,24,25-23,'BOS',leads
801,801,801,200011070TOR,8.5,25.0,1st quarter,5:56.0,Chris Carr,BOS,False,3-pointer,25,10-11,'TOR',trails
803,803,803,200011070TOR,10.6,17.5,1st quarter,4:23.0,Chris Carr,BOS,False,2-pointer,18,10-17,'TOR',trails
805,805,805,200011070TOR,11.2,26.3,1st quarter,2:59.0,Chris Carr,BOS,True,3-pointer,25,13-21,'TOR',trails
853,853,853,200011070TOR,14.8,12.0,3rd quarter,1:09.0,Chris Carr,BOS,False,2-pointer,12,56-85,'TOR',trails
151,151,151,200011100BOS,0.7,6.3,4th quarter,0:04.7,Chris Carr,BOS,True,3-pointer,23,92-92,'NYK',tied
933,933,933,200011110PHI,18.2,17.0,1st quarter,1:18.0,Chris Carr,BOS,True,2-pointer,13,19-10,'BOS',leads
976,976,976,200011110PHI,26.4,20.0,3rd quarter,4:22.0,Chris Carr,BOS,False,2-pointer,15,51-44,'BOS',leads
979,979,979,200011110PHI,1.7,2.7,3rd quarter,2:30.0,Chris Carr,BOS,True,3-pointer,22,56-47,'BOS',leads
104,104,104,200011150BOS,39.7,6.9,2nd quarter,10:32.0,Chris Carr,BOS,False,2-pointer,16,39-26,'BOS',leads
85,85,85,200011170BOS,41.8,22.9,1st quarter,2:30.0,Chris Carr,BOS,True,3-pointer,25,16-21,'BOS',trails
89,89,89,200011170BOS,35.3,21.7,1st quarter,0:30.9,Chris Carr,BOS,False,2-pointer,20,17-27,'BOS',trails
90,90,90,200011170BOS,36.1,22.3,1st quarter,0:00.3,Chris Carr,BOS,False,2-pointer,21,19-27,'BOS',trails
97,97,97,200011170BOS,23.0,5.7,2nd quarter,9:27.0,Chris Carr,BOS,True,2-pointer,1,25-33,'BOS',trails
1406,1406,1406,200011180WAS,25.1,17.9,1st quarter,3:37.0,Chris Carr,BOS,True,2-pointer,13,15-18,'BOS',trails
1445,1445,1445,200011180WAS,23.9,12.6,3rd quarter,2:47.0,Chris Carr,BOS,True,2-pointer,8,59-85,'BOS',trails
1448,1448,1448,200011180WAS,47.9,6.5,3rd quarter,0:52.9,Chris Carr,BOS,False,3-pointer,24,65-90,'BOS',trails
1453,1453,1453,200011180WAS,40.1,27.4,4th quarter,11:06.0,Chris Carr,BOS,False,3-pointer,28,70-95,'BOS',trails
1462,1462,1462,200011180WAS,1.1,10.3,4th quarter,5:13.0,Chris Carr,BOS,False,3-pointer,24,76-103,'BOS',trails
1463,1463,1463,200011180WAS,1.1,3.7,4th quarter,4:18.0,Chris Carr,BOS,True,3-pointer,23,79-103,'BOS',trails
1464,1464,1464,200011180WAS,1.7,2.3,4th quarter,3:51.0,Chris Carr,BOS,False,3-pointer,22,79-103,'BOS',trails
1466,1466,1466,200011180WAS,5.3,13.0,4th quarter,2:25.0,Chris Carr,BOS,True,2-pointer,20,83-107,'BOS',trails
1472,1472,1472,200011180WAS,3.8,21.9,4th quarter,0:13.0,Chris Carr,BOS,True,3-pointer,26,89-109,'BOS',trails
165,165,165,200011200BOS,36.5,6.7,4th quarter,1:01.0,Chris Carr,BOS,True,2-pointer,13,90-112,'BOS',trails
267,267,267,200011220BOS,14.4,23.1,2nd quarter,2:23.0,Chris Carr,BOS,False,2-pointer,20,42-27,'HOU',leads
292,292,292,200011220BOS,24.9,29.5,4th quarter,8:02.0,Chris Carr,BOS,True,3-pointer,25,82-58,'HOU',leads
297,297,297,200011220BOS,21.5,5.4,4th quarter,5:08.0,Chris Carr,BOS,True,2-pointer,3,86-65,'HOU',leads
301,301,301,200011220BOS,13.5,16.4,4th quarter,1:54.0,Chris Carr,BOS,True,2-pointer,16,91-74,'HOU',leads
302,302,302,200011220BOS,42.2,6.1,4th quarter,1:27.0,Chris Carr,BOS,True,2-pointer,18,93-76,'HOU',leads
98,98,98,200012030BOS,23.0,8.4,1st quarter,1:51.0,Chris Carr,BOS,False,2-pointer,4,23-18,'BOS',leads
