Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
480,480,480,200010310GSW,24.0,5.0,2nd quarter,8:19.0,Chris Dudley,PHO,True,2-pointer,0,34-38,'PHO',trails
486,486,486,200011040DEN,19.2,9.9,3rd quarter,9:08.0,Chris Dudley,PHO,False,2-pointer,7,53-51,'PHO',leads
249,249,249,200011050PHO,21.3,9.0,1st quarter,11:04.0,Chris Dudley,PHO,True,2-pointer,5,2-2,'HOU',tied
321,321,321,200011050PHO,21.3,11.1,4th quarter,4:29.0,Chris Dudley,PHO,False,2-pointer,7,91-82,'HOU',leads
540,540,540,200011070PHO,24.0,5.0,1st quarter,11:28.0,Chris Dudley,PHO,False,2-pointer,0,0-2,'SAS',trails
544,544,544,200011070PHO,24.0,5.0,1st quarter,8:43.0,Chris Dudley,PHO,False,2-pointer,0,6-6,'SAS',tied
548,548,548,200011070PHO,24.0,5.0,1st quarter,6:05.0,Chris Dudley,PHO,True,2-pointer,0,12-8,'SAS',leads
582,582,582,200011070PHO,24.1,14.7,3rd quarter,9:59.0,Chris Dudley,PHO,False,2-pointer,10,53-43,'SAS',leads
880,880,880,200011090PHO,36.9,5.0,1st quarter,6:51.0,Chris Dudley,PHO,False,2-pointer,13,7-10,'PHO',trails
921,921,921,200011090PHO,24.7,9.5,3rd quarter,11:07.0,Chris Dudley,PHO,True,2-pointer,5,46-40,'PHO',leads
1145,1145,1145,200011110PHO,24.1,9.5,1st quarter,11:14.0,Chris Dudley,PHO,False,2-pointer,5,2-0,'MIA',leads
1148,1148,1148,200011110PHO,24.0,5.0,1st quarter,10:51.0,Chris Dudley,PHO,False,2-pointer,0,2-0,'MIA',leads
2,2,2,200012070MIL,21.7,8.0,1st quarter,9:36.0,Chris Dudley,PHO,False,2-pointer,4,0-4,'PHO',trails
40,40,40,200012070MIL,11.6,9.2,3rd quarter,11:20.0,Chris Dudley,PHO,False,2-pointer,13,48-57,'PHO',trails
42,42,42,200012070MIL,24.0,5.0,3rd quarter,10:43.0,Chris Dudley,PHO,True,2-pointer,0,50-59,'PHO',trails
953,953,953,200012080NJN,27.0,10.7,1st quarter,10:16.0,Chris Dudley,PHO,False,2-pointer,6,2-6,'NJN',trails
994,994,994,200012080NJN,24.0,5.0,3rd quarter,6:36.0,Chris Dudley,PHO,True,2-pointer,0,48-50,'NJN',trails
997,997,997,200012080NJN,24.0,5.0,3rd quarter,5:01.0,Chris Dudley,PHO,False,2-pointer,0,50-54,'NJN',trails
670,670,670,200012100TOR,24.0,5.0,1st quarter,5:41.0,Chris Dudley,PHO,False,2-pointer,0,13-5,'TOR',leads
685,685,685,200012100TOR,24.0,5.0,2nd quarter,10:03.0,Chris Dudley,PHO,False,2-pointer,0,30-16,'TOR',leads
686,686,686,200012100TOR,24.0,5.0,2nd quarter,9:58.0,Chris Dudley,PHO,True,2-pointer,0,32-16,'TOR',leads
1,1,1,200012110CHI,29.8,5.7,1st quarter,11:06.0,Chris Dudley,PHO,False,2-pointer,6,2-0,'PHO',leads
7,7,7,200012110CHI,23.6,10.1,1st quarter,7:31.0,Chris Dudley,PHO,False,2-pointer,5,10-11,'PHO',trails
40,40,40,200012110CHI,24.0,5.0,3rd quarter,10:06.0,Chris Dudley,PHO,False,2-pointer,0,46-48,'PHO',trails
41,41,41,200012110CHI,24.0,5.0,3rd quarter,10:05.0,Chris Dudley,PHO,False,2-pointer,0,46-48,'PHO',trails
848,848,848,200012130PHO,25.6,12.8,1st quarter,11:04.0,Chris Dudley,PHO,True,2-pointer,8,4-0,'SAS',leads
850,850,850,200012130PHO,16.3,5.4,1st quarter,10:25.0,Chris Dudley,PHO,True,2-pointer,8,6-0,'SAS',leads
923,923,923,200012130PHO,24.0,5.0,4th quarter,4:40.0,Chris Dudley,PHO,True,2-pointer,0,97-86,'SAS',leads
926,926,926,200012130PHO,24.0,5.0,4th quarter,3:35.0,Chris Dudley,PHO,True,2-pointer,0,99-88,'SAS',leads
1366,1366,1366,200012150PHO,30.4,6.1,1st quarter,9:18.0,Chris Dudley,PHO,True,2-pointer,6,6-3,'PHO',leads
1116,1116,1116,200012160SAS,25.1,5.0,1st quarter,6:42.0,Chris Dudley,PHO,True,2-pointer,1,8-9,'SAS',trails
1180,1180,1180,200012160SAS,25.8,5.9,4th quarter,5:42.0,Chris Dudley,PHO,False,2-pointer,2,74-82,'SAS',trails
1517,1517,1517,200012260VAN,26.4,5.4,3rd quarter,9:41.0,Chris Dudley,PHO,False,2-pointer,2,51-41,'PHO',leads
1240,1240,1240,200012280PHO,31.3,7.1,2nd quarter,2:09.0,Chris Dudley,PHO,False,2-pointer,8,35-44,'LAL',trails
1279,1279,1279,200012300PHO,23.6,11.8,3rd quarter,7:18.0,Chris Dudley,PHO,False,2-pointer,7,53-59,'TOR',trails
866,866,866,200101020SAC,24.0,5.0,3rd quarter,10:35.0,Chris Dudley,PHO,True,2-pointer,0,55-70,'SAC',trails
867,867,867,200101020SAC,27.2,10.3,3rd quarter,10:03.0,Chris Dudley,PHO,True,2-pointer,6,57-70,'SAC',trails
749,749,749,200101050PHO,24.0,5.0,1st quarter,5:34.0,Chris Dudley,PHO,False,2-pointer,0,17-8,'PHO',leads
788,788,788,200101050PHO,24.0,5.0,3rd quarter,8:36.0,Chris Dudley,PHO,True,2-pointer,0,61-46,'PHO',leads
789,789,789,200101050PHO,28.3,9.0,3rd quarter,7:35.0,Chris Dudley,PHO,False,2-pointer,6,62-47,'PHO',leads
564,564,564,200101070PHO,24.1,10.1,1st quarter,10:34.0,Chris Dudley,PHO,False,2-pointer,5,1-2,'PHO',trails
600,600,600,200101070PHO,24.0,5.0,3rd quarter,11:06.0,Chris Dudley,PHO,True,2-pointer,0,42-48,'PHO',trails
863,863,863,200101110PHO,24.0,5.0,1st quarter,10:40.0,Chris Dudley,PHO,True,2-pointer,0,4-0,'IND',leads
866,866,866,200101110PHO,23.6,11.8,1st quarter,9:35.0,Chris Dudley,PHO,False,2-pointer,7,6-2,'IND',leads
159,159,159,200101130DAL,26.4,8.6,1st quarter,10:38.0,Chris Dudley,PHO,False,2-pointer,4,0-2,'DAL',trails
168,168,168,200101130DAL,29.6,6.9,1st quarter,7:02.0,Chris Dudley,PHO,True,2-pointer,6,4-6,'DAL',trails
394,394,394,200101140PHO,20.7,10.1,1st quarter,8:28.0,Chris Dudley,PHO,False,2-pointer,6,0-6,'SEA',trails
395,395,395,200101140PHO,20.7,9.0,1st quarter,8:05.0,Chris Dudley,PHO,False,2-pointer,5,0-6,'SEA',trails
439,439,439,200101140PHO,23.6,9.5,3rd quarter,8:49.0,Chris Dudley,PHO,True,2-pointer,5,51-62,'SEA',trails
440,440,440,200101140PHO,22.8,9.5,3rd quarter,8:05.0,Chris Dudley,PHO,False,2-pointer,5,51-62,'SEA',trails
1011,1011,1011,200101170SEA,24.0,5.0,3rd quarter,10:41.0,Chris Dudley,PHO,True,2-pointer,0,46-50,'SEA',trails
910,910,910,200101190PHO,24.0,5.0,3rd quarter,11:17.0,Chris Dudley,PHO,False,2-pointer,0,47-52,'PHO',trails
911,911,911,200101190PHO,22.2,9.0,3rd quarter,10:44.0,Chris Dudley,PHO,False,2-pointer,4,47-52,'PHO',trails
793,793,793,200101230MIN,24.0,5.0,1st quarter,1:54.0,Chris Dudley,PHO,True,2-pointer,0,19-13,'PHO',leads
797,797,797,200101230MIN,24.0,5.0,1st quarter,1:05.0,Chris Dudley,PHO,True,2-pointer,0,21-13,'PHO',leads
1602,1602,1602,200101270WAS,29.6,6.9,1st quarter,8:28.0,Chris Dudley,PHO,False,2-pointer,6,6-7,'PHO',trails
1604,1604,1604,200101270WAS,25.1,5.0,1st quarter,7:41.0,Chris Dudley,PHO,False,2-pointer,1,8-9,'PHO',trails
1417,1417,1417,200102280PHO,24.0,5.0,1st quarter,0:36.6,Chris Dudley,PHO,False,2-pointer,0,20-27,'PHO',trails
374,374,374,200103060DEN,24.0,5.0,4th quarter,8:24.0,Chris Dudley,PHO,False,2-pointer,0,77-58,'PHO',leads
894,894,894,200103150PHO,24.0,5.0,1st quarter,7:54.0,Chris Dudley,PHO,False,2-pointer,0,7-7,'PHO',tied
837,837,837,200103220SEA,21.3,6.5,2nd quarter,9:59.0,Chris Dudley,PHO,False,2-pointer,3,25-28,'SEA',trails
22,22,22,200104040CHH,24.0,5.0,1st quarter,0:05.3,Chris Dudley,PHO,True,2-pointer,0,19-29,CHH,trails
29,29,29,200104040CHH,24.0,5.0,2nd quarter,9:19.0,Chris Dudley,PHO,True,2-pointer,0,22-33,CHH,trails
32,32,32,200104040CHH,24.0,5.0,2nd quarter,7:52.0,Chris Dudley,PHO,True,2-pointer,0,27-35,CHH,trails
47,47,47,200104040CHH,29.8,6.9,2nd quarter,0:55.7,Chris Dudley,PHO,True,2-pointer,6,37-54,CHH,trails
367,367,367,200104100LAL,27.5,18.1,1st quarter,0:01.0,Chris Dudley,PHO,False,2-pointer,14,22-26,'LAL',trails
416,416,416,200104100LAL,24.0,5.0,4th quarter,6:10.0,Chris Dudley,PHO,False,2-pointer,0,65-89,'LAL',trails
419,419,419,200104100LAL,33.4,4.2,4th quarter,4:58.0,Chris Dudley,PHO,False,2-pointer,9,67-94,'LAL',trails
427,427,427,200104100LAL,32.5,9.7,4th quarter,1:06.0,Chris Dudley,PHO,True,2-pointer,10,75-102,'LAL',trails
428,428,428,200104100LAL,22.2,10.7,4th quarter,0:42.5,Chris Dudley,PHO,False,2-pointer,6,75-102,'LAL',trails
1272,1272,1272,200104130PHO,29.8,9.5,2nd quarter,1:20.0,Chris Dudley,PHO,False,2-pointer,7,52-46,'SEA',leads
1285,1285,1285,200104130PHO,24.0,5.0,3rd quarter,6:28.0,Chris Dudley,PHO,True,2-pointer,0,67-64,'SEA',leads
1242,1242,1242,200104150PHO,24.0,5.0,2nd quarter,3:17.0,Chris Dudley,PHO,False,2-pointer,0,41-39,'SAC',leads
261,261,261,200104250SAC,24.0,5.0,4th quarter,1:07.0,Chris Dudley,PHO,True,2-pointer,0,88-113,'SAC',trails
130,130,130,200104290PHO,24.0,5.0,3rd quarter,6:30.0,Chris Dudley,PHO,False,2-pointer,0,64-62,'SAC',leads
1473,1473,1473,200112010POR,16.7,6.1,2nd quarter,10:46.0,Chris Dudley,POR,False,2-pointer,7,31-21,'POR',leads
1412,1412,1412,200112080POR,24.0,5.0,2nd quarter,1:31.0,Chris Dudley,POR,True,2-pointer,0,56-46,'POR',leads
1020,1020,1020,200112140UTA,34.4,4.2,1st quarter,0:02.6,Chris Dudley,POR,False,2-pointer,10,13-26,POR,trails
