Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
998,998,998,201201170UTA,24.4,25.1,2nd quarter,11:21.0,Courtney Fortson,LAC,True,2-pointer,20,19-29,'UTA',trails
1001,1001,1001,201201170UTA,25.7,10.8,2nd quarter,9:13.0,Courtney Fortson,LAC,False,2-pointer,6,23-33,'UTA',trails
1002,1002,1002,201201170UTA,27.2,6.2,2nd quarter,9:09.0,Courtney Fortson,LAC,False,2-pointer,3,23-33,'UTA',trails
1004,1004,1004,201201170UTA,26.3,6.4,2nd quarter,7:15.0,Courtney Fortson,LAC,False,2-pointer,3,25-37,'UTA',trails
1042,1042,1042,201201170UTA,20.6,6.2,4th quarter,10:20.0,Courtney Fortson,LAC,True,2-pointer,4,63-79,'UTA',trails
1044,1044,1044,201201170UTA,20.6,6.5,4th quarter,9:22.0,Courtney Fortson,LAC,True,2-pointer,4,65-83,'UTA',trails
1050,1050,1050,201201170UTA,21.4,7.0,4th quarter,7:31.0,Courtney Fortson,LAC,True,2-pointer,3,67-89,'UTA',trails
1053,1053,1053,201201170UTA,27.1,31.0,4th quarter,5:18.0,Courtney Fortson,LAC,False,3-pointer,26,69-97,'UTA',trails
1056,1056,1056,201201170UTA,7.9,23.7,4th quarter,3:20.0,Courtney Fortson,LAC,True,3-pointer,25,74-105,'UTA',trails
1059,1059,1059,201201170UTA,21.1,7.0,4th quarter,1:38.0,Courtney Fortson,LAC,False,2-pointer,4,75-108,'UTA',trails
721,721,721,201201200LAC,12.4,27.7,2nd quarter,6:42.0,Courtney Fortson,LAC,False,3-pointer,25,43-29,'MIN',leads
135,135,135,201201220LAC,24.2,42.7,3rd quarter,0:01.8,Courtney Fortson,LAC,False,3-pointer,38,76-58,'TOR',leads
1033,1033,1033,201203180PHO,10.7,26.1,4th quarter,10:18.0,Courtney Fortson,HOU,False,3-pointer,25,64-80,'HOU',trails
1036,1036,1036,201203180PHO,21.3,5.9,4th quarter,9:01.0,Courtney Fortson,HOU,False,2-pointer,3,66-83,'HOU',trails
106,106,106,201203200HOU,25.5,6.7,2nd quarter,8:09.0,Courtney Fortson,HOU,True,2-pointer,2,35-44,'HOU',trails
99,99,99,201203220HOU,31.5,28.9,1st quarter,1:01.0,Courtney Fortson,HOU,False,3-pointer,25,30-16,'HOU',leads
102,102,102,201203220HOU,24.4,5.0,2nd quarter,11:43.0,Courtney Fortson,HOU,True,2-pointer,0,32-18,'HOU',leads
104,104,104,201203220HOU,4.1,19.6,2nd quarter,10:39.0,Courtney Fortson,HOU,False,3-pointer,25,32-23,'HOU',leads
106,106,106,201203220HOU,24.0,5.7,2nd quarter,9:32.0,Courtney Fortson,HOU,False,2-pointer,1,34-25,'HOU',leads
110,110,110,201203220HOU,24.4,5.0,2nd quarter,8:44.0,Courtney Fortson,HOU,True,2-pointer,0,36-27,'HOU',leads
148,148,148,201203220HOU,42.4,20.3,4th quarter,11:37.0,Courtney Fortson,HOU,False,3-pointer,24,84-67,'HOU',leads
149,149,149,201203220HOU,42.2,20.9,4th quarter,11:07.0,Courtney Fortson,HOU,True,3-pointer,24,87-69,'HOU',leads
151,151,151,201203220HOU,24.0,14.1,4th quarter,9:00.0,Courtney Fortson,HOU,False,2-pointer,9,89-71,'HOU',leads
155,155,155,201203220HOU,25.0,4.4,4th quarter,6:22.0,Courtney Fortson,HOU,True,2-pointer,1,97-75,'HOU',leads
160,160,160,201203220HOU,38.3,24.4,4th quarter,3:07.0,Courtney Fortson,HOU,False,3-pointer,24,103-75,'HOU',leads
164,164,164,201203220HOU,24.1,5.1,4th quarter,0:31.9,Courtney Fortson,HOU,False,2-pointer,0,109-81,'HOU',leads
468,468,468,201203240HOU,20.0,7.5,1st quarter,0:01.9,Courtney Fortson,HOU,False,2-pointer,5,30-26,'DAL',leads
470,470,470,201203240HOU,45.5,18.8,2nd quarter,11:01.0,Courtney Fortson,HOU,False,3-pointer,26,32-26,'DAL',leads
1146,1146,1146,201204260HOU,6.9,23.3,4th quarter,10:29.0,Courtney Fortson,HOU,False,3-pointer,25,64-71,'HOU',trails
1149,1149,1149,201204260HOU,23.3,30.0,4th quarter,8:50.0,Courtney Fortson,HOU,True,3-pointer,25,67-71,'HOU',trails
1154,1154,1154,201204260HOU,26.8,5.9,4th quarter,6:36.0,Courtney Fortson,HOU,False,2-pointer,3,71-74,'HOU',trails
1158,1158,1158,201204260HOU,25.2,8.3,4th quarter,5:12.0,Courtney Fortson,HOU,False,2-pointer,4,73-74,'HOU',trails
