Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1508,1508,1508,201011240TOR,40.0,16.6,2nd quarter,11:18.0,Craig Brackins,PHI,False,2-pointer,20,18-35,'TOR',trails
1510,1510,1510,201011240TOR,40.6,17.1,2nd quarter,10:13.0,Craig Brackins,PHI,True,2-pointer,21,20-37,'TOR',trails
1512,1512,1512,201011240TOR,21.7,6.4,2nd quarter,9:32.0,Craig Brackins,PHI,True,2-pointer,3,22-39,'TOR',trails
1515,1515,1515,201011240TOR,41.9,7.2,2nd quarter,7:21.0,Craig Brackins,PHI,True,2-pointer,18,31-46,'TOR',trails
1544,1544,1544,201011240TOR,14.8,28.5,3rd quarter,2:25.0,Craig Brackins,PHI,False,3-pointer,25,67-82,'TOR',trails
1548,1548,1548,201011240TOR,24.2,7.5,3rd quarter,1:04.0,Craig Brackins,PHI,False,2-pointer,3,69-87,'TOR',trails
1551,1551,1551,201011240TOR,1.1,5.3,3rd quarter,0:01.9,Craig Brackins,PHI,False,3-pointer,23,71-87,'TOR',trails
221,221,221,201012270GSW,23.2,8.4,3rd quarter,6:17.0,Craig Brackins,PHI,False,2-pointer,3,59-62,'GSW',trails
223,223,223,201012270GSW,14.3,5.9,3rd quarter,4:58.0,Craig Brackins,PHI,False,2-pointer,10,61-64,'GSW',trails
247,247,247,201012270GSW,42.7,4.8,4th quarter,2:02.0,Craig Brackins,PHI,True,2-pointer,19,93-106,'GSW',trails
249,249,249,201012270GSW,4.9,23.6,4th quarter,0:46.9,Craig Brackins,PHI,False,3-pointer,27,95-108,'GSW',trails
1022,1022,1022,201103120MIL,1.6,16.6,4th quarter,9:59.0,Craig Brackins,PHI,False,3-pointer,25,61-80,'MIL',trails
1023,1023,1023,201103120MIL,30.2,11.7,4th quarter,9:46.0,Craig Brackins,PHI,False,2-pointer,9,61-80,'MIL',trails
1026,1026,1026,201103120MIL,32.8,29.4,4th quarter,7:34.0,Craig Brackins,PHI,False,3-pointer,26,61-87,'MIL',trails
1039,1039,1039,201103120MIL,9.0,18.2,4th quarter,0:58.8,Craig Brackins,PHI,False,2-pointer,20,73-100,'MIL',trails
1040,1040,1040,201103120MIL,20.5,8.0,4th quarter,0:35.9,Craig Brackins,PHI,False,2-pointer,5,73-100,'MIL',trails
1174,1174,1174,201112280PHO,1.9,17.4,4th quarter,1:43.0,Craig Brackins,PHI,False,3-pointer,25,98-78,'PHO',leads
1175,1175,1175,201112280PHO,25.2,6.1,4th quarter,1:16.0,Craig Brackins,PHI,True,2-pointer,2,100-80,'PHO',leads
235,235,235,201112310GSW,47.1,8.6,4th quarter,0:07.7,Craig Brackins,PHI,True,3-pointer,23,107-79,'GSW',leads
1421,1421,1421,201201070PHI,7.9,5.9,4th quarter,1:14.0,Craig Brackins,PHI,False,2-pointer,16,95-62,'TOR',leads
1283,1283,1283,201201100PHI,6.5,23.7,4th quarter,4:51.0,Craig Brackins,PHI,False,3-pointer,26,104-73,'SAC',leads
1287,1287,1287,201201100PHI,22.4,30.5,4th quarter,1:56.0,Craig Brackins,PHI,False,3-pointer,26,110-80,'SAC',leads
1952,1952,1952,201201270PHI,3.0,2.8,4th quarter,3:09.0,Craig Brackins,PHI,False,2-pointer,21,86-68,'CHA',leads
642,642,642,201201280PHI,22.7,12.8,4th quarter,2:29.0,Craig Brackins,PHI,False,2-pointer,8,92-65,'DET',leads
