Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1221,1221,1221,200311080UTA,13.8,3.6,2nd quarter,11:27.0,Curtis Borchardt,UTA,True,2-pointer,10,28-21,'UTA',leads
1259,1259,1259,200311080UTA,5.6,4.4,3rd quarter,1:27.0,Curtis Borchardt,UTA,False,2-pointer,18,67-70,'UTA',trails
1267,1267,1267,200311080UTA,24.0,5.0,4th quarter,8:52.0,Curtis Borchardt,UTA,False,2-pointer,0,82-76,'UTA',leads
665,665,665,200311100SAS,30.7,8.8,2nd quarter,11:33.0,Curtis Borchardt,UTA,False,2-pointer,8,24-17,'SAS',leads
667,667,667,200311100SAS,25.3,8.8,2nd quarter,10:50.0,Curtis Borchardt,UTA,False,2-pointer,4,24-19,'SAS',leads
673,673,673,200311100SAS,29.9,7.6,2nd quarter,5:38.0,Curtis Borchardt,UTA,False,2-pointer,6,24-29,'SAS',trails
706,706,706,200311100SAS,12.0,5.0,4th quarter,7:54.0,Curtis Borchardt,UTA,False,2-pointer,12,56-71,'SAS',trails
713,713,713,200311100SAS,35.0,17.0,4th quarter,1:50.0,Curtis Borchardt,UTA,True,2-pointer,16,71-80,'SAS',trails
967,967,967,200311120NOH,24.0,5.0,2nd quarter,7:31.0,Curtis Borchardt,UTA,True,2-pointer,0,30-31,'UTA',trails
970,970,970,200311120NOH,24.1,16.4,2nd quarter,5:47.0,Curtis Borchardt,UTA,False,2-pointer,11,33-36,'UTA',trails
1007,1007,1007,200311120NOH,24.0,5.0,4th quarter,5:12.0,Curtis Borchardt,UTA,False,2-pointer,0,82-89,'UTA',trails
1183,1183,1183,200311140MIN,12.7,7.6,2nd quarter,10:38.0,Curtis Borchardt,UTA,True,2-pointer,12,28-18,'UTA',leads
1215,1215,1215,200311140MIN,13.5,5.2,4th quarter,11:34.0,Curtis Borchardt,UTA,True,2-pointer,11,67-54,'UTA',leads
1217,1217,1217,200311140MIN,21.5,15.9,4th quarter,10:31.0,Curtis Borchardt,UTA,True,2-pointer,11,69-56,'UTA',leads
1219,1219,1219,200311140MIN,16.1,16.4,4th quarter,9:08.0,Curtis Borchardt,UTA,False,2-pointer,14,72-60,'UTA',leads
855,855,855,200311150MIL,34.7,16.2,2nd quarter,5:39.0,Curtis Borchardt,UTA,True,2-pointer,15,31-38,'UTA',trails
887,887,887,200311150MIL,24.0,5.0,4th quarter,11:44.0,Curtis Borchardt,UTA,True,2-pointer,0,67-73,'UTA',trails
890,890,890,200311150MIL,24.0,5.0,4th quarter,10:18.0,Curtis Borchardt,UTA,True,2-pointer,0,72-75,'UTA',trails
891,891,891,200311150MIL,17.1,10.4,4th quarter,9:18.0,Curtis Borchardt,UTA,False,2-pointer,9,72-76,'UTA',trails
895,895,895,200311150MIL,25.8,23.7,4th quarter,7:34.0,Curtis Borchardt,UTA,False,2-pointer,19,76-79,'UTA',trails
742,742,742,200311170UTA,24.0,5.0,2nd quarter,10:59.0,Curtis Borchardt,UTA,False,2-pointer,0,25-27,'UTA',trails
745,745,745,200311170UTA,24.0,5.0,2nd quarter,9:36.0,Curtis Borchardt,UTA,True,2-pointer,0,27-30,'UTA',trails
781,781,781,200311170UTA,19.9,23.7,3rd quarter,1:22.0,Curtis Borchardt,UTA,False,2-pointer,19,65-67,'UTA',trails
788,788,788,200311170UTA,36.1,8.8,4th quarter,8:30.0,Curtis Borchardt,UTA,False,2-pointer,13,74-80,'UTA',trails
1302,1302,1302,200311190UTA,37.8,26.0,1st quarter,4:35.0,Curtis Borchardt,UTA,False,3-pointer,25,17-21,'SAC',trails
1304,1304,1304,200311190UTA,7.2,2.7,1st quarter,3:10.0,Curtis Borchardt,UTA,False,2-pointer,17,17-25,'SAC',trails
1330,1330,1330,200311190UTA,19.2,23.1,2nd quarter,2:22.0,Curtis Borchardt,UTA,False,2-pointer,19,48-60,'SAC',trails
1880,1880,1880,200311210UTA,32.4,6.3,2nd quarter,11:24.0,Curtis Borchardt,UTA,False,2-pointer,9,22-20,'UTA',leads
1892,1892,1892,200311210UTA,23.4,9.8,2nd quarter,2:41.0,Curtis Borchardt,UTA,True,2-pointer,5,46-39,'UTA',leads
1893,1893,1893,200311210UTA,33.5,20.5,2nd quarter,1:50.0,Curtis Borchardt,UTA,False,2-pointer,18,46-41,'UTA',leads
1905,1905,1905,200311210UTA,24.0,5.0,3rd quarter,6:46.0,Curtis Borchardt,UTA,True,2-pointer,0,55-60,'UTA',trails
1913,1913,1913,200311210UTA,24.0,5.0,3rd quarter,1:50.0,Curtis Borchardt,UTA,True,2-pointer,0,68-68,'UTA',tied
1924,1924,1924,200311210UTA,31.4,21.4,4th quarter,6:45.0,Curtis Borchardt,UTA,False,2-pointer,18,85-73,'UTA',leads
1932,1932,1932,200311210UTA,23.8,20.3,4th quarter,1:28.0,Curtis Borchardt,UTA,False,2-pointer,15,91-82,'UTA',leads
1934,1934,1934,200311210UTA,24.0,5.0,4th quarter,1:23.0,Curtis Borchardt,UTA,True,2-pointer,0,93-82,'UTA',leads
1381,1381,1381,200311260UTA,24.0,5.0,2nd quarter,7:15.0,Curtis Borchardt,UTA,True,2-pointer,0,24-24,'HOU',tied
