Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1361,1361,1361,200904050OKC,23.6,19.2,2nd quarter,11:43.0,D.J. White,OKC,True,2-pointer,14,21-31,'IND',trails
1362,1362,1362,200904050OKC,24.0,5.0,2nd quarter,11:08.0,D.J. White,OKC,True,2-pointer,0,23-31,'IND',trails
1365,1365,1365,200904050OKC,13.1,18.2,2nd quarter,8:51.0,D.J. White,OKC,True,2-pointer,17,28-37,'IND',trails
1401,1401,1401,200904050OKC,24.2,9.8,4th quarter,11:19.0,D.J. White,OKC,True,2-pointer,5,69-90,'IND',trails
1408,1408,1408,200904050OKC,34.2,5.0,4th quarter,7:37.0,D.J. White,OKC,True,2-pointer,10,77-100,'IND',trails
1411,1411,1411,200904050OKC,24.0,5.0,4th quarter,7:04.0,D.J. White,OKC,True,2-pointer,0,79-100,'IND',trails
1412,1412,1412,200904050OKC,21.7,20.1,4th quarter,6:44.0,D.J. White,OKC,False,2-pointer,15,79-102,'IND',trails
1421,1421,1421,200904050OKC,38.7,6.7,4th quarter,2:43.0,D.J. White,OKC,True,2-pointer,15,89-110,'IND',trails
1058,1058,1058,200904070OKC,37.6,11.0,2nd quarter,11:37.0,D.J. White,OKC,True,2-pointer,15,34-25,'SAS',leads
1064,1064,1064,200904070OKC,32.3,6.7,2nd quarter,8:28.0,D.J. White,OKC,False,2-pointer,8,38-33,'SAS',leads
1073,1073,1073,200904070OKC,36.4,5.0,2nd quarter,0:10.1,D.J. White,OKC,True,2-pointer,12,50-51,'SAS',trails
1091,1091,1091,200904070OKC,24.0,5.0,4th quarter,10:27.0,D.J. White,OKC,True,2-pointer,0,74-77,'SAS',trails
1095,1095,1095,200904070OKC,35.6,3.9,4th quarter,7:53.0,D.J. White,OKC,False,2-pointer,12,76-83,'SAS',trails
503,503,503,200904080DEN,24.0,5.0,2nd quarter,7:34.0,D.J. White,OKC,False,2-pointer,0,37-39,'OKC',trails
504,504,504,200904080DEN,24.0,5.0,2nd quarter,7:31.0,D.J. White,OKC,True,2-pointer,0,39-39,'OKC',tied
508,508,508,200904080DEN,24.0,5.0,2nd quarter,4:41.0,D.J. White,OKC,True,2-pointer,0,45-39,'OKC',leads
516,516,516,200904080DEN,24.0,5.0,2nd quarter,0:17.9,D.J. White,OKC,False,2-pointer,0,56-53,'OKC',leads
517,517,517,200904080DEN,24.0,5.0,2nd quarter,0:15.2,D.J. White,OKC,False,2-pointer,0,56-53,'OKC',leads
545,545,545,200904080DEN,29.8,10.2,4th quarter,9:33.0,D.J. White,OKC,False,2-pointer,8,92-93,'OKC',trails
1251,1251,1251,200904100OKC,13.2,7.6,2nd quarter,7:39.0,D.J. White,OKC,True,2-pointer,11,37-25,'OKC',leads
1252,1252,1252,200904100OKC,11.5,10.3,2nd quarter,6:44.0,D.J. White,OKC,False,2-pointer,14,37-25,'OKC',leads
1254,1254,1254,200904100OKC,24.0,5.0,2nd quarter,5:52.0,D.J. White,OKC,False,2-pointer,0,39-25,'OKC',leads
1291,1291,1291,200904100OKC,24.0,5.0,4th quarter,5:30.0,D.J. White,OKC,True,2-pointer,0,72-71,'OKC',leads
492,492,492,200904110MIL,35.4,12.8,2nd quarter,11:43.0,D.J. White,OKC,True,2-pointer,14,26-22,'OKC',leads
514,514,514,200904110MIL,22.9,18.8,2nd quarter,0:32.9,D.J. White,OKC,True,2-pointer,14,51-56,'OKC',trails
527,527,527,200904110MIL,35.4,4.5,3rd quarter,5:06.0,D.J. White,OKC,True,2-pointer,11,63-77,'OKC',trails
530,530,530,200904110MIL,33.9,12.7,3rd quarter,2:30.0,D.J. White,OKC,False,2-pointer,13,65-85,'OKC',trails
533,533,533,200904110MIL,24.0,5.0,3rd quarter,1:24.0,D.J. White,OKC,True,2-pointer,0,69-87,'OKC',trails
540,540,540,200904110MIL,30.4,7.5,4th quarter,9:15.0,D.J. White,OKC,False,2-pointer,7,78-98,'OKC',trails
546,546,546,200904110MIL,32.8,16.3,4th quarter,3:39.0,D.J. White,OKC,False,2-pointer,14,89-110,'OKC',trails
548,548,548,200904110MIL,16.1,3.9,4th quarter,3:11.0,D.J. White,OKC,False,2-pointer,8,89-110,'OKC',trails
555,555,555,200904110MIL,33.4,8.7,4th quarter,0:03.9,D.J. White,OKC,False,2-pointer,10,98-115,'OKC',trails
1474,1474,1474,200904130POR,35.3,19.0,2nd quarter,10:34.0,D.J. White,OKC,False,2-pointer,18,15-35,'POR',trails
1478,1478,1478,200904130POR,29.8,7.5,2nd quarter,7:51.0,D.J. White,OKC,False,2-pointer,6,25-44,'POR',trails
1522,1522,1522,200904130POR,24.0,5.0,4th quarter,7:28.0,D.J. White,OKC,True,2-pointer,0,63-96,'POR',trails
1526,1526,1526,200904130POR,24.0,5.0,4th quarter,5:00.0,D.J. White,OKC,True,2-pointer,0,70-100,'POR',trails
1529,1529,1529,200904130POR,6.8,6.5,4th quarter,3:48.0,D.J. White,OKC,False,2-pointer,17,73-104,'POR',trails
1530,1530,1530,200904130POR,7.9,14.6,4th quarter,2:54.0,D.J. White,OKC,False,2-pointer,19,73-108,'POR',trails
872,872,872,200904150LAC,24.0,5.0,2nd quarter,10:22.0,D.J. White,OKC,False,2-pointer,0,30-21,'OKC',leads
875,875,875,200904150LAC,23.2,12.2,2nd quarter,8:15.0,D.J. White,OKC,True,2-pointer,7,38-25,'OKC',leads
883,883,883,200904150LAC,24.0,5.0,2nd quarter,4:07.0,D.J. White,OKC,True,2-pointer,0,49-29,'OKC',leads
886,886,886,200904150LAC,12.8,17.1,2nd quarter,2:31.0,D.J. White,OKC,True,2-pointer,16,51-33,'OKC',leads
915,915,915,200904150LAC,24.0,5.0,4th quarter,11:03.0,D.J. White,OKC,True,2-pointer,0,94-63,'OKC',leads
916,916,916,200904150LAC,24.0,5.0,4th quarter,10:39.0,D.J. White,OKC,True,2-pointer,0,96-63,'OKC',leads
917,917,917,200904150LAC,22.1,21.7,4th quarter,10:11.0,D.J. White,OKC,False,2-pointer,17,97-66,'OKC',leads
920,920,920,200904150LAC,35.3,18.5,4th quarter,8:13.0,D.J. White,OKC,False,2-pointer,18,101-68,'OKC',leads
922,922,922,200904150LAC,28.7,23.4,4th quarter,7:24.0,D.J. White,OKC,False,2-pointer,19,103-73,'OKC',leads
926,926,926,200904150LAC,17.3,8.1,4th quarter,3:55.0,D.J. White,OKC,False,2-pointer,7,109-80,'OKC',leads
927,927,927,200904150LAC,24.0,5.0,4th quarter,3:54.0,D.J. White,OKC,True,2-pointer,0,111-80,'OKC',leads
933,933,933,200904150LAC,24.0,5.0,4th quarter,0:55.9,D.J. White,OKC,False,2-pointer,0,124-83,'OKC',leads
544,544,544,200911060HOU,28.2,12.5,3rd quarter,3:45.0,D.J. White,OKC,False,2-pointer,9,57-70,'HOU',trails
560,560,560,200911060HOU,13.4,15.2,4th quarter,8:39.0,D.J. White,OKC,False,2-pointer,15,77-84,'HOU',trails
461,461,461,200911080OKC,23.3,23.3,4th quarter,0:35.2,D.J. White,OKC,True,2-pointer,18,102-74,'OKC',leads
1209,1209,1209,200911180ORL,38.1,12.4,4th quarter,11:20.0,D.J. White,OKC,True,2-pointer,16,60-88,'OKC',trails
1213,1213,1213,200911180ORL,39.1,6.7,4th quarter,9:09.0,D.J. White,OKC,True,2-pointer,15,69-92,'OKC',trails
1214,1214,1214,200911180ORL,32.6,21.4,4th quarter,8:41.0,D.J. White,OKC,True,2-pointer,19,71-92,'OKC',trails
1217,1217,1217,200911180ORL,38.9,14.4,4th quarter,7:07.0,D.J. White,OKC,True,2-pointer,18,76-94,'OKC',trails
1225,1225,1225,200911180ORL,9.9,12.1,4th quarter,2:13.0,D.J. White,OKC,False,2-pointer,16,85-103,'OKC',trails
215,215,215,200911220LAL,11.3,10.5,3rd quarter,2:20.0,D.J. White,OKC,True,2-pointer,14,52-75,'LAL',trails
226,226,226,200911220LAL,24.0,5.0,4th quarter,8:40.0,D.J. White,OKC,True,2-pointer,0,62-87,'LAL',trails
230,230,230,200911220LAL,13.5,20.1,4th quarter,6:37.0,D.J. White,OKC,True,2-pointer,18,67-93,'LAL',trails
234,234,234,200911220LAL,29.8,13.2,4th quarter,4:54.0,D.J. White,OKC,True,2-pointer,10,71-95,'LAL',trails
237,237,237,200911220LAL,24.0,5.0,4th quarter,4:12.0,D.J. White,OKC,True,2-pointer,0,73-97,'LAL',trails
238,238,238,200911220LAL,8.5,9.7,4th quarter,3:27.0,D.J. White,OKC,False,2-pointer,16,73-97,'LAL',trails
244,244,244,200911220LAL,24.0,5.0,4th quarter,0:53.8,D.J. White,OKC,True,2-pointer,0,85-99,'LAL',trails
1403,1403,1403,200911270OKC,24.0,5.0,2nd quarter,10:27.0,D.J. White,OKC,False,2-pointer,0,31-30,'OKC',leads
1409,1409,1409,200911270OKC,24.0,5.0,2nd quarter,6:10.0,D.J. White,OKC,False,2-pointer,0,40-44,'OKC',trails
1452,1452,1452,200911270OKC,8.0,14.3,4th quarter,3:41.0,D.J. White,OKC,False,2-pointer,19,102-80,'OKC',leads
1457,1457,1457,200911270OKC,9.9,6.7,4th quarter,1:14.0,D.J. White,OKC,True,2-pointer,14,108-87,'OKC',leads
1458,1458,1458,200911270OKC,14.0,17.6,4th quarter,0:40.9,D.J. White,OKC,False,2-pointer,16,108-87,'OKC',leads
1085,1085,1085,200911290OKC,24.0,5.0,2nd quarter,2:55.0,D.J. White,OKC,True,2-pointer,0,44-38,'HOU',leads
1086,1086,1086,200911290OKC,37.8,8.3,2nd quarter,2:29.0,D.J. White,OKC,True,2-pointer,14,46-41,'HOU',leads
1089,1089,1089,200911290OKC,28.7,19.9,2nd quarter,0:00.7,D.J. White,OKC,True,2-pointer,16,54-45,'HOU',leads
1269,1269,1269,200912040OKC,39.4,11.4,4th quarter,2:38.0,D.J. White,OKC,True,2-pointer,17,79-101,'OKC',trails
1270,1270,1270,200912040OKC,39.5,9.1,4th quarter,2:14.0,D.J. White,OKC,True,2-pointer,16,81-101,'OKC',trails
976,976,976,201003100OKC,37.6,8.1,4th quarter,3:38.0,D.J. White,OKC,True,2-pointer,14,95-76,'OKC',leads
977,977,977,201003100OKC,25.8,23.4,4th quarter,3:10.0,D.J. White,OKC,False,2-pointer,18,95-76,'OKC',leads
980,980,980,201003100OKC,24.0,5.0,4th quarter,2:23.0,D.J. White,OKC,True,2-pointer,0,97-76,'OKC',leads
981,981,981,201003100OKC,9.4,11.6,4th quarter,1:36.0,D.J. White,OKC,False,2-pointer,16,97-77,'OKC',leads
1721,1721,1721,201003190TOR,5.2,5.1,4th quarter,8:13.0,D.J. White,OKC,True,2-pointer,19,104-71,'TOR',leads
1724,1724,1724,201003190TOR,5.3,5.0,4th quarter,6:15.0,D.J. White,OKC,False,2-pointer,19,107-77,'TOR',leads
1729,1729,1729,201003190TOR,8.7,5.3,4th quarter,2:28.0,D.J. White,OKC,True,2-pointer,15,113-85,'TOR',leads
1731,1731,1731,201003190TOR,24.0,5.0,4th quarter,1:52.0,D.J. White,OKC,False,2-pointer,0,113-87,'TOR',leads
1732,1732,1732,201003190TOR,24.0,5.0,4th quarter,1:50.0,D.J. White,OKC,True,2-pointer,0,115-87,'TOR',leads
1733,1733,1733,201003190TOR,34.0,20.7,4th quarter,0:32.9,D.J. White,OKC,False,2-pointer,19,115-89,'TOR',leads
405,405,405,201003210IND,21.7,5.6,4th quarter,9:11.0,D.J. White,OKC,False,2-pointer,2,82-102,'IND',trails
407,407,407,201003210IND,41.6,8.7,4th quarter,7:42.0,D.J. White,OKC,False,2-pointer,18,84-110,'IND',trails
410,410,410,201003210IND,37.3,9.7,4th quarter,5:34.0,D.J. White,OKC,True,2-pointer,14,86-112,'IND',trails
416,416,416,201003210IND,24.2,5.6,4th quarter,2:06.0,D.J. White,OKC,False,2-pointer,1,92-117,'IND',trails
420,420,420,201003210IND,19.5,5.0,4th quarter,0:15.1,D.J. White,OKC,True,2-pointer,5,101-121,'IND',trails
1462,1462,1462,201004140OKC,33.5,8.4,4th quarter,1:18.0,D.J. White,OKC,True,2-pointer,10,111-98,'OKC',leads
644,644,644,201010310OKC,39.4,7.3,4th quarter,2:00.0,D.J. White,OKC,False,2-pointer,16,96-118,'UTA',trails
647,647,647,201010310OKC,25.7,6.2,4th quarter,0:48.8,D.J. White,OKC,True,2-pointer,2,98-120,'UTA',trails
925,925,925,201011030LAC,10.7,13.8,4th quarter,0:42.3,D.J. White,OKC,True,2-pointer,16,90-105,'OKC',trails
669,669,669,201011140OKC,9.3,16.8,4th quarter,1:18.0,D.J. White,OKC,False,2-pointer,19,101-117,'SAS',trails
960,960,960,201011150UTA,5.3,12.8,2nd quarter,8:07.0,D.J. White,OKC,False,2-pointer,20,37-42,'UTA',trails
919,919,919,201011170OKC,23.0,11.1,2nd quarter,1:54.0,D.J. White,OKC,False,2-pointer,6,59-49,'HOU',leads
942,942,942,201011170OKC,23.8,5.3,3rd quarter,0:40.0,D.J. White,OKC,True,2-pointer,0,94-77,'HOU',leads
954,954,954,201011170OKC,10.2,17.6,4th quarter,4:17.0,D.J. White,OKC,False,2-pointer,19,108-92,'HOU',leads
