Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
201,201,201,202112270CHO,24.0,3.2,1st quarter,0:33.0,Daishen Nix,HOU,True,2-pointer,0,29-31,'HOU',trails
202,202,202,202112270CHO,22.2,4.1,2nd quarter,11:45.0,Daishen Nix,HOU,False,2-pointer,2,29-33,'HOU',trails
206,206,206,202112270CHO,23.7,6.3,2nd quarter,9:54.0,Daishen Nix,HOU,True,2-pointer,3,35-35,'HOU',tied
247,247,247,202112270CHO,20.1,29.3,3rd quarter,0:54.0,Daishen Nix,HOU,False,3-pointer,26,70-96,'HOU',trails
250,250,250,202112270CHO,22.6,3.8,4th quarter,9:45.0,Daishen Nix,HOU,True,2-pointer,2,74-100,'HOU',trails
255,255,255,202112270CHO,34.5,26.4,4th quarter,6:47.0,Daishen Nix,HOU,True,3-pointer,25,83-103,'HOU',trails
261,261,261,202112270CHO,38.3,25.8,4th quarter,3:35.0,Daishen Nix,HOU,False,3-pointer,27,89-112,'HOU',trails
263,263,263,202112270CHO,30.4,4.4,4th quarter,2:04.0,Daishen Nix,HOU,True,2-pointer,7,94-118,'HOU',trails
523,523,523,202201010HOU,22.2,3.4,3rd quarter,3:42.0,Daishen Nix,HOU,True,2-pointer,2,67-93,'HOU',trails
525,525,525,202201010HOU,11.7,25.3,3rd quarter,2:50.0,Daishen Nix,HOU,True,3-pointer,25,72-93,'HOU',trails
533,533,533,202201010HOU,25.9,4.3,4th quarter,10:26.0,Daishen Nix,HOU,True,2-pointer,2,76-104,'HOU',trails
546,546,546,202201010HOU,25.6,4.1,4th quarter,3:20.0,Daishen Nix,HOU,True,2-pointer,2,93-117,'HOU',trails
548,548,548,202201010HOU,30.3,28.2,4th quarter,2:26.0,Daishen Nix,HOU,False,3-pointer,26,95-117,'HOU',trails
552,552,552,202201010HOU,47.3,9.3,4th quarter,1:09.0,Daishen Nix,HOU,True,3-pointer,24,104-119,'HOU',trails
700,700,700,202201070HOU,24.1,10.3,4th quarter,8:17.0,Daishen Nix,HOU,False,2-pointer,7,87-118,'DAL',trails
717,717,717,202201070HOU,43.2,22.2,4th quarter,0:30.0,Daishen Nix,HOU,False,3-pointer,27,103-130,'DAL',trails
744,744,744,202201090HOU,25.4,4.9,4th quarter,4:39.0,Daishen Nix,HOU,True,2-pointer,2,113-129,'HOU',trails
749,749,749,202201090HOU,24.0,4.4,4th quarter,2:34.0,Daishen Nix,HOU,True,2-pointer,1,118-134,'HOU',trails
704,704,704,202201100HOU,27.3,6.3,4th quarter,2:06.0,Daishen Nix,HOU,False,2-pointer,4,82-107,'HOU',trails
706,706,706,202201100HOU,24.8,4.1,4th quarter,1:01.0,Daishen Nix,HOU,True,2-pointer,1,86-111,'HOU',trails
259,259,259,202203040DEN,26.6,5.1,4th quarter,2:08.0,Daishen Nix,HOU,False,2-pointer,3,92-109,'HOU',trails
549,549,549,202203070MIA,25.4,3.1,1st quarter,0:31.0,Daishen Nix,HOU,False,2-pointer,1,32-25,'HOU',leads
555,555,555,202203070MIA,22.8,3.7,2nd quarter,9:20.0,Daishen Nix,HOU,True,2-pointer,1,39-32,'HOU',leads
559,559,559,202203070MIA,42.9,21.3,2nd quarter,7:05.0,Daishen Nix,HOU,True,3-pointer,26,45-35,'HOU',leads
593,593,593,202203070MIA,26.1,8.1,4th quarter,9:11.0,Daishen Nix,HOU,False,2-pointer,5,81-97,'HOU',trails
596,596,596,202203070MIA,48.3,12.9,4th quarter,7:39.0,Daishen Nix,HOU,False,3-pointer,26,85-99,'HOU',trails
610,610,610,202203070MIA,47.3,9.6,4th quarter,0:39.0,Daishen Nix,HOU,False,3-pointer,24,101-123,'HOU',trails
512,512,512,202203110HOU,7.2,22.9,4th quarter,3:35.0,Daishen Nix,HOU,False,3-pointer,26,94-111,'DAL',trails
695,695,695,202203130NOP,26.5,3.3,1st quarter,1:02.0,Daishen Nix,HOU,True,2-pointer,3,28-25,'NOP',leads
738,738,738,202203130NOP,22.9,6.0,4th quarter,10:01.0,Daishen Nix,HOU,False,2-pointer,3,76-104,'NOP',trails
739,739,739,202203130NOP,23.1,4.2,4th quarter,9:56.0,Daishen Nix,HOU,True,2-pointer,1,78-104,'NOP',trails
745,745,745,202203130NOP,12.0,27.7,4th quarter,4:53.0,Daishen Nix,HOU,True,3-pointer,27,93-113,'NOP',trails
748,748,748,202203130NOP,6.7,22.3,4th quarter,1:47.0,Daishen Nix,HOU,False,3-pointer,26,98-121,'NOP',trails
801,801,801,202203160HOU,20.2,31.0,2nd quarter,8:24.0,Daishen Nix,HOU,False,3-pointer,28,39-43,'HOU',trails
803,803,803,202203160HOU,36.3,18.0,2nd quarter,7:16.0,Daishen Nix,HOU,False,2-pointer,19,39-45,'HOU',trails
846,846,846,202203160HOU,23.1,5.5,4th quarter,7:29.0,Daishen Nix,HOU,False,2-pointer,2,95-105,'HOU',trails
703,703,703,202203180HOU,19.6,7.5,4th quarter,10:02.0,Daishen Nix,HOU,False,2-pointer,6,95-87,'HOU',leads
655,655,655,202203200HOU,25.8,6.3,2nd quarter,11:35.0,Daishen Nix,HOU,False,2-pointer,4,21-30,'HOU',trails
706,706,706,202203200HOU,24.4,5.5,4th quarter,7:49.0,Daishen Nix,HOU,True,2-pointer,2,78-101,'HOU',trails
718,718,718,202203200HOU,21.6,5.2,4th quarter,1:00.0,Daishen Nix,HOU,True,2-pointer,3,96-122,'HOU',trails
