Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1646,1646,1646,201201110UTA,21.0,7.0,2nd quarter,8:43.0,Darius Morris,LAL,True,2-pointer,4,28-29,'LAL',trails
1676,1676,1676,201201110UTA,27.6,6.9,3rd quarter,0:05.2,Darius Morris,LAL,True,2-pointer,4,66-61,'LAL',leads
876,876,876,201201130LAL,47.4,5.6,1st quarter,5:02.0,Darius Morris,LAL,True,3-pointer,23,17-18,'LAL',trails
880,880,880,201201130LAL,35.0,14.3,1st quarter,2:34.0,Darius Morris,LAL,False,2-pointer,14,23-19,'LAL',leads
913,913,913,201201130LAL,23.3,17.3,3rd quarter,4:48.0,Darius Morris,LAL,False,2-pointer,12,71-59,'LAL',leads
1080,1080,1080,201201140LAC,37.8,7.0,4th quarter,9:19.0,Darius Morris,LAL,True,2-pointer,14,78-84,'LAL',trails
1081,1081,1081,201201140LAC,27.9,11.3,4th quarter,7:42.0,Darius Morris,LAL,False,2-pointer,7,78-89,'LAL',trails
739,739,739,201201160LAL,33.5,20.6,2nd quarter,10:41.0,Darius Morris,LAL,False,2-pointer,18,17-18,'DAL',trails
206,206,206,201201190MIA,24.0,11.4,2nd quarter,9:54.0,Darius Morris,LAL,False,2-pointer,6,22-28,'MIA',trails
207,207,207,201201190MIA,42.9,5.4,2nd quarter,8:35.0,Darius Morris,LAL,False,2-pointer,19,22-30,'MIA',trails
237,237,237,201201190MIA,4.9,21.2,3rd quarter,2:11.0,Darius Morris,LAL,False,3-pointer,25,54-73,'MIA',trails
932,932,932,201201200ORL,27.9,13.2,1st quarter,4:02.0,Darius Morris,LAL,False,2-pointer,9,8-17,'LAL',trails
937,937,937,201201200ORL,23.6,10.2,1st quarter,0:44.9,Darius Morris,LAL,False,2-pointer,5,8-20,'LAL',trails
972,972,972,201201200ORL,40.6,22.8,3rd quarter,1:21.0,Darius Morris,LAL,False,3-pointer,24,51-63,'LAL',trails
975,975,975,201201200ORL,9.4,28.0,4th quarter,10:48.0,Darius Morris,LAL,True,3-pointer,27,55-67,'LAL',trails
976,976,976,201201200ORL,25.8,6.4,4th quarter,10:15.0,Darius Morris,LAL,True,2-pointer,2,57-67,'LAL',trails
256,256,256,201201220LAL,25.3,6.9,2nd quarter,8:55.0,Darius Morris,LAL,True,2-pointer,2,33-23,'IND',leads
290,290,290,201201220LAL,24.7,18.7,3rd quarter,0:51.9,Darius Morris,LAL,False,2-pointer,14,75-75,'IND',tied
299,299,299,201201220LAL,29.4,6.4,4th quarter,7:55.0,Darius Morris,LAL,False,2-pointer,6,84-77,'IND',leads
405,405,405,201201280MIL,24.4,18.4,4th quarter,0:28.5,Darius Morris,LAL,True,2-pointer,13,87-98,'LAL',trails
406,406,406,201201280MIL,24.6,5.7,4th quarter,0:00.0,Darius Morris,LAL,True,2-pointer,1,89-100,'LAL',trails
629,629,629,201201310LAL,21.9,5.9,4th quarter,1:38.0,Darius Morris,LAL,True,2-pointer,2,104-70,'LAL',leads
1890,1890,1890,201202040UTA,21.7,8.6,4th quarter,0:16.9,Darius Morris,LAL,True,2-pointer,4,87-96,'LAL',trails
1579,1579,1579,201202190PHO,21.9,5.1,4th quarter,0:21.8,Darius Morris,LAL,True,2-pointer,2,90-102,'LAL',trails
245,245,245,201203210DAL,10.2,16.5,4th quarter,0:56.8,Darius Morris,LAL,True,2-pointer,18,109-91,'DAL',leads
1388,1388,1388,201204070PHO,39.2,11.6,4th quarter,1:01.0,Darius Morris,LAL,False,2-pointer,17,103-122,'LAL',trails
