Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
487,487,487,200910270POR,22.4,25.3,1st quarter,2:25.0,David Andersen,HOU,False,2-pointer,20,20-22,'POR',trails
488,488,488,200910270POR,22.5,24.7,1st quarter,1:57.0,David Andersen,HOU,True,2-pointer,20,22-22,'POR',tied
532,532,532,200910270POR,5.3,8.0,4th quarter,9:46.0,David Andersen,HOU,True,2-pointer,19,62-78,'POR',trails
534,534,534,200910270POR,9.9,24.8,4th quarter,8:01.0,David Andersen,HOU,True,3-pointer,24,67-80,'POR',trails
540,540,540,200910270POR,38.0,10.2,4th quarter,4:30.0,David Andersen,HOU,True,2-pointer,15,75-85,'POR',trails
541,541,541,200910270POR,33.9,8.3,4th quarter,4:04.0,David Andersen,HOU,False,2-pointer,10,75-85,'POR',trails
543,543,543,200910270POR,24.0,5.0,4th quarter,3:46.0,David Andersen,HOU,False,2-pointer,0,75-87,'POR',trails
553,553,553,200910270POR,9.9,22.0,4th quarter,0:11.9,David Andersen,HOU,False,2-pointer,22,87-96,'POR',trails
505,505,505,200910280GSW,26.8,7.5,2nd quarter,10:48.0,David Andersen,HOU,True,2-pointer,4,32-28,'HOU',leads
511,511,511,200910280GSW,37.6,5.6,2nd quarter,7:04.0,David Andersen,HOU,True,2-pointer,14,36-35,'HOU',leads
512,512,512,200910280GSW,32.0,10.6,2nd quarter,5:33.0,David Andersen,HOU,True,2-pointer,10,40-39,'HOU',leads
238,238,238,200910310HOU,32.6,7.6,2nd quarter,4:05.0,David Andersen,HOU,False,2-pointer,9,49-42,'POR',leads
261,261,261,200910310HOU,23.0,13.5,3rd quarter,2:52.0,David Andersen,HOU,False,2-pointer,9,79-74,'POR',leads
264,264,264,200910310HOU,11.8,7.8,3rd quarter,0:33.1,David Andersen,HOU,True,2-pointer,13,83-77,'POR',leads
683,683,683,200911020UTA,14.0,9.2,1st quarter,4:26.0,David Andersen,HOU,False,2-pointer,11,19-15,'HOU',leads
685,685,685,200911020UTA,15.6,22.9,1st quarter,3:36.0,David Andersen,HOU,False,2-pointer,20,22-17,'HOU',leads
687,687,687,200911020UTA,32.8,12.8,1st quarter,3:02.0,David Andersen,HOU,True,2-pointer,12,24-19,'HOU',leads
694,694,694,200911020UTA,28.0,16.2,2nd quarter,11:31.0,David Andersen,HOU,False,2-pointer,12,26-28,'HOU',trails
697,697,697,200911020UTA,38.9,20.6,2nd quarter,10:45.0,David Andersen,HOU,False,2-pointer,22,26-28,'HOU',trails
699,699,699,200911020UTA,27.4,7.3,2nd quarter,10:19.0,David Andersen,HOU,False,2-pointer,4,26-30,'HOU',trails
703,703,703,200911020UTA,24.0,5.0,2nd quarter,8:19.0,David Andersen,HOU,False,2-pointer,0,32-34,'HOU',trails
283,283,283,200911040HOU,35.1,22.8,2nd quarter,9:01.0,David Andersen,HOU,False,2-pointer,21,25-29,'HOU',trails
600,600,600,200911060HOU,21.1,11.9,2nd quarter,8:53.0,David Andersen,HOU,True,2-pointer,7,32-27,'HOU',leads
607,607,607,200911060HOU,24.0,5.0,2nd quarter,5:33.0,David Andersen,HOU,False,2-pointer,0,41-33,'HOU',leads
608,608,608,200911060HOU,33.2,6.7,2nd quarter,5:16.0,David Andersen,HOU,False,2-pointer,9,41-33,'HOU',leads
349,349,349,200911100DAL,6.9,12.1,2nd quarter,10:46.0,David Andersen,HOU,False,2-pointer,19,42-30,'HOU',leads
350,350,350,200911100DAL,16.7,23.3,2nd quarter,10:33.0,David Andersen,HOU,True,2-pointer,20,44-30,'HOU',leads
355,355,355,200911100DAL,28.0,13.3,2nd quarter,8:05.0,David Andersen,HOU,True,2-pointer,9,48-35,'HOU',leads
360,360,360,200911100DAL,19.9,30.4,2nd quarter,5:52.0,David Andersen,HOU,False,3-pointer,26,54-39,'HOU',leads
361,361,361,200911100DAL,25.0,13.8,2nd quarter,5:25.0,David Andersen,HOU,True,2-pointer,9,56-39,'HOU',leads
363,363,363,200911100DAL,10.2,14.7,2nd quarter,3:46.0,David Andersen,HOU,True,2-pointer,17,58-45,'HOU',leads
368,368,368,200911100DAL,10.2,25.8,2nd quarter,2:15.0,David Andersen,HOU,False,3-pointer,25,61-49,'HOU',leads
389,389,389,200911100DAL,14.5,8.4,3rd quarter,0:54.9,David Andersen,HOU,False,2-pointer,10,72-80,'HOU',trails
393,393,393,200911100DAL,24.0,5.0,3rd quarter,0:00.3,David Andersen,HOU,True,2-pointer,0,74-83,'HOU',trails
399,399,399,200911100DAL,22.2,15.7,4th quarter,8:15.0,David Andersen,HOU,False,2-pointer,11,80-92,'HOU',trails
402,402,402,200911100DAL,29.1,25.0,4th quarter,5:10.0,David Andersen,HOU,False,2-pointer,21,87-100,'HOU',trails
404,404,404,200911100DAL,24.0,15.1,4th quarter,3:29.0,David Andersen,HOU,False,2-pointer,10,91-107,'HOU',trails
