Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
177,177,177,201610270ATL,26.4,3.0,4th quarter,1:43.0,DeAndre' Bembry,ATL,True,2-pointer,2,109-94,'WAS',leads
1108,1108,1108,201610290PHI,38.6,23.0,4th quarter,5:22.0,DeAndre' Bembry,ATL,False,3-pointer,24,94-68,'ATL',leads
1113,1113,1113,201610290PHI,18.0,11.0,4th quarter,3:07.0,DeAndre' Bembry,ATL,False,2-pointer,10,96-70,'ATL',leads
1115,1115,1115,201610290PHI,36.8,2.9,4th quarter,0:55.0,DeAndre' Bembry,ATL,True,2-pointer,12,102-72,'ATL',leads
173,173,173,201611120ATL,25.2,14.5,4th quarter,1:38.0,DeAndre' Bembry,ATL,False,2-pointer,11,112-94,'ATL',leads
174,174,174,201611120ATL,24.2,2.9,4th quarter,1:35.0,DeAndre' Bembry,ATL,False,2-pointer,0,112-94,'ATL',leads
149,149,149,201611220ATL,21.8,4.6,4th quarter,11:42.0,DeAndre' Bembry,ATL,False,2-pointer,3,71-95,'NOP',trails
161,161,161,201611220ATL,28.3,4.3,4th quarter,5:49.0,DeAndre' Bembry,ATL,False,2-pointer,4,82-105,'NOP',trails
164,164,164,201611220ATL,6.1,19.9,4th quarter,4:38.0,DeAndre' Bembry,ATL,False,3-pointer,25,84-107,'NOP',trails
166,166,166,201611220ATL,25.7,3.2,4th quarter,3:42.0,DeAndre' Bembry,ATL,True,2-pointer,2,86-109,'NOP',trails
2480,2480,2480,201611250UTA,26.2,2.9,4th quarter,0:09.0,DeAndre' Bembry,ATL,True,2-pointer,2,68-95,'UTA',trails
573,573,573,201611270LAL,-1.0,-0.6,4th quarter,0:50.0,DeAndre' Bembry,ATL,False,3-pointer,25,90-107,'LAL',trails
1278,1278,1278,201612030TOR,23.3,7.3,4th quarter,6:08.0,DeAndre' Bembry,ATL,False,2-pointer,4,77-108,'TOR',trails
1284,1284,1284,201612030TOR,25.9,4.8,4th quarter,2:15.0,DeAndre' Bembry,ATL,False,2-pointer,2,79-119,'TOR',trails
556,556,556,201612230DEN,24.9,3.0,1st quarter,1:35.0,DeAndre' Bembry,ATL,True,2-pointer,1,27-27,'DEN',tied
566,566,566,201612230DEN,5.7,20.0,2nd quarter,6:05.0,DeAndre' Bembry,ATL,False,3-pointer,25,35-40,'DEN',trails
598,598,598,201612230DEN,22.6,4.1,3rd quarter,1:49.0,DeAndre' Bembry,ATL,False,2-pointer,2,75-75,'DEN',tied
601,601,601,201612230DEN,34.2,18.4,3rd quarter,0:41.0,DeAndre' Bembry,ATL,True,2-pointer,18,81-79,'DEN',leads
606,606,606,201612230DEN,25.2,3.3,4th quarter,10:04.0,DeAndre' Bembry,ATL,True,2-pointer,1,85-88,'DEN',trails
611,611,611,201612230DEN,26.0,4.6,4th quarter,6:32.0,DeAndre' Bembry,ATL,True,2-pointer,3,91-92,'DEN',trails
886,886,886,201612260MIN,25.2,5.1,2nd quarter,11:17.0,DeAndre' Bembry,ATL,True,2-pointer,2,27-25,'MIN',leads
929,929,929,201612260MIN,24.6,3.0,4th quarter,9:17.0,DeAndre' Bembry,ATL,True,2-pointer,1,69-94,'MIN',trails
934,934,934,201612260MIN,23.4,3.7,4th quarter,5:59.0,DeAndre' Bembry,ATL,False,2-pointer,1,76-96,'MIN',trails
940,940,940,201612260MIN,23.3,4.1,4th quarter,2:20.0,DeAndre' Bembry,ATL,True,2-pointer,1,82-100,'MIN',trails
907,907,907,201701050NOP,23.1,3.3,1st quarter,1:46.0,DeAndre' Bembry,ATL,True,2-pointer,0,23-18,'NOP',leads
912,912,912,201701050NOP,40.6,21.3,2nd quarter,11:40.0,DeAndre' Bembry,ATL,False,3-pointer,24,23-28,'NOP',trails
957,957,957,201701050NOP,23.9,2.9,4th quarter,11:29.0,DeAndre' Bembry,ATL,True,2-pointer,0,77-72,'NOP',leads
960,960,960,201701050NOP,24.9,3.2,4th quarter,9:51.0,DeAndre' Bembry,ATL,True,2-pointer,0,79-72,'NOP',leads
88,88,88,201701100BRK,28.2,8.7,4th quarter,1:42.0,DeAndre' Bembry,ATL,False,2-pointer,7,113-86,'ATL',leads
89,89,89,201701100BRK,24.6,22.3,4th quarter,1:18.0,DeAndre' Bembry,ATL,True,2-pointer,19,115-88,'ATL',leads
90,90,90,201701100BRK,33.2,26.4,4th quarter,0:43.0,DeAndre' Bembry,ATL,False,3-pointer,25,115-89,'ATL',leads
423,423,423,201701180DET,8.9,6.6,4th quarter,9:29.0,DeAndre' Bembry,ATL,False,2-pointer,16,72-97,'DET',trails
425,425,425,201701180DET,22.9,2.4,4th quarter,7:45.0,DeAndre' Bembry,ATL,True,2-pointer,1,76-100,'DET',trails
147,147,147,201701200ATL,24.2,3.2,4th quarter,7:38.0,DeAndre' Bembry,ATL,True,2-pointer,0,91-67,'CHI',leads
150,150,150,201701200ATL,25.7,18.6,4th quarter,5:37.0,DeAndre' Bembry,ATL,False,2-pointer,16,91-70,'CHI',leads
151,151,151,201701200ATL,8.2,4.1,4th quarter,5:06.0,DeAndre' Bembry,ATL,False,2-pointer,16,91-72,'CHI',leads
162,162,162,201701200ATL,24.0,3.1,4th quarter,0:36.0,DeAndre' Bembry,ATL,True,2-pointer,0,100-90,'CHI',leads
156,156,156,201701270ATL,24.0,3.1,4th quarter,6:53.0,DeAndre' Bembry,ATL,False,2-pointer,0,72-102,'WAS',trails
169,169,169,201701270ATL,21.8,6.6,4th quarter,0:33.0,DeAndre' Bembry,ATL,False,2-pointer,4,83-109,'WAS',trails
1280,1280,1280,201702010MIA,27.8,5.6,3rd quarter,1:31.0,DeAndre' Bembry,ATL,True,2-pointer,5,67-88,'MIA',trails
1284,1284,1284,201702010MIA,25.2,4.1,4th quarter,11:45.0,DeAndre' Bembry,ATL,True,2-pointer,2,73-94,'MIA',trails
1294,1294,1294,201702010MIA,25.0,5.6,4th quarter,6:00.0,DeAndre' Bembry,ATL,False,2-pointer,3,86-105,'MIA',trails
1298,1298,1298,201702010MIA,22.7,3.4,4th quarter,3:20.0,DeAndre' Bembry,ATL,False,2-pointer,1,90-114,'MIA',trails
1301,1301,1301,201702010MIA,22.6,3.7,4th quarter,2:09.0,DeAndre' Bembry,ATL,False,2-pointer,2,90-116,'MIA',trails
1305,1305,1305,201702010MIA,24.9,4.1,4th quarter,0:29.0,DeAndre' Bembry,ATL,False,2-pointer,1,93-116,'MIA',trails
55,55,55,201702020HOU,23.9,4.6,3rd quarter,2:53.0,DeAndre' Bembry,ATL,True,2-pointer,2,70-80,'HOU',trails
57,57,57,201702020HOU,40.1,15.0,3rd quarter,1:23.0,DeAndre' Bembry,ATL,True,2-pointer,20,73-83,'HOU',trails
65,65,65,201702020HOU,24.5,3.9,4th quarter,8:15.0,DeAndre' Bembry,ATL,True,2-pointer,1,79-97,'HOU',trails
67,67,67,201702020HOU,25.5,3.7,4th quarter,7:53.0,DeAndre' Bembry,ATL,True,2-pointer,2,81-97,'HOU',trails
78,78,78,201702020HOU,0.2,4.8,4th quarter,2:52.0,DeAndre' Bembry,ATL,False,3-pointer,24,104-106,'HOU',trails
83,83,83,201702020HOU,24.0,3.1,4th quarter,0:03.0,DeAndre' Bembry,ATL,True,2-pointer,0,113-108,'HOU',leads
101,101,101,201702040ATL,23.8,3.7,2nd quarter,10:04.0,DeAndre' Bembry,ATL,False,2-pointer,0,37-26,'ORL',leads
145,145,145,201702040ATL,4.9,18.6,4th quarter,7:11.0,DeAndre' Bembry,ATL,False,3-pointer,24,96-75,'ORL',leads
146,146,146,201702040ATL,24.0,3.1,4th quarter,6:26.0,DeAndre' Bembry,ATL,False,2-pointer,0,96-75,'ORL',leads
151,151,151,201702040ATL,47.3,7.3,4th quarter,3:17.0,DeAndre' Bembry,ATL,False,3-pointer,23,104-81,'ORL',leads
91,91,91,201702060ATL,26.2,3.2,1st quarter,4:30.0,DeAndre' Bembry,ATL,True,2-pointer,2,12-23,'UTA',trails
