Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1463,1463,1463,202012230PHI,3.4,16.8,1st quarter,7:08.0,Deni Avdija,WAS,True,3-pointer,25,14-14,'WAS',tied
1504,1504,1504,202012230PHI,19.5,28.7,3rd quarter,8:42.0,Deni Avdija,WAS,True,3-pointer,26,66-58,'WAS',leads
1769,1769,1769,202012260WAS,26.0,8.0,1st quarter,10:44.0,Deni Avdija,WAS,True,2-pointer,5,4-2,'ORL',leads
1854,1854,1854,202012260WAS,6.9,23.6,4th quarter,2:45.0,Deni Avdija,WAS,True,3-pointer,27,113-118,'ORL',trails
1678,1678,1678,202012270WAS,8.8,26.9,1st quarter,10:33.0,Deni Avdija,WAS,True,3-pointer,28,7-2,'ORL',leads
1686,1686,1686,202012270WAS,0.5,3.6,1st quarter,6:07.0,Deni Avdija,WAS,False,3-pointer,24,18-8,'ORL',leads
1712,1712,1712,202012270WAS,28.1,6.5,2nd quarter,3:22.0,Deni Avdija,WAS,True,2-pointer,5,54-56,'ORL',trails
1717,1717,1717,202012270WAS,22.7,6.5,2nd quarter,1:40.0,Deni Avdija,WAS,True,2-pointer,4,58-58,'ORL',tied
1723,1723,1723,202012270WAS,24.1,5.1,3rd quarter,10:54.0,Deni Avdija,WAS,True,2-pointer,2,65-64,'ORL',leads
1731,1731,1731,202012270WAS,21.5,3.9,3rd quarter,6:31.0,Deni Avdija,WAS,False,2-pointer,3,76-68,'ORL',leads
1742,1742,1742,202012270WAS,35.8,27.7,3rd quarter,2:35.0,Deni Avdija,WAS,False,3-pointer,27,90-77,'ORL',leads
1745,1745,1745,202012270WAS,31.3,6.0,3rd quarter,0:51.0,Deni Avdija,WAS,False,2-pointer,8,94-77,'ORL',leads
1747,1747,1747,202012270WAS,42.0,24.6,4th quarter,11:46.0,Deni Avdija,WAS,False,3-pointer,28,94-77,'ORL',leads
1748,1748,1748,202012270WAS,28.1,4.6,4th quarter,11:08.0,Deni Avdija,WAS,False,2-pointer,4,94-79,'ORL',leads
1754,1754,1754,202012270WAS,7.9,24.9,4th quarter,7:19.0,Deni Avdija,WAS,False,3-pointer,27,96-91,'ORL',leads
1634,1634,1634,202012290WAS,43.7,21.3,1st quarter,5:12.0,Deni Avdija,WAS,False,3-pointer,27,12-13,'WAS',trails
1661,1661,1661,202012290WAS,2.6,18.3,2nd quarter,5:37.0,Deni Avdija,WAS,True,3-pointer,26,40-39,'WAS',leads
1676,1676,1676,202012290WAS,47.3,2.8,3rd quarter,7:40.0,Deni Avdija,WAS,True,3-pointer,23,57-63,'WAS',trails
1679,1679,1679,202012290WAS,0.2,2.3,3rd quarter,6:16.0,Deni Avdija,WAS,False,3-pointer,24,59-68,'WAS',trails
1700,1700,1700,202012290WAS,-0.1,2.2,4th quarter,4:49.0,Deni Avdija,WAS,True,3-pointer,24,93-107,'WAS',trails
1704,1704,1704,202012290WAS,34.6,16.3,4th quarter,1:33.0,Deni Avdija,WAS,False,2-pointer,17,100-111,'WAS',trails
1148,1148,1148,202012310WAS,23.8,4.2,1st quarter,5:25.0,Deni Avdija,WAS,True,2-pointer,1,27-18,'WAS',leads
1164,1164,1164,202012310WAS,42.4,21.8,2nd quarter,7:09.0,Deni Avdija,WAS,False,3-pointer,26,48-49,'WAS',trails
1179,1179,1179,202012310WAS,-0.3,4.1,2nd quarter,0:29.0,Deni Avdija,WAS,False,3-pointer,24,68-68,'WAS',tied
1184,1184,1184,202012310WAS,0.9,2.6,3rd quarter,10:40.0,Deni Avdija,WAS,False,3-pointer,23,70-71,'WAS',trails
1187,1187,1187,202012310WAS,28.8,3.1,3rd quarter,9:11.0,Deni Avdija,WAS,True,2-pointer,5,78-73,'WAS',leads
1184,1184,1184,202101010MIN,10.3,24.6,1st quarter,10:28.0,Deni Avdija,WAS,True,3-pointer,25,8-3,'MIN',leads
1195,1195,1195,202101010MIN,42.8,19.2,1st quarter,5:28.0,Deni Avdija,WAS,False,3-pointer,25,21-11,'MIN',leads
1219,1219,1219,202101010MIN,46.4,7.9,2nd quarter,3:42.0,Deni Avdija,WAS,False,3-pointer,23,51-43,'MIN',leads
1239,1239,1239,202101010MIN,41.8,21.6,3rd quarter,4:13.0,Deni Avdija,WAS,True,3-pointer,26,89-66,'MIN',leads
1241,1241,1241,202101010MIN,47.0,10.8,3rd quarter,3:26.0,Deni Avdija,WAS,True,3-pointer,24,95-67,'MIN',leads
1246,1246,1246,202101010MIN,30.3,8.3,3rd quarter,1:10.0,Deni Avdija,WAS,False,2-pointer,8,98-71,'MIN',leads
1255,1255,1255,202101010MIN,25.4,5.7,4th quarter,9:05.0,Deni Avdija,WAS,True,2-pointer,3,115-80,'MIN',leads
1,1,1,202101030BRK,46.0,15.9,1st quarter,11:04.0,Deni Avdija,WAS,True,3-pointer,25,3-3,'WAS',tied
9,9,9,202101030BRK,26.2,6.5,1st quarter,7:40.0,Deni Avdija,WAS,False,2-pointer,4,9-7,'WAS',leads
12,12,12,202101030BRK,34.5,25.8,1st quarter,5:49.0,Deni Avdija,WAS,False,3-pointer,25,15-14,'WAS',leads
61,61,61,202101030BRK,37.9,14.6,3rd quarter,6:53.0,Deni Avdija,WAS,False,2-pointer,18,80-80,'WAS',tied
0,0,0,202101080BOS,47.2,6.0,1st quarter,11:32.0,Deni Avdija,WAS,False,3-pointer,23,0-0,'BOS',tied
7,7,7,202101080BOS,26.5,4.1,1st quarter,7:37.0,Deni Avdija,WAS,False,2-pointer,3,8-11,'BOS',trails
40,40,40,202101080BOS,43.3,19.1,2nd quarter,2:57.0,Deni Avdija,WAS,False,3-pointer,25,43-61,'BOS',trails
1356,1356,1356,202101090WAS,30.1,2.7,1st quarter,11:07.0,Deni Avdija,WAS,False,2-pointer,6,0-0,'MIA',tied
1367,1367,1367,202101090WAS,23.7,5.4,1st quarter,6:00.0,Deni Avdija,WAS,True,2-pointer,2,16-22,'MIA',trails
1368,1368,1368,202101090WAS,14.5,28.3,1st quarter,5:37.0,Deni Avdija,WAS,False,3-pointer,27,17-24,'MIA',trails
1371,1371,1371,202101090WAS,47.3,0.4,1st quarter,4:49.0,Deni Avdija,WAS,True,3-pointer,23,22-26,'MIA',trails
1373,1373,1373,202101090WAS,5.3,21.6,1st quarter,3:39.0,Deni Avdija,WAS,True,3-pointer,26,28-32,'MIA',trails
1385,1385,1385,202101090WAS,22.5,3.6,2nd quarter,8:21.0,Deni Avdija,WAS,True,2-pointer,2,54-58,'MIA',trails
1399,1399,1399,202101090WAS,22.0,7.9,3rd quarter,11:20.0,Deni Avdija,WAS,False,2-pointer,5,73-75,'MIA',trails
1404,1404,1404,202101090WAS,21.1,11.3,3rd quarter,9:44.0,Deni Avdija,WAS,False,2-pointer,9,73-79,'MIA',trails
1406,1406,1406,202101090WAS,10.1,26.7,3rd quarter,8:50.0,Deni Avdija,WAS,False,3-pointer,27,76-81,'MIA',trails
1409,1409,1409,202101090WAS,46.8,6.2,3rd quarter,7:33.0,Deni Avdija,WAS,False,3-pointer,23,76-81,'MIA',trails
1416,1416,1416,202101090WAS,30.1,21.3,3rd quarter,4:08.0,Deni Avdija,WAS,False,2-pointer,19,80-91,'MIA',trails
1446,1446,1446,202101090WAS,25.7,32.7,4th quarter,1:54.0,Deni Avdija,WAS,True,3-pointer,29,116-127,'MIA',trails
1447,1447,1447,202101090WAS,43.5,22.9,4th quarter,1:38.0,Deni Avdija,WAS,True,3-pointer,28,119-127,'MIA',trails
1448,1448,1448,202101090WAS,2.1,19.8,4th quarter,1:18.0,Deni Avdija,WAS,True,3-pointer,27,122-127,'MIA',trails
1450,1450,1450,202101090WAS,31.8,31.8,4th quarter,0:44.0,Deni Avdija,WAS,False,3-pointer,30,122-127,'MIA',trails
1138,1138,1138,202101110WAS,28.1,5.9,1st quarter,9:10.0,Deni Avdija,WAS,False,2-pointer,5,8-4,'PHO',leads
1177,1177,1177,202101110WAS,18.2,11.8,2nd quarter,2:07.0,Deni Avdija,WAS,False,2-pointer,10,63-35,'PHO',leads
1178,1178,1178,202101110WAS,18.5,3.2,2nd quarter,2:05.0,Deni Avdija,WAS,True,2-pointer,6,65-35,'PHO',leads
1191,1191,1191,202101110WAS,29.3,3.1,3rd quarter,6:21.0,Deni Avdija,WAS,True,2-pointer,5,87-58,'PHO',leads
1194,1194,1194,202101110WAS,22.3,23.8,3rd quarter,4:50.0,Deni Avdija,WAS,True,2-pointer,21,91-60,'PHO',leads
1197,1197,1197,202101110WAS,39.9,3.2,3rd quarter,3:07.0,Deni Avdija,WAS,False,2-pointer,16,93-65,'PHO',leads
937,937,937,202101310WAS,7.2,23.6,1st quarter,11:33.0,Deni Avdija,WAS,False,3-pointer,26,0-0,'WAS',tied
976,976,976,202101310WAS,27.7,3.9,2nd quarter,6:04.0,Deni Avdija,WAS,True,2-pointer,4,46-52,'WAS',trails
991,991,991,202101310WAS,23.6,6.4,3rd quarter,10:59.0,Deni Avdija,WAS,False,2-pointer,3,65-71,'WAS',trails
1024,1024,1024,202101310WAS,0.5,4.6,4th quarter,7:52.0,Deni Avdija,WAS,False,3-pointer,24,114-120,'WAS',trails
962,962,962,202102020WAS,25.4,5.5,1st quarter,11:22.0,Deni Avdija,WAS,True,2-pointer,3,2-0,'POR',leads
