Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1724,1724,1724,200010310UTA,12.3,24.4,2nd quarter,9:10.0,Derek Strong,LAC,False,2-pointer,23,25-24,'UTA',leads
1727,1727,1727,200010310UTA,28.5,5.0,2nd quarter,6:32.0,Derek Strong,LAC,False,2-pointer,5,29-28,'UTA',leads
1733,1733,1733,200010310UTA,4.0,13.2,2nd quarter,3:02.0,Derek Strong,LAC,False,2-pointer,22,36-39,'UTA',trails
1735,1735,1735,200010310UTA,6.4,8.6,2nd quarter,1:59.0,Derek Strong,LAC,True,2-pointer,18,40-41,'UTA',trails
1749,1749,1749,200010310UTA,24.0,5.0,3rd quarter,1:41.0,Derek Strong,LAC,True,2-pointer,0,63-82,'UTA',trails
1759,1759,1759,200010310UTA,24.0,5.0,4th quarter,7:41.0,Derek Strong,LAC,True,2-pointer,0,79-92,'UTA',trails
1074,1074,1074,200011040LAC,4.3,6.5,4th quarter,9:25.0,Derek Strong,LAC,True,2-pointer,20,65-59,'HOU',leads
609,609,609,200011100LAC,42.4,3.7,2nd quarter,0:52.5,Derek Strong,LAC,True,2-pointer,18,42-58,'ATL',trails
69,69,69,200011120DEN,24.0,5.0,4th quarter,6:40.0,Derek Strong,LAC,False,2-pointer,0,67-82,'DEN',trails
70,70,70,200011120DEN,24.0,5.0,4th quarter,6:12.0,Derek Strong,LAC,True,2-pointer,0,69-82,'DEN',trails
72,72,72,200011120DEN,24.0,5.0,4th quarter,5:32.0,Derek Strong,LAC,True,2-pointer,0,71-82,'DEN',trails
73,73,73,200011120DEN,9.3,16.4,4th quarter,5:03.0,Derek Strong,LAC,False,2-pointer,19,71-85,'DEN',trails
412,412,412,200011150LAC,11.2,5.0,1st quarter,2:10.0,Derek Strong,LAC,False,2-pointer,13,10-17,'NYK',trails
414,414,414,200011150LAC,43.5,4.8,1st quarter,1:23.0,Derek Strong,LAC,False,2-pointer,20,13-19,'NYK',trails
419,419,419,200011150LAC,24.0,5.0,2nd quarter,10:30.0,Derek Strong,LAC,False,2-pointer,0,17-26,'NYK',trails
429,429,429,200011150LAC,16.3,7.3,2nd quarter,4:45.0,Derek Strong,LAC,False,2-pointer,8,27-34,'NYK',trails
430,430,430,200011150LAC,24.0,5.0,2nd quarter,4:41.0,Derek Strong,LAC,True,2-pointer,0,29-34,'NYK',trails
461,461,461,200011150LAC,24.0,5.0,3rd quarter,0:06.9,Derek Strong,LAC,False,2-pointer,0,56-58,'NYK',trails
466,466,466,200011150LAC,24.0,5.0,4th quarter,7:31.0,Derek Strong,LAC,False,2-pointer,0,63-66,'NYK',trails
795,795,795,200011160VAN,23.9,25.9,1st quarter,4:23.0,Derek Strong,LAC,False,2-pointer,21,15-11,'VAN',leads
800,800,800,200011160VAN,5.3,7.8,1st quarter,0:46.9,Derek Strong,LAC,False,2-pointer,19,19-18,'VAN',leads
803,803,803,200011160VAN,24.3,8.4,2nd quarter,11:44.0,Derek Strong,LAC,False,2-pointer,3,22-22,'VAN',tied
806,806,806,200011160VAN,24.3,6.5,2nd quarter,10:18.0,Derek Strong,LAC,False,2-pointer,2,24-26,'VAN',trails
809,809,809,200011160VAN,6.2,5.4,2nd quarter,9:11.0,Derek Strong,LAC,True,2-pointer,18,29-30,'VAN',trails
810,810,810,200011160VAN,25.8,8.4,2nd quarter,8:12.0,Derek Strong,LAC,True,2-pointer,4,31-32,'VAN',trails
811,811,811,200011160VAN,24.3,5.4,2nd quarter,7:41.0,Derek Strong,LAC,True,2-pointer,1,33-32,'VAN',leads
813,813,813,200011160VAN,6.8,7.8,2nd quarter,5:47.0,Derek Strong,LAC,True,2-pointer,17,36-32,'VAN',leads
815,815,815,200011160VAN,25.8,7.1,2nd quarter,4:28.0,Derek Strong,LAC,False,2-pointer,3,38-32,'VAN',leads
829,829,829,200011160VAN,38.0,13.2,3rd quarter,7:47.0,Derek Strong,LAC,False,2-pointer,16,49-43,'VAN',leads
833,833,833,200011160VAN,14.6,15.6,3rd quarter,6:31.0,Derek Strong,LAC,False,2-pointer,14,51-45,'VAN',leads
834,834,834,200011160VAN,11.0,14.3,3rd quarter,6:14.0,Derek Strong,LAC,True,2-pointer,16,53-46,'VAN',leads
836,836,836,200011160VAN,27.2,6.5,3rd quarter,5:24.0,Derek Strong,LAC,False,2-pointer,4,53-46,'VAN',leads
850,850,850,200011160VAN,36.5,20.0,4th quarter,9:52.0,Derek Strong,LAC,False,2-pointer,20,59-61,'VAN',trails
853,853,853,200011160VAN,23.9,7.8,4th quarter,6:04.0,Derek Strong,LAC,False,2-pointer,3,65-65,'VAN',tied
546,546,546,200011180LAC,24.0,5.0,1st quarter,10:07.0,Derek Strong,LAC,False,2-pointer,0,1-0,'SEA',leads
562,562,562,200011180LAC,10.4,14.9,1st quarter,0:19.9,Derek Strong,LAC,False,2-pointer,17,15-20,'SEA',trails
568,568,568,200011180LAC,24.5,12.8,2nd quarter,7:53.0,Derek Strong,LAC,False,2-pointer,8,26-28,'SEA',trails
580,580,580,200011180LAC,16.1,23.4,3rd quarter,9:21.0,Derek Strong,LAC,False,2-pointer,20,44-49,'SEA',trails
586,586,586,200011180LAC,24.0,5.0,3rd quarter,6:31.0,Derek Strong,LAC,False,2-pointer,0,49-55,'SEA',trails
247,247,247,200011200LAC,24.0,5.0,1st quarter,11:39.0,Derek Strong,LAC,True,2-pointer,0,2-0,'NJN',leads
255,255,255,200011200LAC,24.0,5.0,1st quarter,5:29.0,Derek Strong,LAC,True,2-pointer,0,18-10,'NJN',leads
262,262,262,200011200LAC,24.0,5.0,1st quarter,0:47.3,Derek Strong,LAC,False,2-pointer,0,24-18,'NJN',leads
264,264,264,200011200LAC,24.0,5.0,1st quarter,0:39.9,Derek Strong,LAC,False,2-pointer,0,24-18,'NJN',leads
293,293,293,200011200LAC,23.6,15.8,3rd quarter,5:20.0,Derek Strong,LAC,True,2-pointer,11,47-49,'NJN',trails
298,298,298,200011200LAC,24.0,5.0,3rd quarter,3:01.0,Derek Strong,LAC,False,2-pointer,0,52-57,'NJN',trails
300,300,300,200011200LAC,24.0,5.0,3rd quarter,2:04.0,Derek Strong,LAC,False,2-pointer,0,52-60,'NJN',trails
311,311,311,200011200LAC,24.0,5.0,4th quarter,6:27.0,Derek Strong,LAC,False,2-pointer,0,65-71,'NJN',trails
312,312,312,200011200LAC,24.0,5.0,4th quarter,6:26.0,Derek Strong,LAC,False,2-pointer,0,65-71,'NJN',trails
1459,1459,1459,200011240SEA,21.7,6.5,1st quarter,11:22.0,Derek Strong,LAC,False,2-pointer,3,0-2,'SEA',trails
1460,1460,1460,200011240SEA,24.3,9.2,1st quarter,10:49.0,Derek Strong,LAC,False,2-pointer,4,0-2,'SEA',trails
1462,1462,1462,200011240SEA,24.0,5.0,1st quarter,10:23.0,Derek Strong,LAC,True,2-pointer,0,2-2,'SEA',tied
1471,1471,1471,200011240SEA,36.9,12.6,1st quarter,6:40.0,Derek Strong,LAC,True,2-pointer,15,14-10,'SEA',leads
1506,1506,1506,200011240SEA,24.0,5.0,2nd quarter,0:25.1,Derek Strong,LAC,True,2-pointer,0,48-52,'SEA',trails
1507,1507,1507,200011240SEA,13.9,5.0,3rd quarter,11:37.0,Derek Strong,LAC,False,2-pointer,10,48-52,'SEA',trails
1508,1508,1508,200011240SEA,34.2,8.6,3rd quarter,11:00.0,Derek Strong,LAC,True,2-pointer,11,50-52,'SEA',trails
1513,1513,1513,200011240SEA,24.0,5.0,3rd quarter,8:58.0,Derek Strong,LAC,False,2-pointer,0,52-56,'SEA',trails
1516,1516,1516,200011240SEA,15.4,3.1,3rd quarter,7:14.0,Derek Strong,LAC,False,2-pointer,9,52-61,'SEA',trails
594,594,594,200011250LAC,24.0,5.0,2nd quarter,2:50.0,Derek Strong,LAC,True,2-pointer,0,36-41,'PHO',trails
598,598,598,200011250LAC,23.4,17.0,2nd quarter,0:00.9,Derek Strong,LAC,False,2-pointer,12,38-45,'PHO',trails
613,613,613,200011250LAC,24.0,5.0,3rd quarter,1:37.0,Derek Strong,LAC,True,2-pointer,0,50-63,'PHO',trails
86,86,86,200011270LAC,23.4,9.7,1st quarter,10:33.0,Derek Strong,LAC,False,2-pointer,5,0-2,'LAL',trails
90,90,90,200011270LAC,30.2,11.3,1st quarter,8:29.0,Derek Strong,LAC,False,2-pointer,9,2-2,'LAL',tied
95,95,95,200011270LAC,24.0,5.0,1st quarter,5:24.0,Derek Strong,LAC,False,2-pointer,0,9-12,'LAL',trails
