Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1024,1024,1024,202012230MEM,46.5,10.6,1st quarter,3:22.0,Desmond Bane,MEM,False,3-pointer,24,28-23,'SAS',leads
1035,1035,1035,202012230MEM,15.2,29.7,2nd quarter,10:19.0,Desmond Bane,MEM,True,3-pointer,28,38-37,'SAS',leads
1036,1036,1036,202012230MEM,46.8,11.5,2nd quarter,9:47.0,Desmond Bane,MEM,True,3-pointer,24,41-39,'SAS',leads
1037,1037,1037,202012230MEM,7.7,22.9,2nd quarter,9:08.0,Desmond Bane,MEM,False,3-pointer,26,41-42,'SAS',trails
1075,1075,1075,202012230MEM,23.8,4.4,3rd quarter,0:58.0,Desmond Bane,MEM,False,2-pointer,1,84-95,'SAS',trails
688,688,688,202012260MEM,11.3,24.9,2nd quarter,2:45.0,Desmond Bane,MEM,True,3-pointer,25,54-53,'MEM',leads
727,727,727,202012260MEM,10.3,26.5,4th quarter,6:04.0,Desmond Bane,MEM,True,3-pointer,27,102-103,'MEM',trails
200,200,200,202012280BRK,8.2,23.6,1st quarter,2:48.0,Desmond Bane,MEM,True,3-pointer,26,25-17,'MEM',leads
240,240,240,202012280BRK,9.2,24.8,3rd quarter,5:19.0,Desmond Bane,MEM,True,3-pointer,26,74-68,'MEM',leads
242,242,242,202012280BRK,27.8,15.9,3rd quarter,4:09.0,Desmond Bane,MEM,False,2-pointer,13,75-74,'MEM',leads
250,250,250,202012280BRK,4.8,19.5,4th quarter,11:38.0,Desmond Bane,MEM,False,3-pointer,25,87-85,'MEM',leads
255,255,255,202012280BRK,1.5,1.8,4th quarter,9:06.0,Desmond Bane,MEM,False,3-pointer,23,92-92,'MEM',tied
262,262,262,202012280BRK,5.7,19.8,4th quarter,4:02.0,Desmond Bane,MEM,False,3-pointer,25,98-99,'MEM',trails
16,16,16,202012300BOS,14.3,11.6,1st quarter,2:16.0,Desmond Bane,MEM,True,2-pointer,13,19-29,'BOS',trails
28,28,28,202012300BOS,11.2,27.7,2nd quarter,5:19.0,Desmond Bane,MEM,False,3-pointer,28,30-52,'BOS',trails
31,31,31,202012300BOS,6.2,16.0,2nd quarter,4:27.0,Desmond Bane,MEM,True,2-pointer,22,32-57,'BOS',trails
39,39,39,202012300BOS,0.7,11.1,2nd quarter,1:23.0,Desmond Bane,MEM,False,3-pointer,25,36-64,'BOS',trails
45,45,45,202012300BOS,26.3,5.5,3rd quarter,10:40.0,Desmond Bane,MEM,True,2-pointer,3,42-68,'BOS',trails
46,46,46,202012300BOS,37.4,17.7,3rd quarter,10:18.0,Desmond Bane,MEM,False,2-pointer,20,43-68,'BOS',trails
50,50,50,202012300BOS,23.2,4.4,3rd quarter,7:00.0,Desmond Bane,MEM,False,2-pointer,1,45-77,'BOS',trails
84,84,84,202012300BOS,32.3,27.8,4th quarter,4:05.0,Desmond Bane,MEM,True,3-pointer,26,94-118,'BOS',trails
89,89,89,202012300BOS,42.4,20.6,4th quarter,1:23.0,Desmond Bane,MEM,False,3-pointer,25,101-122,'BOS',trails
91,91,91,202012300BOS,43.9,17.5,4th quarter,1:14.0,Desmond Bane,MEM,True,3-pointer,24,104-122,'BOS',trails
92,92,92,202012300BOS,15.7,26.3,4th quarter,0:22.0,Desmond Bane,MEM,True,3-pointer,24,107-126,'BOS',trails
188,188,188,202101010CHO,47.8,4.1,1st quarter,5:42.0,Desmond Bane,MEM,True,3-pointer,24,15-7,'CHO',leads
191,191,191,202101010CHO,25.4,3.1,1st quarter,3:59.0,Desmond Bane,MEM,True,2-pointer,1,19-10,'CHO',leads
196,196,196,202101010CHO,22.0,5.3,1st quarter,2:04.0,Desmond Bane,MEM,False,2-pointer,3,21-17,'CHO',leads
211,211,211,202101010CHO,47.0,8.5,2nd quarter,6:08.0,Desmond Bane,MEM,False,3-pointer,24,41-36,'CHO',leads
213,213,213,202101010CHO,10.3,31.8,2nd quarter,4:12.0,Desmond Bane,MEM,False,3-pointer,32,44-40,'CHO',leads
217,217,217,202101010CHO,24.2,4.4,2nd quarter,3:08.0,Desmond Bane,MEM,True,2-pointer,1,46-42,'CHO',leads
234,234,234,202101010CHO,47.1,5.2,3rd quarter,5:52.0,Desmond Bane,MEM,False,3-pointer,23,70-55,'CHO',leads
238,238,238,202101010CHO,20.5,28.9,3rd quarter,3:20.0,Desmond Bane,MEM,False,3-pointer,26,76-59,'CHO',leads
242,242,242,202101010CHO,8.3,22.9,3rd quarter,1:46.0,Desmond Bane,MEM,True,3-pointer,25,81-63,'CHO',leads
245,245,245,202101010CHO,25.2,4.8,3rd quarter,0:40.0,Desmond Bane,MEM,False,2-pointer,2,83-64,'CHO',leads
246,246,246,202101010CHO,16.7,3.7,3rd quarter,0:10.0,Desmond Bane,MEM,False,2-pointer,7,83-67,'CHO',leads
264,264,264,202101010CHO,48.1,3.6,4th quarter,1:06.0,Desmond Bane,MEM,False,3-pointer,24,106-88,'CHO',leads
816,816,816,202101030MEM,1.0,12.3,1st quarter,6:00.0,Desmond Bane,MEM,True,3-pointer,25,14-18,'LAL',trails
818,818,818,202101030MEM,11.3,24.8,1st quarter,4:37.0,Desmond Bane,MEM,True,3-pointer,25,19-18,'LAL',leads
822,822,822,202101030MEM,18.2,15.8,1st quarter,2:32.0,Desmond Bane,MEM,False,2-pointer,14,26-18,'LAL',leads
823,823,823,202101030MEM,23.4,3.7,1st quarter,2:19.0,Desmond Bane,MEM,True,2-pointer,1,28-18,'LAL',leads
847,847,847,202101030MEM,19.2,14.1,2nd quarter,3:51.0,Desmond Bane,MEM,False,2-pointer,12,47-45,'LAL',leads
852,852,852,202101030MEM,1.2,3.7,2nd quarter,1:19.0,Desmond Bane,MEM,False,3-pointer,23,49-51,'LAL',trails
876,876,876,202101030MEM,34.2,16.2,3rd quarter,1:15.0,Desmond Bane,MEM,True,2-pointer,16,73-73,'LAL',tied
892,892,892,202101030MEM,15.2,28.8,4th quarter,4:07.0,Desmond Bane,MEM,True,3-pointer,27,90-95,'LAL',trails
629,629,629,202101050MEM,37.4,15.0,1st quarter,6:01.0,Desmond Bane,MEM,True,2-pointer,18,7-10,'LAL',trails
634,634,634,202101050MEM,15.1,10.7,1st quarter,4:20.0,Desmond Bane,MEM,True,2-pointer,12,11-15,'LAL',trails
636,636,636,202101050MEM,9.5,23.8,1st quarter,3:05.0,Desmond Bane,MEM,False,3-pointer,25,13-17,'LAL',trails
654,654,654,202101050MEM,9.7,24.4,2nd quarter,5:09.0,Desmond Bane,MEM,False,3-pointer,26,40-34,'LAL',leads
661,661,661,202101050MEM,29.9,4.4,2nd quarter,0:59.0,Desmond Bane,MEM,False,2-pointer,6,49-42,'LAL',leads
676,676,676,202101050MEM,33.5,27.3,3rd quarter,4:12.0,Desmond Bane,MEM,False,3-pointer,26,58-63,'LAL',trails
677,677,677,202101050MEM,7.2,22.8,3rd quarter,3:15.0,Desmond Bane,MEM,True,3-pointer,26,61-65,'LAL',trails
688,688,688,202101050MEM,27.3,7.3,4th quarter,7:23.0,Desmond Bane,MEM,False,2-pointer,5,75-74,'LAL',leads
