Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1439,1439,1439,202104070ORL,29.6,29.4,4th quarter,1:12.0,Devin Cannady,ORL,False,3-pointer,27,112-131,'ORL',trails
1440,1440,1440,202104070ORL,0.9,7.0,4th quarter,0:17.0,Devin Cannady,ORL,False,3-pointer,23,114-131,'ORL',trails
1581,1581,1581,202104110ORL,30.5,28.9,4th quarter,3:42.0,Devin Cannady,ORL,False,3-pointer,26,78-111,'ORL',trails
1583,1583,1583,202104110ORL,7.2,3.9,4th quarter,2:06.0,Devin Cannady,ORL,True,2-pointer,17,85-115,'ORL',trails
1000,1000,1000,202104120ORL,19.7,34.6,4th quarter,2:53.0,Devin Cannady,ORL,True,3-pointer,32,87-112,'SAS',trails
1002,1002,1002,202104120ORL,34.3,27.3,4th quarter,1:44.0,Devin Cannady,ORL,True,3-pointer,26,92-116,'SAS',trails
1004,1004,1004,202104120ORL,18.9,6.0,4th quarter,0:22.0,Devin Cannady,ORL,False,2-pointer,6,95-120,'SAS',trails
1182,1182,1182,202104180ORL,23.3,15.2,2nd quarter,7:23.0,Devin Cannady,ORL,False,2-pointer,12,40-37,'HOU',leads
1186,1186,1186,202104180ORL,35.9,24.6,2nd quarter,4:58.0,Devin Cannady,ORL,False,3-pointer,24,43-40,'HOU',leads
1188,1188,1188,202104180ORL,9.7,3.3,2nd quarter,3:59.0,Devin Cannady,ORL,False,2-pointer,14,45-40,'HOU',leads
20,20,20,202104200ATL,40.8,22.6,1st quarter,0:00.0,Devin Cannady,ORL,False,3-pointer,26,24-27,'ORL',trails
34,34,34,202104200ATL,22.7,4.2,2nd quarter,5:59.0,Devin Cannady,ORL,False,2-pointer,2,35-44,'ORL',trails
57,57,57,202104200ATL,25.0,21.5,3rd quarter,4:10.0,Devin Cannady,ORL,False,2-pointer,18,67-76,'ORL',trails
58,58,58,202104200ATL,0.9,4.8,3rd quarter,3:30.0,Devin Cannady,ORL,True,3-pointer,23,70-76,'ORL',trails
60,60,60,202104200ATL,43.0,20.3,3rd quarter,1:45.0,Devin Cannady,ORL,False,3-pointer,26,72-80,'ORL',trails
63,63,63,202104200ATL,47.3,3.3,3rd quarter,0:48.0,Devin Cannady,ORL,False,3-pointer,23,72-80,'ORL',trails
74,74,74,202104200ATL,35.4,27.2,4th quarter,5:12.0,Devin Cannady,ORL,False,3-pointer,27,85-100,'ORL',trails
788,788,788,202104220ORL,32.0,17.8,1st quarter,2:57.0,Devin Cannady,ORL,True,2-pointer,17,19-22,'NOP',trails
790,790,790,202104220ORL,23.4,22.7,1st quarter,1:52.0,Devin Cannady,ORL,True,2-pointer,19,21-27,'NOP',trails
805,805,805,202104220ORL,46.3,5.2,2nd quarter,4:21.0,Devin Cannady,ORL,False,3-pointer,22,40-54,'NOP',trails
835,835,835,202104220ORL,25.9,7.4,3rd quarter,2:00.0,Devin Cannady,ORL,False,2-pointer,5,64-106,'NOP',trails
836,836,836,202104220ORL,22.1,14.1,3rd quarter,1:36.0,Devin Cannady,ORL,True,2-pointer,11,66-106,'NOP',trails
848,848,848,202104220ORL,1.2,5.3,4th quarter,7:46.0,Devin Cannady,ORL,True,3-pointer,23,82-112,'NOP',trails
849,849,849,202104220ORL,46.8,12.7,4th quarter,6:54.0,Devin Cannady,ORL,True,3-pointer,25,87-114,'NOP',trails
851,851,851,202104220ORL,27.9,6.0,4th quarter,6:01.0,Devin Cannady,ORL,False,2-pointer,5,87-119,'NOP',trails
853,853,853,202104220ORL,4.8,20.5,4th quarter,5:06.0,Devin Cannady,ORL,False,3-pointer,26,88-119,'NOP',trails
858,858,858,202104220ORL,7.7,22.5,4th quarter,2:11.0,Devin Cannady,ORL,True,3-pointer,25,95-130,'NOP',trails
861,861,861,202104220ORL,21.2,15.6,4th quarter,0:57.0,Devin Cannady,ORL,True,2-pointer,13,97-132,'NOP',trails
