Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1084,1084,1084,202101010MIL,24.3,4.3,4th quarter,6:18.0,Devon Dotson,CHI,False,2-pointer,1,86-114,'MIL',trails
1090,1090,1090,202101010MIL,33.3,19.3,4th quarter,2:59.0,Devon Dotson,CHI,False,2-pointer,18,90-119,'MIL',trails
1091,1091,1091,202101010MIL,24.6,4.6,4th quarter,2:10.0,Devon Dotson,CHI,True,2-pointer,1,92-121,'MIL',trails
1095,1095,1095,202101010MIL,16.0,17.4,4th quarter,0:35.0,Devon Dotson,CHI,True,2-pointer,16,96-126,'MIL',trails
346,346,346,202104160CHI,29.8,9.0,4th quarter,1:36.0,Devon Dotson,CHI,False,2-pointer,8,108-122,'CHI',trails
74,74,74,202104210CLE,23.1,5.3,4th quarter,2:29.0,Devon Dotson,CHI,True,2-pointer,2,101-117,'CLE',trails
75,75,75,202104210CLE,35.6,26.8,4th quarter,1:50.0,Devon Dotson,CHI,False,3-pointer,26,101-119,'CLE',trails
568,568,568,202104300CHI,23.3,3.2,4th quarter,0:27.0,Devon Dotson,CHI,True,2-pointer,1,98-108,'CHI',trails
182,182,182,202105070CHI,25.2,4.7,4th quarter,1:13.0,Devon Dotson,CHI,True,2-pointer,2,117-96,'BOS',leads
184,184,184,202105070CHI,21.7,11.0,4th quarter,0:24.0,Devon Dotson,CHI,True,2-pointer,8,121-99,'BOS',leads
97,97,97,202105150BRK,27.6,27.8,4th quarter,0:31.0,Devon Dotson,CHI,False,3-pointer,25,90-105,'CHI',trails
455,455,455,202105160CHI,37.6,25.2,1st quarter,2:40.0,Devon Dotson,CHI,False,3-pointer,26,22-21,'CHI',leads
459,459,459,202105160CHI,24.9,3.8,1st quarter,1:52.0,Devon Dotson,CHI,True,2-pointer,1,28-21,'CHI',leads
462,462,462,202105160CHI,23.8,2.6,1st quarter,0:48.0,Devon Dotson,CHI,True,2-pointer,1,33-23,'CHI',leads
484,484,484,202105160CHI,10.0,25.4,2nd quarter,0:17.0,Devon Dotson,CHI,True,3-pointer,26,55-54,'CHI',leads
485,485,485,202105160CHI,36.7,40.3,2nd quarter,0:00.0,Devon Dotson,CHI,False,3-pointer,39,55-54,'CHI',leads
502,502,502,202105160CHI,25.5,4.2,3rd quarter,2:59.0,Devon Dotson,CHI,True,2-pointer,2,84-77,'CHI',leads
506,506,506,202105160CHI,23.2,3.8,3rd quarter,0:52.0,Devon Dotson,CHI,True,2-pointer,1,89-85,'CHI',leads
513,513,513,202105160CHI,14.2,10.1,4th quarter,8:51.0,Devon Dotson,CHI,False,2-pointer,12,100-89,'CHI',leads
516,516,516,202105160CHI,0.7,3.2,4th quarter,7:23.0,Devon Dotson,CHI,False,3-pointer,23,102-94,'CHI',leads
520,520,520,202105160CHI,10.8,24.6,4th quarter,5:10.0,Devon Dotson,CHI,False,3-pointer,25,106-97,'CHI',leads
524,524,524,202111220CHI,25.7,3.1,4th quarter,5:25.0,Devon Dotson,CHI,True,2-pointer,2,73-102,'IND',trails
529,529,529,202111220CHI,21.1,30.8,4th quarter,1:51.0,Devon Dotson,CHI,False,3-pointer,28,74-107,'IND',trails
530,530,530,202111220CHI,0.9,1.6,4th quarter,1:21.0,Devon Dotson,CHI,False,3-pointer,23,74-107,'IND',trails
176,176,176,202112080CLE,31.3,10.6,1st quarter,0:02.0,Devon Dotson,CHI,False,2-pointer,10,24-29,'CLE',trails
218,218,218,202112080CLE,44.6,20.0,3rd quarter,1:55.0,Devon Dotson,CHI,False,3-pointer,27,62-80,'CLE',trails
220,220,220,202112080CLE,24.1,3.8,3rd quarter,1:13.0,Devon Dotson,CHI,False,2-pointer,1,62-80,'CLE',trails
232,232,232,202112080CLE,24.7,3.6,4th quarter,5:06.0,Devon Dotson,CHI,True,2-pointer,1,80-104,'CLE',trails
