Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
428,428,428,201911120IND,24.1,4.4,4th quarter,5:55.0,Devon Hall,OKC,True,2-pointer,1,73-101,'IND',trails
2011,2011,2011,201911270POR,16.8,9.8,4th quarter,7:08.0,Devon Hall,OKC,False,2-pointer,10,88-119,'POR',trails
2017,2017,2017,201911270POR,34.8,26.4,4th quarter,3:36.0,Devon Hall,OKC,False,3-pointer,26,101-126,'POR',trails
2018,2018,2018,201911270POR,44.7,16.9,4th quarter,3:29.0,Devon Hall,OKC,False,3-pointer,25,101-126,'POR',trails
1315,1315,1315,201912060OKC,22.0,3.6,1st quarter,2:04.0,Devon Hall,OKC,False,2-pointer,2,25-25,'OKC',tied
258,258,258,202008050LAL,24.6,19.8,4th quarter,0:40.0,Devon Hall,OKC,False,2-pointer,17,103-86,'LAL',leads
264,264,264,202008070MEM,0.9,6.2,4th quarter,2:38.0,Devon Hall,OKC,False,3-pointer,23,90-116,'OKC',trails
267,267,267,202008070MEM,21.5,29.2,4th quarter,1:17.0,Devon Hall,OKC,False,3-pointer,26,90-121,'OKC',trails
270,270,270,202008070MEM,27.4,3.3,4th quarter,0:05.0,Devon Hall,OKC,False,2-pointer,3,92-121,'OKC',trails
271,271,271,202008070MEM,25.3,3.4,4th quarter,0:02.0,Devon Hall,OKC,False,2-pointer,1,92-121,'OKC',trails
535,535,535,202008100PHO,36.1,29.3,1st quarter,2:26.0,Devon Hall,OKC,True,3-pointer,29,28-16,'PHO',leads
562,562,562,202008100PHO,3.3,18.5,2nd quarter,0:02.0,Devon Hall,OKC,False,3-pointer,26,64-65,'PHO',trails
600,600,600,202008100PHO,7.5,23.3,4th quarter,4:33.0,Devon Hall,OKC,False,3-pointer,26,99-123,'PHO',trails
603,603,603,202008100PHO,34.6,28.3,4th quarter,2:59.0,Devon Hall,OKC,False,3-pointer,27,99-125,'PHO',trails
499,499,499,202008120OKC,46.8,7.4,3rd quarter,3:11.0,Devon Hall,OKC,False,3-pointer,23,77-89,'MIA',trails
505,505,505,202008120OKC,40.8,23.6,3rd quarter,0:12.0,Devon Hall,OKC,False,3-pointer,26,82-97,'MIA',trails
506,506,506,202008120OKC,30.9,9.3,4th quarter,11:45.0,Devon Hall,OKC,False,2-pointer,9,82-100,'MIA',trails
509,509,509,202008120OKC,31.9,28.8,4th quarter,9:32.0,Devon Hall,OKC,False,3-pointer,27,85-104,'MIA',trails
392,392,392,202008140LAC,36.3,26.1,3rd quarter,4:36.0,Devon Hall,OKC,False,3-pointer,26,56-56,'OKC',tied
393,393,393,202008140LAC,47.0,12.3,3rd quarter,3:59.0,Devon Hall,OKC,True,3-pointer,25,59-58,'OKC',leads
395,395,395,202008140LAC,0.8,2.9,3rd quarter,2:57.0,Devon Hall,OKC,False,3-pointer,23,59-60,'OKC',trails
397,397,397,202008140LAC,24.3,14.4,3rd quarter,2:03.0,Devon Hall,OKC,False,2-pointer,11,59-66,'OKC',trails
399,399,399,202008140LAC,44.3,18.9,3rd quarter,1:03.0,Devon Hall,OKC,False,3-pointer,26,61-68,'OKC',trails
400,400,400,202008140LAC,30.0,7.9,3rd quarter,0:30.0,Devon Hall,OKC,False,2-pointer,8,61-70,'OKC',trails
411,411,411,202008140LAC,24.1,28.5,4th quarter,7:40.0,Devon Hall,OKC,True,3-pointer,25,78-74,'OKC',leads
420,420,420,202008140LAC,23.3,16.0,4th quarter,3:49.0,Devon Hall,OKC,False,2-pointer,13,82-83,'OKC',trails
422,422,422,202008140LAC,29.1,16.9,4th quarter,2:48.0,Devon Hall,OKC,False,2-pointer,15,85-86,'OKC',trails
440,440,440,202008140LAC,27.5,8.1,1st overtime,1:11.0,Devon Hall,OKC,False,2-pointer,6,96-103,'OKC',trails
442,442,442,202008140LAC,23.6,2.8,1st overtime,0:30.0,Devon Hall,OKC,True,2-pointer,1,98-103,'OKC',trails
443,443,443,202008140LAC,2.4,16.9,1st overtime,0:12.0,Devon Hall,OKC,True,3-pointer,26,101-103,'OKC',trails
