Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1781,1781,1781,201311010PHO,24.6,23.3,3rd quarter,7:34.0,Dionte Christmas,PHO,True,2-pointer,20,49-54,'UTA',trails
1784,1784,1784,201311010PHO,41.4,21.1,3rd quarter,5:58.0,Dionte Christmas,PHO,True,3-pointer,25,54-54,'UTA',tied
1788,1788,1788,201311010PHO,25.3,27.9,3rd quarter,4:20.0,Dionte Christmas,PHO,False,3-pointer,25,56-56,'UTA',tied
1794,1794,1794,201311010PHO,7.1,16.4,3rd quarter,0:14.0,Dionte Christmas,PHO,False,2-pointer,22,63-62,'UTA',leads
1797,1797,1797,201311010PHO,25.0,3.1,3rd quarter,0:00.0,Dionte Christmas,PHO,False,2-pointer,1,63-62,'UTA',leads
1799,1799,1799,201311010PHO,25.8,3.0,4th quarter,11:02.0,Dionte Christmas,PHO,True,2-pointer,2,65-62,'UTA',leads
708,708,708,201311030OKC,46.5,3.9,4th quarter,9:51.0,Dionte Christmas,PHO,True,3-pointer,23,73-71,'OKC',leads
716,716,716,201311030OKC,41.1,21.1,4th quarter,6:38.0,Dionte Christmas,PHO,False,3-pointer,25,79-77,'OKC',leads
1508,1508,1508,201311060SAS,30.4,24.3,2nd quarter,9:20.0,Dionte Christmas,PHO,False,2-pointer,22,27-32,'SAS',trails
1539,1539,1539,201311060SAS,24.1,3.9,3rd quarter,2:22.0,Dionte Christmas,PHO,True,2-pointer,1,69-70,'SAS',trails
1469,1469,1469,201311080PHO,42.4,14.2,2nd quarter,1:04.0,Dionte Christmas,PHO,False,2-pointer,22,60-45,'PHO',leads
1471,1471,1471,201311080PHO,25.2,3.1,2nd quarter,0:46.0,Dionte Christmas,PHO,True,2-pointer,1,62-45,'PHO',leads
1483,1483,1483,201311080PHO,42.1,21.9,3rd quarter,2:29.0,Dionte Christmas,PHO,False,3-pointer,26,74-82,'PHO',trails
1487,1487,1487,201311080PHO,43.6,17.9,3rd quarter,1:09.0,Dionte Christmas,PHO,False,3-pointer,25,79-87,'PHO',trails
1429,1429,1429,201311130POR,23.6,18.9,4th quarter,1:11.0,Dionte Christmas,PHO,False,2-pointer,16,87-88,'POR',trails
1905,1905,1905,201311200PHO,38.0,23.3,3rd quarter,1:46.0,Dionte Christmas,PHO,True,3-pointer,25,60-68,'SAC',trails
1914,1914,1914,201311200PHO,47.6,11.0,4th quarter,7:33.0,Dionte Christmas,PHO,True,3-pointer,25,71-88,'SAC',trails
1918,1918,1918,201311200PHO,21.3,27.7,4th quarter,4:43.0,Dionte Christmas,PHO,False,3-pointer,25,80-93,'SAC',trails
1919,1919,1919,201311200PHO,45.5,15.7,4th quarter,4:14.0,Dionte Christmas,PHO,False,3-pointer,25,82-93,'SAC',trails
1923,1923,1923,201311200PHO,45.8,13.2,4th quarter,2:10.0,Dionte Christmas,PHO,False,3-pointer,24,89-97,'SAC',trails
1933,1933,1933,201311200PHO,21.6,2.8,4th quarter,0:10.0,Dionte Christmas,PHO,True,2-pointer,2,106-113,'SAC',trails
819,819,819,201311250MIA,4.9,7.8,2nd quarter,1:19.0,Dionte Christmas,PHO,True,2-pointer,20,42-45,'MIA',trails
863,863,863,201311250MIA,27.2,25.2,4th quarter,0:51.0,Dionte Christmas,PHO,False,2-pointer,22,92-107,'MIA',trails
2074,2074,2074,201311270PHO,22.2,3.0,1st quarter,2:27.0,Dionte Christmas,PHO,False,2-pointer,2,17-23,'POR',trails
702,702,702,201312030MEM,1.2,4.7,4th quarter,8:54.0,Dionte Christmas,PHO,False,3-pointer,23,79-88,'PHO',trails
703,703,703,201312030MEM,22.9,3.3,4th quarter,8:50.0,Dionte Christmas,PHO,False,2-pointer,1,79-88,'PHO',trails
714,714,714,201312030MEM,6.9,21.7,4th quarter,0:46.0,Dionte Christmas,PHO,False,3-pointer,25,89-107,'PHO',trails
1526,1526,1526,201312230PHO,40.5,18.2,4th quarter,4:12.0,Dionte Christmas,PHO,True,2-pointer,22,110-87,'LAL',leads
1533,1533,1533,201312230PHO,20.3,27.2,4th quarter,0:38.0,Dionte Christmas,PHO,False,3-pointer,24,117-89,'LAL',leads
397,397,397,201312270GSW,37.8,25.8,3rd quarter,0:32.0,Dionte Christmas,PHO,False,3-pointer,27,64-83,'PHO',trails
398,398,398,201312270GSW,22.7,4.2,4th quarter,10:56.0,Dionte Christmas,PHO,True,2-pointer,2,67-90,'PHO',trails
403,403,403,201312270GSW,12.6,27.4,4th quarter,8:22.0,Dionte Christmas,PHO,False,3-pointer,27,71-98,'PHO',trails
405,405,405,201312270GSW,38.3,25.8,4th quarter,6:51.0,Dionte Christmas,PHO,False,3-pointer,27,72-100,'PHO',trails
383,383,383,201312300LAC,23.2,4.1,4th quarter,5:03.0,Dionte Christmas,PHO,True,2-pointer,1,98-71,'PHO',leads
384,384,384,201312300LAC,37.3,20.6,4th quarter,3:49.0,Dionte Christmas,PHO,True,2-pointer,22,100-75,'PHO',leads
385,385,385,201312300LAC,47.4,5.8,4th quarter,3:14.0,Dionte Christmas,PHO,True,3-pointer,24,103-78,'PHO',leads
387,387,387,201312300LAC,1.4,13.5,4th quarter,2:03.0,Dionte Christmas,PHO,False,3-pointer,25,103-85,'PHO',leads
805,805,805,201401020PHO,45.2,15.1,4th quarter,8:36.0,Dionte Christmas,PHO,False,3-pointer,24,75-80,'PHO',trails
944,944,944,201401040PHO,38.4,23.3,4th quarter,1:13.0,Dionte Christmas,PHO,False,3-pointer,25,112-100,'PHO',leads
947,947,947,201401040PHO,38.7,19.8,4th quarter,0:10.0,Dionte Christmas,PHO,True,2-pointer,22,116-100,'PHO',leads
187,187,187,201401070CHI,22.9,4.2,2nd quarter,4:29.0,Dionte Christmas,PHO,False,2-pointer,2,36-41,'PHO',trails
195,195,195,201401070CHI,37.2,24.1,2nd quarter,0:38.0,Dionte Christmas,PHO,False,3-pointer,25,46-49,'PHO',trails
1164,1164,1164,201401220PHO,39.5,23.1,4th quarter,1:06.0,Dionte Christmas,PHO,True,3-pointer,25,120-95,'IND',leads
1423,1423,1423,201402010PHO,37.8,23.6,4th quarter,4:34.0,Dionte Christmas,PHO,False,3-pointer,25,99-84,'PHO',leads
1429,1429,1429,201402010PHO,40.5,16.4,4th quarter,1:02.0,Dionte Christmas,PHO,False,2-pointer,21,105-90,'PHO',leads
1379,1379,1379,201402210PHO,0.1,3.7,4th quarter,0:46.0,Dionte Christmas,PHO,False,3-pointer,24,104-83,'SAS',leads
1560,1560,1560,201402260UTA,33.5,26.0,3rd quarter,1:27.0,Dionte Christmas,PHO,True,3-pointer,25,60-72,'UTA',trails
1564,1564,1564,201402260UTA,1.4,3.0,3rd quarter,0:01.0,Dionte Christmas,PHO,False,3-pointer,23,64-78,'UTA',trails
1574,1574,1574,201402260UTA,40.8,8.5,4th quarter,3:38.0,Dionte Christmas,PHO,False,2-pointer,18,79-104,'UTA',trails
1579,1579,1579,201402260UTA,26.6,5.0,4th quarter,1:00.0,Dionte Christmas,PHO,True,2-pointer,3,86-107,'UTA',trails
75,75,75,201403170BRK,45.7,0.9,4th quarter,2:33.0,Dionte Christmas,PHO,False,2-pointer,22,92-107,'PHO',trails
77,77,77,201403170BRK,41.3,21.6,4th quarter,0:51.0,Dionte Christmas,PHO,False,3-pointer,25,94-108,'PHO',trails
78,78,78,201403170BRK,28.2,13.4,4th quarter,0:49.0,Dionte Christmas,PHO,False,2-pointer,11,94-108,'PHO',trails
1670,1670,1670,201403190PHO,39.7,14.5,4th quarter,1:01.0,Dionte Christmas,PHO,False,2-pointer,19,105-90,'PHO',leads
1672,1672,1672,201403190PHO,25.2,4.2,4th quarter,0:26.0,Dionte Christmas,PHO,True,2-pointer,2,109-93,'PHO',leads
