Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
20,20,20,201810170CHO,0.9,8.2,1st quarter,0:40.0,Donte DiVincenzo,MIL,True,3-pointer,24,34-23,'CHO',leads
22,22,22,201810170CHO,31.9,30.0,2nd quarter,11:35.0,Donte DiVincenzo,MIL,True,3-pointer,28,39-23,'CHO',leads
27,27,27,201810170CHO,42.6,20.5,2nd quarter,9:31.0,Donte DiVincenzo,MIL,False,3-pointer,25,44-27,'CHO',leads
38,38,38,201810170CHO,24.3,4.8,2nd quarter,2:52.0,Donte DiVincenzo,MIL,True,2-pointer,2,63-45,'CHO',leads
39,39,39,201810170CHO,30.1,29.4,2nd quarter,2:22.0,Donte DiVincenzo,MIL,False,3-pointer,27,63-45,'CHO',leads
67,67,67,201810170CHO,23.7,4.7,4th quarter,11:10.0,Donte DiVincenzo,MIL,False,2-pointer,1,95-83,'CHO',leads
619,619,619,201810190MIL,22.7,30.3,1st quarter,2:20.0,Donte DiVincenzo,MIL,False,3-pointer,27,25-16,'IND',leads
643,643,643,201810190MIL,1.7,4.1,2nd quarter,1:49.0,Donte DiVincenzo,MIL,False,3-pointer,22,58-46,'IND',leads
662,662,662,201810190MIL,34.8,27.3,3rd quarter,2:28.0,Donte DiVincenzo,MIL,True,3-pointer,26,86-68,'IND',leads
663,663,663,201810190MIL,47.1,5.5,3rd quarter,1:59.0,Donte DiVincenzo,MIL,False,3-pointer,23,87-68,'IND',leads
671,671,671,201810190MIL,25.6,5.1,4th quarter,9:23.0,Donte DiVincenzo,MIL,True,2-pointer,2,100-82,'IND',leads
852,852,852,201810220MIL,10.6,25.2,1st quarter,2:22.0,Donte DiVincenzo,MIL,False,3-pointer,26,32-22,'NYK',leads
903,903,903,201810220MIL,35.6,27.4,3rd quarter,0:16.0,Donte DiVincenzo,MIL,False,3-pointer,27,88-87,'NYK',leads
909,909,909,201810220MIL,23.8,17.2,4th quarter,8:05.0,Donte DiVincenzo,MIL,False,2-pointer,14,97-97,'NYK',tied
1146,1146,1146,201810240MIL,42.8,23.3,1st quarter,4:14.0,Donte DiVincenzo,MIL,False,3-pointer,28,12-19,'MIL',trails
1178,1178,1178,201810240MIL,40.9,26.3,2nd quarter,1:04.0,Donte DiVincenzo,MIL,True,3-pointer,29,67-62,'MIL',leads
1204,1204,1204,201810240MIL,0.7,3.1,3rd quarter,1:45.0,Donte DiVincenzo,MIL,False,3-pointer,23,85-75,'MIL',leads
1205,1205,1205,201810240MIL,24.9,4.6,3rd quarter,1:28.0,Donte DiVincenzo,MIL,True,2-pointer,2,87-75,'MIL',leads
366,366,366,201810260MIN,1.3,8.0,1st quarter,3:53.0,Donte DiVincenzo,MIL,False,3-pointer,23,13-8,'MIN',leads
367,367,367,201810260MIN,28.8,10.3,1st quarter,3:23.0,Donte DiVincenzo,MIL,False,2-pointer,9,13-10,'MIN',leads
392,392,392,201810260MIN,24.0,2.7,2nd quarter,3:00.0,Donte DiVincenzo,MIL,True,2-pointer,1,54-34,'MIN',leads
397,397,397,201810260MIN,7.5,22.0,2nd quarter,1:32.0,Donte DiVincenzo,MIL,True,3-pointer,25,59-38,'MIN',leads
415,415,415,201810260MIN,23.8,4.3,3rd quarter,3:41.0,Donte DiVincenzo,MIL,True,2-pointer,1,90-61,'MIN',leads
417,417,417,201810260MIN,22.7,32.3,3rd quarter,2:37.0,Donte DiVincenzo,MIL,False,3-pointer,29,90-63,'MIN',leads
419,419,419,201810260MIN,27.7,15.8,3rd quarter,1:46.0,Donte DiVincenzo,MIL,True,2-pointer,13,92-65,'MIN',leads
420,420,420,201810260MIN,3.7,18.0,3rd quarter,1:26.0,Donte DiVincenzo,MIL,False,3-pointer,25,92-65,'MIN',leads
436,436,436,201810260MIN,45.5,16.7,4th quarter,3:56.0,Donte DiVincenzo,MIL,False,3-pointer,25,116-86,'MIN',leads
957,957,957,201810270MIL,10.4,25.3,1st quarter,2:03.0,Donte DiVincenzo,MIL,True,3-pointer,26,25-20,'ORL',leads
960,960,960,201810270MIL,23.9,5.3,2nd quarter,11:50.0,Donte DiVincenzo,MIL,True,2-pointer,2,32-25,'ORL',leads
970,970,970,201810270MIL,23.1,4.6,2nd quarter,3:31.0,Donte DiVincenzo,MIL,True,2-pointer,2,54-42,'ORL',leads
974,974,974,201810270MIL,14.5,28.8,2nd quarter,1:18.0,Donte DiVincenzo,MIL,False,3-pointer,27,58-46,'ORL',leads
987,987,987,201810270MIL,24.8,4.8,3rd quarter,5:11.0,Donte DiVincenzo,MIL,True,2-pointer,2,82-59,'ORL',leads
990,990,990,201810270MIL,4.8,22.3,3rd quarter,3:49.0,Donte DiVincenzo,MIL,False,3-pointer,27,82-64,'ORL',leads
991,991,991,201810270MIL,24.6,4.2,3rd quarter,3:26.0,Donte DiVincenzo,MIL,True,2-pointer,1,84-67,'ORL',leads
992,992,992,201810270MIL,23.8,3.6,3rd quarter,3:07.0,Donte DiVincenzo,MIL,True,2-pointer,0,86-67,'ORL',leads
842,842,842,201810290MIL,46.3,15.0,1st quarter,4:45.0,Donte DiVincenzo,MIL,True,3-pointer,25,19-19,'TOR',tied
844,844,844,201810290MIL,24.2,30.1,1st quarter,3:17.0,Donte DiVincenzo,MIL,False,3-pointer,27,21-23,'TOR',trails
845,845,845,201810290MIL,23.7,4.6,1st quarter,3:03.0,Donte DiVincenzo,MIL,True,2-pointer,1,23-26,'TOR',trails
861,861,861,201810290MIL,41.6,23.8,2nd quarter,5:34.0,Donte DiVincenzo,MIL,False,3-pointer,27,47-44,'TOR',leads
881,881,881,201810290MIL,24.7,4.7,3rd quarter,6:17.0,Donte DiVincenzo,MIL,True,2-pointer,2,80-67,'TOR',leads
890,890,890,201810290MIL,24.4,8.5,3rd quarter,2:13.0,Donte DiVincenzo,MIL,False,2-pointer,5,90-76,'TOR',leads
892,892,892,201810290MIL,21.7,30.5,3rd quarter,0:02.0,Donte DiVincenzo,MIL,True,3-pointer,27,95-80,'TOR',leads
893,893,893,201810290MIL,17.7,30.0,4th quarter,11:29.0,Donte DiVincenzo,MIL,False,3-pointer,27,95-82,'TOR',leads
896,896,896,201810290MIL,17.3,16.9,4th quarter,10:46.0,Donte DiVincenzo,MIL,False,2-pointer,15,97-85,'TOR',leads
198,198,198,201811010BOS,31.9,26.8,1st quarter,3:33.0,Donte DiVincenzo,MIL,True,3-pointer,25,12-16,'BOS',trails
203,203,203,201811010BOS,38.2,23.6,1st quarter,1:10.0,Donte DiVincenzo,MIL,False,3-pointer,25,16-23,'BOS',trails
223,223,223,201811010BOS,23.0,3.2,2nd quarter,3:43.0,Donte DiVincenzo,MIL,True,2-pointer,1,44-44,'BOS',tied
225,225,225,201811010BOS,22.8,4.1,2nd quarter,3:08.0,Donte DiVincenzo,MIL,True,2-pointer,1,46-47,'BOS',trails
246,246,246,201811010BOS,31.5,29.3,3rd quarter,2:57.0,Donte DiVincenzo,MIL,False,3-pointer,27,71-81,'BOS',trails
260,260,260,201811010BOS,47.2,8.3,4th quarter,5:41.0,Donte DiVincenzo,MIL,False,3-pointer,24,99-106,'BOS',trails
464,464,464,201811040MIL,40.8,25.5,1st quarter,3:49.0,Donte DiVincenzo,MIL,False,3-pointer,28,25-17,'SAC',leads
466,466,466,201811040MIL,23.9,3.7,1st quarter,3:01.0,Donte DiVincenzo,MIL,True,2-pointer,0,29-22,'SAC',leads
472,472,472,201811040MIL,37.3,27.9,1st quarter,0:00.0,Donte DiVincenzo,MIL,False,3-pointer,28,39-30,'SAC',leads
510,510,510,201811040MIL,39.3,23.1,3rd quarter,5:16.0,Donte DiVincenzo,MIL,False,3-pointer,25,90-64,'SAC',leads
514,514,514,201811040MIL,33.4,28.3,3rd quarter,2:30.0,Donte DiVincenzo,MIL,True,3-pointer,27,95-72,'SAC',leads
529,529,529,201811060POR,5.9,20.5,1st quarter,4:25.0,Donte DiVincenzo,MIL,True,3-pointer,25,21-21,'POR',tied
532,532,532,201811060POR,11.4,26.4,1st quarter,3:23.0,Donte DiVincenzo,MIL,True,3-pointer,26,26-24,'POR',leads
539,539,539,201811060POR,10.7,25.2,1st quarter,0:28.0,Donte DiVincenzo,MIL,False,3-pointer,26,30-31,'POR',trails
558,558,558,201811060POR,38.1,23.6,2nd quarter,2:18.0,Donte DiVincenzo,MIL,False,3-pointer,25,51-53,'POR',trails
583,583,583,201811060POR,9.1,23.1,3rd quarter,1:52.0,Donte DiVincenzo,MIL,False,3-pointer,25,75-85,'POR',trails
604,604,604,201811060POR,26.3,4.9,4th quarter,1:44.0,Donte DiVincenzo,MIL,False,2-pointer,3,101-113,'POR',trails
16,16,16,201811080GSW,6.8,22.8,1st quarter,3:04.0,Donte DiVincenzo,MIL,False,3-pointer,26,28-24,'GSW',leads
17,17,17,201811080GSW,1.0,14.3,1st quarter,2:24.0,Donte DiVincenzo,MIL,False,3-pointer,26,28-24,'GSW',leads
20,20,20,201811080GSW,46.4,8.2,1st quarter,0:03.0,Donte DiVincenzo,MIL,False,3-pointer,23,32-29,'GSW',leads
66,66,66,201811080GSW,24.8,5.0,3rd quarter,4:06.0,Donte DiVincenzo,MIL,True,2-pointer,2,93-69,'GSW',leads
73,73,73,201811080GSW,26.5,4.8,3rd quarter,1:34.0,Donte DiVincenzo,MIL,True,2-pointer,3,100-75,'GSW',leads
75,75,75,201811080GSW,40.3,26.2,3rd quarter,0:45.0,Donte DiVincenzo,MIL,False,3-pointer,28,103-77,'GSW',leads
520,520,520,201811100LAC,25.5,5.9,1st quarter,4:15.0,Donte DiVincenzo,MIL,False,2-pointer,3,15-22,'MIL',trails
522,522,522,201811100LAC,41.3,23.1,1st quarter,3:11.0,Donte DiVincenzo,MIL,False,3-pointer,26,18-24,'MIL',trails
527,527,527,201811100LAC,25.3,4.9,1st quarter,0:30.0,Donte DiVincenzo,MIL,True,2-pointer,2,24-33,'MIL',trails
