Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
290,290,290,200511070CHI,24.0,5.0,2nd quarter,0:28.0,Eddie Basden,CHI,True,2-pointer,0,42-50,'SAS',trails
305,305,305,200511070CHI,24.0,5.0,3rd quarter,2:56.0,Eddie Basden,CHI,False,2-pointer,0,57-66,'SAS',trails
415,415,415,200511090CHI,41.9,6.3,2nd quarter,7:55.0,Eddie Basden,CHI,False,2-pointer,18,24-33,'CHI',trails
416,416,416,200511090CHI,24.0,5.0,2nd quarter,7:26.0,Eddie Basden,CHI,True,2-pointer,0,26-33,'CHI',trails
419,419,419,200511090CHI,38.8,19.8,2nd quarter,4:29.0,Eddie Basden,CHI,True,2-pointer,21,32-40,'CHI',trails
437,437,437,200511090CHI,8.7,12.2,3rd quarter,3:30.0,Eddie Basden,CHI,False,2-pointer,17,61-63,'CHI',trails
92,92,92,200511290CHI,24.0,5.0,2nd quarter,4:04.0,Eddie Basden,CHI,False,2-pointer,0,32-39,'ORL',trails
93,93,93,200511290CHI,0.8,5.0,2nd quarter,3:39.0,Eddie Basden,CHI,False,3-pointer,23,32-39,'ORL',trails
1034,1034,1034,200511300NYK,24.0,5.0,2nd quarter,2:11.0,Eddie Basden,CHI,True,2-pointer,0,52-44,'NYK',leads
194,194,194,200512020BOS,24.8,6.5,2nd quarter,5:19.0,Eddie Basden,CHI,True,2-pointer,2,47-34,'BOS',leads
197,197,197,200512020BOS,2.8,17.0,2nd quarter,3:12.0,Eddie Basden,CHI,False,3-pointer,24,51-36,'BOS',leads
203,203,203,200512020BOS,24.3,5.7,2nd quarter,0:23.9,Eddie Basden,CHI,False,2-pointer,1,54-46,'BOS',leads
133,133,133,200512030CHI,24.0,5.0,4th quarter,10:39.0,Eddie Basden,CHI,True,2-pointer,0,57-71,'DET',trails
146,146,146,200512030CHI,31.5,9.9,4th quarter,2:53.0,Eddie Basden,CHI,False,2-pointer,9,67-82,'DET',trails
704,704,704,200512070ORL,46.7,5.7,3rd quarter,1:20.0,Eddie Basden,CHI,True,3-pointer,23,74-65,'ORL',leads
714,714,714,200512070ORL,24.0,5.0,4th quarter,8:22.0,Eddie Basden,CHI,True,2-pointer,0,81-76,'ORL',leads
117,117,117,200512090CHI,19.1,9.9,2nd quarter,6:43.0,Eddie Basden,CHI,False,2-pointer,7,26-33,'LAL',trails
152,152,152,200512090CHI,8.7,19.5,4th quarter,9:29.0,Eddie Basden,CHI,False,2-pointer,21,70-76,'LAL',trails
104,104,104,200512200CHI,38.2,3.8,2nd quarter,10:46.0,Eddie Basden,CHI,False,2-pointer,14,33-38,'CHA',trails
298,298,298,200601040CHI,24.0,5.0,3rd quarter,4:39.0,Eddie Basden,CHI,True,2-pointer,0,56-65,'SEA',trails
299,299,299,200601040CHI,-0.5,5.0,3rd quarter,4:03.0,Eddie Basden,CHI,False,3-pointer,25,56-68,'SEA',trails
301,301,301,200601040CHI,24.0,5.0,3rd quarter,3:31.0,Eddie Basden,CHI,True,2-pointer,0,58-70,'SEA',trails
306,306,306,200601040CHI,7.2,23.1,4th quarter,11:14.0,Eddie Basden,CHI,False,3-pointer,25,68-77,'SEA',trails
307,307,307,200601040CHI,24.0,5.0,4th quarter,10:34.0,Eddie Basden,CHI,False,2-pointer,0,69-79,'SEA',trails
312,312,312,200601040CHI,24.0,5.0,4th quarter,7:15.0,Eddie Basden,CHI,True,2-pointer,0,77-82,'SEA',trails
278,278,278,200601070CHI,24.0,5.0,4th quarter,1:02.0,Eddie Basden,CHI,True,2-pointer,0,109-80,'CHI',leads
309,309,309,200603140CHI,22.4,30.3,4th quarter,4:40.0,Eddie Basden,CHI,False,3-pointer,25,91-55,'POR',leads
311,311,311,200603140CHI,24.0,5.0,4th quarter,3:20.0,Eddie Basden,CHI,False,2-pointer,0,93-59,'POR',leads
315,315,315,200603140CHI,18.6,11.1,4th quarter,1:36.0,Eddie Basden,CHI,False,2-pointer,8,95-62,'POR',leads
128,128,128,200604080CHI,24.0,5.0,3rd quarter,6:23.0,Eddie Basden,CHI,False,2-pointer,0,39-63,'CHI',trails
132,132,132,200604080CHI,39.1,26.7,3rd quarter,4:20.0,Eddie Basden,CHI,False,3-pointer,26,44-63,'CHI',trails
136,136,136,200604080CHI,17.4,12.1,3rd quarter,2:25.0,Eddie Basden,CHI,False,2-pointer,10,44-66,'CHI',trails
157,157,157,200604080CHI,24.0,5.0,4th quarter,0:56.6,Eddie Basden,CHI,True,2-pointer,0,69-85,'CHI',trails
34,34,34,200604120ATL,24.0,5.0,2nd quarter,9:12.0,Eddie Basden,CHI,False,2-pointer,0,23-30,'CHI',trails
46,46,46,200604120ATL,24.0,5.0,2nd quarter,3:20.0,Eddie Basden,CHI,True,2-pointer,0,37-40,'CHI',trails
48,48,48,200604120ATL,24.0,5.0,2nd quarter,2:41.0,Eddie Basden,CHI,False,2-pointer,0,37-40,'CHI',trails
54,54,54,200604120ATL,3.8,9.1,2nd quarter,1:11.0,Eddie Basden,CHI,True,2-pointer,21,41-42,'CHI',trails
