Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
552,552,552,201804100IND,24.2,3.8,4th quarter,0:40.0,Edmond Sumner,IND,True,2-pointer,0,93-119,'IND',trails
703,703,703,201810170IND,23.6,4.4,4th quarter,2:28.0,Edmond Sumner,IND,True,2-pointer,1,105-77,'IND',leads
704,704,704,201810170IND,45.8,19.8,4th quarter,1:53.0,Edmond Sumner,IND,False,3-pointer,27,105-79,'IND',leads
705,705,705,201810200IND,23.9,3.9,4th quarter,2:12.0,Edmond Sumner,IND,False,2-pointer,1,132-103,'IND',leads
183,183,183,201810270CLE,38.5,14.6,1st quarter,0:00.0,Edmond Sumner,IND,False,2-pointer,18,30-30,'IND',tied
948,948,948,201811260UTA,1.2,8.4,4th quarter,3:34.0,Edmond Sumner,IND,True,3-pointer,23,117-84,'IND',leads
1339,1339,1339,201812070ORL,29.1,28.8,4th quarter,2:28.0,Edmond Sumner,IND,False,3-pointer,26,108-84,'IND',leads
1342,1342,1342,201812070ORL,15.8,8.0,4th quarter,1:10.0,Edmond Sumner,IND,False,2-pointer,9,108-86,'IND',leads
89,89,89,201901090BOS,43.7,19.3,4th quarter,0:50.0,Edmond Sumner,IND,False,3-pointer,25,105-132,'IND',trails
479,479,479,201901280IND,1.0,4.7,1st quarter,11:18.0,Edmond Sumner,IND,False,3-pointer,23,0-0,'IND',tied
484,484,484,201901280IND,24.4,3.3,1st quarter,6:33.0,Edmond Sumner,IND,True,2-pointer,0,11-15,'IND',trails
512,512,512,201901280IND,24.1,5.4,2nd quarter,4:13.0,Edmond Sumner,IND,False,2-pointer,2,38-59,'IND',trails
513,513,513,201901280IND,24.0,2.7,2nd quarter,4:11.0,Edmond Sumner,IND,False,2-pointer,1,38-59,'IND',trails
516,516,516,201901280IND,23.9,3.9,2nd quarter,2:00.0,Edmond Sumner,IND,False,2-pointer,1,42-64,'IND',trails
536,536,536,201901280IND,15.5,28.0,3rd quarter,4:42.0,Edmond Sumner,IND,False,3-pointer,26,68-87,'IND',trails
543,543,543,201901280IND,24.7,5.2,3rd quarter,1:49.0,Edmond Sumner,IND,False,2-pointer,2,72-98,'IND',trails
563,563,563,201901280IND,5.5,22.3,4th quarter,3:18.0,Edmond Sumner,IND,False,3-pointer,27,95-122,'IND',trails
565,565,565,201901280IND,24.0,2.7,4th quarter,2:51.0,Edmond Sumner,IND,False,2-pointer,1,95-122,'IND',trails
566,566,566,201901280IND,23.9,5.3,4th quarter,2:36.0,Edmond Sumner,IND,False,2-pointer,2,95-122,'IND',trails
1226,1226,1226,201901300WAS,26.8,6.9,1st quarter,8:45.0,Edmond Sumner,IND,True,2-pointer,5,11-7,'IND',leads
1230,1230,1230,201901300WAS,20.8,4.3,1st quarter,6:28.0,Edmond Sumner,IND,True,2-pointer,3,18-14,'IND',leads
1232,1232,1232,201901300WAS,42.2,24.7,1st quarter,5:43.0,Edmond Sumner,IND,False,3-pointer,28,18-14,'IND',leads
1256,1256,1256,201901300WAS,24.2,29.0,2nd quarter,2:05.0,Edmond Sumner,IND,False,3-pointer,26,43-55,'IND',trails
1264,1264,1264,201901300WAS,25.2,2.9,3rd quarter,9:02.0,Edmond Sumner,IND,False,2-pointer,1,48-67,'IND',trails
1298,1298,1298,201901300WAS,38.3,24.1,4th quarter,3:35.0,Edmond Sumner,IND,False,3-pointer,25,80-102,'IND',trails
1301,1301,1301,201901300WAS,23.5,4.8,4th quarter,1:56.0,Edmond Sumner,IND,False,2-pointer,2,84-107,'IND',trails
562,562,562,201901310ORL,18.9,16.9,1st quarter,0:46.0,Edmond Sumner,IND,True,2-pointer,15,19-24,'IND',trails
567,567,567,201901310ORL,30.7,18.8,2nd quarter,9:55.0,Edmond Sumner,IND,True,2-pointer,17,24-32,'IND',trails
570,570,570,201901310ORL,29.3,25.2,2nd quarter,7:18.0,Edmond Sumner,IND,False,2-pointer,23,28-35,'IND',trails
571,571,571,201901310ORL,1.7,12.1,2nd quarter,6:55.0,Edmond Sumner,IND,False,3-pointer,24,28-35,'IND',trails
706,706,706,201902020MIA,1.5,4.3,1st quarter,0:53.0,Edmond Sumner,IND,False,3-pointer,23,21-24,'MIA',trails
711,711,711,201902020MIA,24.9,3.9,2nd quarter,10:39.0,Edmond Sumner,IND,True,2-pointer,1,23-27,'MIA',trails
753,753,753,201902020MIA,19.2,28.7,3rd quarter,0:30.0,Edmond Sumner,IND,False,3-pointer,26,84-72,'MIA',leads
405,405,405,201902040NOP,11.1,24.4,1st quarter,0:07.0,Edmond Sumner,IND,False,3-pointer,25,25-20,'NOP',leads
447,447,447,201902040NOP,26.7,20.0,3rd quarter,0:30.0,Edmond Sumner,IND,False,2-pointer,17,81-72,'NOP',leads
456,456,456,201902050IND,4.8,26.8,1st quarter,0:00.0,Edmond Sumner,IND,True,3-pointer,30,33-26,'LAL',leads
509,509,509,201902050IND,1.8,0.6,4th quarter,8:48.0,Edmond Sumner,IND,True,3-pointer,22,117-81,'LAL',leads
515,515,515,201902050IND,24.0,2.7,4th quarter,6:17.0,Edmond Sumner,IND,True,2-pointer,1,121-83,'LAL',leads
518,518,518,201902050IND,23.2,30.0,4th quarter,5:20.0,Edmond Sumner,IND,True,3-pointer,27,124-85,'LAL',leads
521,521,521,201902050IND,24.4,9.6,4th quarter,3:51.0,Edmond Sumner,IND,True,2-pointer,6,128-88,'LAL',leads
524,524,524,201902050IND,23.2,7.0,4th quarter,2:40.0,Edmond Sumner,IND,False,2-pointer,4,130-90,'LAL',leads
525,525,525,201902050IND,24.0,2.7,4th quarter,2:37.0,Edmond Sumner,IND,True,2-pointer,1,132-90,'LAL',leads
527,527,527,201902050IND,24.4,3.6,4th quarter,2:03.0,Edmond Sumner,IND,True,2-pointer,1,136-90,'LAL',leads
528,528,528,201902050IND,39.3,28.9,4th quarter,1:28.0,Edmond Sumner,IND,False,3-pointer,30,136-92,'LAL',leads
469,469,469,201902070IND,33.8,7.3,2nd quarter,9:01.0,Edmond Sumner,IND,False,2-pointer,11,40-37,'IND',leads
471,471,471,201902070IND,7.1,25.7,2nd quarter,7:56.0,Edmond Sumner,IND,False,3-pointer,28,40-39,'IND',leads
