Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1082,1082,1082,200010310ORL,24.0,5.0,1st quarter,6:56.0,Felipe López,WAS,False,2-pointer,0,7-11,'ORL',trails
1088,1088,1088,200010310ORL,24.0,5.0,1st quarter,4:14.0,Felipe López,WAS,True,2-pointer,0,15-17,'ORL',trails
1113,1113,1113,200010310ORL,4.7,3.3,2nd quarter,0:25.3,Felipe López,WAS,True,2-pointer,19,49-54,'ORL',trails
1114,1114,1114,200010310ORL,24.0,5.0,3rd quarter,11:14.0,Felipe López,WAS,True,2-pointer,0,51-56,'ORL',trails
1121,1121,1121,200010310ORL,24.0,5.0,3rd quarter,7:17.0,Felipe López,WAS,True,2-pointer,0,59-64,'ORL',trails
1122,1122,1122,200010310ORL,24.0,5.0,3rd quarter,6:53.0,Felipe López,WAS,True,2-pointer,0,61-64,'ORL',trails
1127,1127,1127,200010310ORL,8.3,4.4,3rd quarter,3:50.0,Felipe López,WAS,False,2-pointer,16,66-66,'ORL',tied
1137,1137,1137,200010310ORL,24.0,5.0,4th quarter,8:06.0,Felipe López,WAS,False,2-pointer,0,70-81,'ORL',trails
1138,1138,1138,200010310ORL,47.9,3.7,4th quarter,7:57.0,Felipe López,WAS,True,3-pointer,24,73-81,'ORL',trails
1139,1139,1139,200010310ORL,24.0,5.0,4th quarter,5:46.0,Felipe López,WAS,True,2-pointer,0,78-87,'ORL',trails
170,170,170,200011010CHH,24.0,5.0,1st quarter,10:43.0,Felipe López,WAS,False,2-pointer,0,4-2,'CHH',leads
171,171,171,200011010CHH,16.3,16.4,1st quarter,10:09.0,Felipe López,WAS,False,2-pointer,14,4-2,'CHH',leads
175,175,175,200011010CHH,24.0,5.0,1st quarter,7:41.0,Felipe López,WAS,True,2-pointer,0,13-8,'CHH',leads
179,179,179,200011010CHH,19.2,5.7,1st quarter,5:02.0,Felipe López,WAS,False,2-pointer,5,22-12,'CHH',leads
180,180,180,200011010CHH,24.0,5.0,1st quarter,4:06.0,Felipe López,WAS,False,2-pointer,0,22-14,'CHH',leads
