Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
426,426,426,200310290DEN,25.0,21.8,2nd quarter,10:47.0,Francisco Elson,DEN,False,2-pointer,17,20-20,'SAS',tied
68,68,68,200310300HOU,10.7,15.0,4th quarter,2:40.0,Francisco Elson,DEN,True,2-pointer,17,75-95,'HOU',trails
444,444,444,200311010DEN,24.3,23.4,1st quarter,3:28.0,Francisco Elson,DEN,True,2-pointer,18,22-18,'SAC',leads
445,445,445,200311010DEN,24.0,5.0,1st quarter,2:59.0,Francisco Elson,DEN,True,2-pointer,0,24-20,'SAC',leads
484,484,484,200311010DEN,24.0,5.0,3rd quarter,4:36.0,Francisco Elson,DEN,True,2-pointer,0,81-68,'SAC',leads
497,497,497,200311010DEN,24.0,5.0,4th quarter,11:34.0,Francisco Elson,DEN,True,2-pointer,0,89-78,'SAC',leads
500,500,500,200311010DEN,8.2,3.9,4th quarter,9:41.0,Francisco Elson,DEN,True,2-pointer,16,94-79,'SAC',leads
65,65,65,200311050CLE,29.7,19.6,3rd quarter,2:51.0,Francisco Elson,DEN,False,2-pointer,16,64-60,'DEN',leads
650,650,650,200311090TOR,24.0,5.0,2nd quarter,9:36.0,Francisco Elson,DEN,False,2-pointer,0,19-28,TOR,trails
651,651,651,200311090TOR,24.0,5.0,2nd quarter,9:33.0,Francisco Elson,DEN,False,2-pointer,0,19-28,TOR,trails
653,653,653,200311090TOR,24.0,5.0,2nd quarter,8:41.0,Francisco Elson,DEN,True,2-pointer,0,23-30,TOR,trails
654,654,654,200311090TOR,34.3,10.3,2nd quarter,8:05.0,Francisco Elson,DEN,False,2-pointer,12,23-32,TOR,trails
657,657,657,200311090TOR,24.0,5.0,2nd quarter,6:58.0,Francisco Elson,DEN,True,2-pointer,0,28-32,TOR,trails
658,658,658,200311090TOR,24.0,5.0,2nd quarter,6:23.0,Francisco Elson,DEN,True,2-pointer,0,30-35,TOR,trails
677,677,677,200311090TOR,18.4,24.2,3rd quarter,4:24.0,Francisco Elson,DEN,False,2-pointer,20,53-58,TOR,trails
680,680,680,200311090TOR,12.5,10.4,3rd quarter,2:43.0,Francisco Elson,DEN,True,2-pointer,13,59-62,TOR,trails
690,690,690,200311090TOR,24.0,25.7,4th quarter,9:38.0,Francisco Elson,DEN,False,2-pointer,21,65-74,TOR,trails
20,20,20,200311100CHI,24.0,5.0,1st quarter,2:01.0,Francisco Elson,DEN,False,2-pointer,0,21-16,'DEN',leads
28,28,28,200311100CHI,24.0,5.0,2nd quarter,10:26.0,Francisco Elson,DEN,True,2-pointer,0,31-26,'DEN',leads
44,44,44,200311100CHI,24.0,5.0,2nd quarter,0:35.9,Francisco Elson,DEN,False,2-pointer,0,51-44,'DEN',leads
52,52,52,200311100CHI,24.0,5.0,3rd quarter,9:09.0,Francisco Elson,DEN,False,2-pointer,0,51-53,'DEN',trails
56,56,56,200311100CHI,33.5,15.7,3rd quarter,6:44.0,Francisco Elson,DEN,False,2-pointer,14,55-57,'DEN',trails
61,61,61,200311100CHI,15.6,8.0,3rd quarter,4:16.0,Francisco Elson,DEN,True,2-pointer,9,62-63,'DEN',trails
258,258,258,200311140DEN,24.0,5.0,1st quarter,1:48.0,Francisco Elson,DEN,True,2-pointer,0,14-21,'ORL',trails
319,319,319,200311140DEN,24.0,5.0,4th quarter,8:07.0,Francisco Elson,DEN,True,2-pointer,0,84-78,'ORL',leads
320,320,320,200311140DEN,10.5,8.5,4th quarter,7:15.0,Francisco Elson,DEN,False,2-pointer,14,84-81,'ORL',leads
489,489,489,200311180MIN,24.0,5.0,1st quarter,11:40.0,Francisco Elson,DEN,False,2-pointer,0,0-0,'DEN',tied
493,493,493,200311180MIN,24.0,5.0,1st quarter,10:20.0,Francisco Elson,DEN,False,2-pointer,0,2-2,'DEN',tied
522,522,522,200311180MIN,24.0,5.0,2nd quarter,4:26.0,Francisco Elson,DEN,False,2-pointer,0,21-34,'DEN',trails
535,535,535,200311180MIN,31.2,24.4,3rd quarter,8:37.0,Francisco Elson,DEN,False,2-pointer,21,33-44,'DEN',trails
536,536,536,200311180MIN,24.0,5.0,3rd quarter,8:17.0,Francisco Elson,DEN,True,2-pointer,0,35-44,'DEN',trails
538,538,538,200311180MIN,25.8,25.6,3rd quarter,6:22.0,Francisco Elson,DEN,True,2-pointer,21,37-48,'DEN',trails
540,540,540,200311180MIN,9.2,7.6,3rd quarter,4:59.0,Francisco Elson,DEN,False,2-pointer,15,37-50,'DEN',trails
230,230,230,200311190DEN,24.0,5.0,1st quarter,10:04.0,Francisco Elson,DEN,True,2-pointer,0,4-8,'DEN',trails
231,231,231,200311190DEN,18.3,22.8,1st quarter,9:32.0,Francisco Elson,DEN,True,2-pointer,19,7-8,'DEN',trails
