Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
242,242,242,200010310CHI,11.4,27.6,2nd quarter,8:18.0,Fred Hoiberg,CHI,False,3-pointer,26,26-27,'SAC',trails
264,264,264,200010310CHI,24.0,5.0,3rd quarter,2:07.0,Fred Hoiberg,CHI,False,2-pointer,0,54-64,'SAC',trails
266,266,266,200010310CHI,17.1,29.1,3rd quarter,1:16.0,Fred Hoiberg,CHI,True,3-pointer,25,59-64,'SAC',trails
268,268,268,200010310CHI,36.1,27.6,3rd quarter,0:00.1,Fred Hoiberg,CHI,True,3-pointer,26,64-69,'SAC',trails
389,389,389,200011030CHI,34.0,20.2,1st quarter,8:11.0,Fred Hoiberg,CHI,True,2-pointer,18,10-8,'NJN',leads
393,393,393,200011030CHI,36.1,22.9,1st quarter,6:18.0,Fred Hoiberg,CHI,False,2-pointer,22,12-12,'NJN',tied
425,425,425,200011030CHI,9.3,4.2,3rd quarter,7:33.0,Fred Hoiberg,CHI,True,2-pointer,15,41-55,'NJN',trails
445,445,445,200011030CHI,7.2,21.9,4th quarter,5:33.0,Fred Hoiberg,CHI,False,3-pointer,24,67-79,'NJN',trails
814,814,814,200011040IND,17.3,25.5,2nd quarter,7:40.0,Fred Hoiberg,CHI,False,2-pointer,22,31-33,'IND',trails
818,818,818,200011040IND,45.0,15.1,2nd quarter,4:37.0,Fred Hoiberg,CHI,True,2-pointer,23,37-39,'IND',trails
823,823,823,200011040IND,46.4,19.8,2nd quarter,0:39.9,Fred Hoiberg,CHI,False,3-pointer,27,39-50,'IND',trails
843,843,843,200011040IND,25.1,6.1,4th quarter,11:31.0,Fred Hoiberg,CHI,True,2-pointer,2,64-71,'IND',trails
121,121,121,200011070CHI,47.5,9.7,2nd quarter,1:25.0,Fred Hoiberg,CHI,False,3-pointer,24,37-38,'CHI',trails
137,137,137,200011070CHI,42.4,22.3,3rd quarter,3:52.0,Fred Hoiberg,CHI,False,3-pointer,25,54-56,'CHI',trails
145,145,145,200011070CHI,40.3,24.2,4th quarter,10:50.0,Fred Hoiberg,CHI,True,3-pointer,25,62-63,'CHI',trails
291,291,291,200011090CHI,5.3,14.1,2nd quarter,4:36.0,Fred Hoiberg,CHI,False,2-pointer,21,40-28,'ORL',leads
