Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
130,130,130,200711090BOS,3.6,9.9,4th quarter,2:53.0,Gabe Pruitt,BOS,True,2-pointer,21,98-77,'BOS',leads
137,137,137,200711090BOS,24.5,8.0,4th quarter,0:55.2,Gabe Pruitt,BOS,True,2-pointer,3,104-80,'BOS',leads
299,299,299,200711140BOS,5.4,22.1,4th quarter,1:01.0,Gabe Pruitt,BOS,False,3-pointer,25,89-66,'NJN',leads
138,138,138,200711290BOS,24.6,5.5,4th quarter,10:14.0,Gabe Pruitt,BOS,False,2-pointer,1,84-43,'NYK',leads
139,139,139,200711290BOS,47.6,9.1,4th quarter,10:07.0,Gabe Pruitt,BOS,False,3-pointer,24,84-43,'NYK',leads
144,144,144,200711290BOS,5.1,17.8,4th quarter,7:06.0,Gabe Pruitt,BOS,True,2-pointer,23,95-43,'NYK',leads
146,146,146,200711290BOS,35.5,19.8,4th quarter,3:52.0,Gabe Pruitt,BOS,False,2-pointer,19,97-51,'NYK',leads
151,151,151,200711290BOS,39.3,15.7,4th quarter,1:43.0,Gabe Pruitt,BOS,False,2-pointer,19,100-54,'NYK',leads
153,153,153,200711290BOS,24.5,8.1,4th quarter,1:28.0,Gabe Pruitt,BOS,False,2-pointer,3,102-54,'NYK',leads
144,144,144,200712140BOS,24.8,7.5,4th quarter,4:46.0,Gabe Pruitt,BOS,True,2-pointer,3,92-69,'BOS',leads
145,145,145,200712140BOS,31.9,23.4,4th quarter,4:09.0,Gabe Pruitt,BOS,True,2-pointer,20,94-72,'BOS',leads
151,151,151,200712140BOS,47.2,8.3,4th quarter,0:40.2,Gabe Pruitt,BOS,True,3-pointer,23,104-80,'BOS',leads
190,190,190,200712300LAL,24.0,5.0,1st quarter,0:00.9,Gabe Pruitt,BOS,False,2-pointer,0,32-23,'LAL',leads
310,310,310,200801090BOS,41.1,20.8,4th quarter,0:25.9,Gabe Pruitt,BOS,False,2-pointer,23,83-95,'CHA',trails
87,87,87,200801160BOS,6.4,16.0,1st quarter,1:19.0,Gabe Pruitt,BOS,True,2-pointer,21,18-19,'POR',trails
89,89,89,200801160BOS,47.3,5.0,2nd quarter,11:45.0,Gabe Pruitt,BOS,False,3-pointer,23,19-19,'POR',tied
94,94,94,200801160BOS,17.9,23.7,2nd quarter,9:22.0,Gabe Pruitt,BOS,False,2-pointer,20,21-25,'POR',trails
97,97,97,200801160BOS,4.0,20.3,2nd quarter,7:06.0,Gabe Pruitt,BOS,False,3-pointer,25,24-30,'POR',trails
128,128,128,200801160BOS,25.5,7.5,3rd quarter,0:01.0,Gabe Pruitt,BOS,False,2-pointer,3,74-69,'POR',leads
131,131,131,200801160BOS,35.7,28.5,4th quarter,10:17.0,Gabe Pruitt,BOS,False,3-pointer,26,78-70,'POR',leads
84,84,84,200801180BOS,9.9,20.0,1st quarter,4:29.0,Gabe Pruitt,BOS,False,2-pointer,21,15-23,'BOS',trails
86,86,86,200801180BOS,30.2,29.3,1st quarter,3:33.0,Gabe Pruitt,BOS,True,3-pointer,25,21-23,'BOS',trails
87,87,87,200801180BOS,36.1,27.2,1st quarter,2:18.0,Gabe Pruitt,BOS,False,3-pointer,25,21-23,'BOS',trails
729,729,729,200801290MIA,19.9,29.8,4th quarter,5:29.0,Gabe Pruitt,BOS,False,3-pointer,25,105-73,'MIA',leads
731,731,731,200801290MIA,35.3,20.5,4th quarter,3:43.0,Gabe Pruitt,BOS,False,2-pointer,19,108-75,'MIA',leads
557,557,557,200802250LAC,29.9,22.9,4th quarter,8:08.0,Gabe Pruitt,BOS,True,2-pointer,19,89-65,'BOS',leads
560,560,560,200802250LAC,38.3,26.5,4th quarter,4:16.0,Gabe Pruitt,BOS,False,3-pointer,26,90-68,'BOS',leads
561,561,561,200802250LAC,10.9,16.7,4th quarter,3:35.0,Gabe Pruitt,BOS,True,2-pointer,18,92-70,'BOS',leads
565,565,565,200802250LAC,32.2,24.1,4th quarter,0:27.0,Gabe Pruitt,BOS,True,2-pointer,21,104-75,'BOS',leads
154,154,154,200804110BOS,22.9,6.5,4th quarter,6:43.0,Gabe Pruitt,BOS,True,2-pointer,2,89-69,'BOS',leads
161,161,161,200804110BOS,8.7,9.0,4th quarter,3:52.0,Gabe Pruitt,BOS,False,2-pointer,16,93-77,'BOS',leads
204,204,204,200804140NYK,7.1,9.5,2nd quarter,10:34.0,Gabe Pruitt,BOS,False,2-pointer,17,25-22,'NYK',leads
206,206,206,200804140NYK,36.0,27.0,2nd quarter,8:57.0,Gabe Pruitt,BOS,False,3-pointer,25,30-29,'NYK',leads
97,97,97,200804160BOS,19.4,6.5,2nd quarter,7:29.0,Gabe Pruitt,BOS,False,2-pointer,5,34-28,'NJN',leads
101,101,101,200804160BOS,0.7,5.0,2nd quarter,5:16.0,Gabe Pruitt,BOS,True,3-pointer,23,42-36,'NJN',leads
104,104,104,200804160BOS,24.3,18.7,2nd quarter,3:35.0,Gabe Pruitt,BOS,False,2-pointer,14,47-38,'NJN',leads
107,107,107,200804160BOS,21.2,5.0,2nd quarter,1:44.0,Gabe Pruitt,BOS,True,2-pointer,3,49-42,'NJN',leads
110,110,110,200804160BOS,27.3,5.5,2nd quarter,0:03.1,Gabe Pruitt,BOS,False,2-pointer,3,53-47,'NJN',leads
148,148,148,200804160BOS,29.7,23.9,4th quarter,1:50.0,Gabe Pruitt,BOS,False,2-pointer,20,103-88,'NJN',leads
149,149,149,200810310BOS,38.0,26.1,4th quarter,3:58.0,Gabe Pruitt,BOS,True,3-pointer,25,93-67,'BOS',leads
1029,1029,1029,200811010IND,3.6,21.4,4th quarter,2:36.0,Gabe Pruitt,BOS,False,3-pointer,26,73-92,'IND',trails
313,313,313,200811070BOS,48.1,6.5,4th quarter,2:03.0,Gabe Pruitt,BOS,False,3-pointer,24,97-85,'BOS',leads
123,123,123,200811200BOS,36.1,19.9,4th quarter,10:09.0,Gabe Pruitt,BOS,True,2-pointer,19,81-57,'DET',leads
124,124,124,200811200BOS,1.4,5.1,4th quarter,9:33.0,Gabe Pruitt,BOS,False,3-pointer,23,81-57,'DET',leads
132,132,132,200811200BOS,36.5,21.4,4th quarter,4:20.0,Gabe Pruitt,BOS,False,2-pointer,21,92-67,'DET',leads
139,139,139,200811200BOS,23.2,9.4,4th quarter,0:36.9,Gabe Pruitt,BOS,False,2-pointer,4,96-80,'DET',leads
1085,1085,1085,200811210MIN,14.3,20.9,4th quarter,0:40.5,Gabe Pruitt,BOS,True,2-pointer,19,95-76,'BOS',leads
1086,1086,1086,200811210MIN,23.0,25.6,4th quarter,0:04.8,Gabe Pruitt,BOS,False,2-pointer,21,95-78,'BOS',leads
736,736,736,200811230TOR,32.0,26.1,4th quarter,3:14.0,Gabe Pruitt,BOS,False,2-pointer,23,115-99,'TOR',leads
739,739,739,200811230TOR,27.2,30.2,4th quarter,0:30.9,Gabe Pruitt,BOS,False,3-pointer,25,118-103,'TOR',leads
740,740,740,200811230TOR,34.8,24.8,4th quarter,0:04.9,Gabe Pruitt,BOS,False,2-pointer,23,118-103,'TOR',leads
379,379,379,200812110WAS,25.7,24.2,4th quarter,2:39.0,Gabe Pruitt,BOS,True,2-pointer,19,115-84,'BOS',leads
382,382,382,200812110WAS,1.4,18.1,4th quarter,1:12.0,Gabe Pruitt,BOS,False,3-pointer,26,120-86,'BOS',leads
250,250,250,200812150BOS,44.0,21.0,2nd quarter,9:15.0,Gabe Pruitt,BOS,True,3-pointer,26,33-23,'UTA',leads
251,251,251,200812150BOS,38.7,24.7,2nd quarter,8:37.0,Gabe Pruitt,BOS,False,3-pointer,25,33-25,'UTA',leads
287,287,287,200812150BOS,3.5,18.7,4th quarter,9:02.0,Gabe Pruitt,BOS,True,3-pointer,25,76-70,'UTA',leads
287,287,287,200812190BOS,5.3,20.6,2nd quarter,10:32.0,Gabe Pruitt,BOS,False,3-pointer,24,32-26,'BOS',leads
288,288,288,200812190BOS,10.2,26.1,2nd quarter,9:38.0,Gabe Pruitt,BOS,True,3-pointer,25,35-26,'BOS',leads
338,338,338,200812190BOS,7.4,23.4,4th quarter,3:52.0,Gabe Pruitt,BOS,False,3-pointer,25,114-97,'BOS',leads
256,256,256,200812210BOS,46.5,7.2,2nd quarter,10:40.0,Gabe Pruitt,BOS,False,3-pointer,23,42-21,'NYK',leads
314,314,314,200812230BOS,42.7,21.0,4th quarter,6:56.0,Gabe Pruitt,BOS,True,3-pointer,25,93-71,'BOS',leads
317,317,317,200812230BOS,36.4,26.7,4th quarter,5:29.0,Gabe Pruitt,BOS,False,3-pointer,25,95-76,'BOS',leads
873,873,873,200812280SAC,0.1,7.5,4th quarter,11:16.0,Gabe Pruitt,BOS,False,3-pointer,24,84-51,'SAC',leads
881,881,881,200812280SAC,42.9,12.2,4th quarter,8:07.0,Gabe Pruitt,BOS,False,2-pointer,20,91-56,'SAC',leads
885,885,885,200812280SAC,24.0,5.0,4th quarter,6:21.0,Gabe Pruitt,BOS,True,2-pointer,0,99-58,'SAC',leads
889,889,889,200812280SAC,24.0,5.0,4th quarter,2:57.0,Gabe Pruitt,BOS,True,2-pointer,0,106-58,'SAC',leads
139,139,139,200901020BOS,25.8,28.9,4th quarter,11:01.0,Gabe Pruitt,BOS,False,3-pointer,24,88-58,'BOS',leads
146,146,146,200901020BOS,42.4,21.5,4th quarter,4:56.0,Gabe Pruitt,BOS,False,3-pointer,25,95-73,'BOS',leads
149,149,149,200901020BOS,23.8,4.5,4th quarter,3:38.0,Gabe Pruitt,BOS,False,2-pointer,1,99-75,'BOS',leads
154,154,154,200901020BOS,38.0,20.1,4th quarter,0:53.8,Gabe Pruitt,BOS,False,2-pointer,21,106-80,'BOS',leads
21,21,21,200901060CHA,0.1,8.1,2nd quarter,11:05.0,Gabe Pruitt,BOS,False,3-pointer,24,25-30,'BOS',trails
23,23,23,200901060CHA,7.4,25.6,2nd quarter,9:04.0,Gabe Pruitt,BOS,True,3-pointer,26,31-32,'BOS',trails
87,87,87,200901060CHA,5.0,24.4,1st overtime,0:05.9,Gabe Pruitt,BOS,False,3-pointer,27,106-114,'BOS',trails
242,242,242,200901070BOS,16.4,25.0,2nd quarter,11:43.0,Gabe Pruitt,BOS,True,2-pointer,21,33-22,'HOU',leads
245,245,245,200901070BOS,24.7,27.8,2nd quarter,9:28.0,Gabe Pruitt,BOS,False,2-pointer,23,35-29,'HOU',leads
273,273,273,200901070BOS,40.8,23.3,3rd quarter,2:35.0,Gabe Pruitt,BOS,False,3-pointer,25,70-67,'HOU',leads
278,278,278,200901070BOS,47.3,4.5,4th quarter,10:03.0,Gabe Pruitt,BOS,True,3-pointer,23,77-72,'HOU',leads
280,280,280,200901070BOS,14.7,24.4,4th quarter,8:34.0,Gabe Pruitt,BOS,True,2-pointer,22,79-74,'HOU',leads
179,179,179,200901090CLE,42.4,7.6,2nd quarter,8:31.0,Gabe Pruitt,BOS,False,2-pointer,19,27-34,'BOS',trails
182,182,182,200901090CLE,23.8,5.4,2nd quarter,7:06.0,Gabe Pruitt,BOS,True,2-pointer,0,31-38,'BOS',trails
224,224,224,200901090CLE,34.6,14.3,4th quarter,4:07.0,Gabe Pruitt,BOS,False,2-pointer,14,71-90,'BOS',trails
230,230,230,200901090CLE,47.3,7.2,4th quarter,0:56.9,Gabe Pruitt,BOS,False,3-pointer,23,83-98,'BOS',trails
1007,1007,1007,200901110TOR,17.5,19.5,2nd quarter,7:50.0,Gabe Pruitt,BOS,False,2-pointer,16,41-26,'TOR',leads
103,103,103,200901120BOS,4.2,5.6,2nd quarter,10:29.0,Gabe Pruitt,BOS,False,2-pointer,20,21-25,'TOR',trails
142,142,142,200901120BOS,2.0,4.5,4th quarter,10:56.0,Gabe Pruitt,BOS,True,3-pointer,22,80-78,'TOR',leads
143,143,143,200901120BOS,17.8,5.3,4th quarter,10:25.0,Gabe Pruitt,BOS,False,2-pointer,6,80-79,'TOR',leads
146,146,146,200901120BOS,1.4,5.3,4th quarter,8:47.0,Gabe Pruitt,BOS,False,3-pointer,23,82-82,'TOR',tied
125,125,125,200901140BOS,36.7,20.3,4th quarter,11:44.0,Gabe Pruitt,BOS,True,2-pointer,20,90-60,'NJN',leads
135,135,135,200901140BOS,0.8,9.2,4th quarter,4:57.0,Gabe Pruitt,BOS,True,3-pointer,24,108-78,'NJN',leads
138,138,138,200901140BOS,13.5,5.0,4th quarter,3:23.0,Gabe Pruitt,BOS,False,2-pointer,11,110-79,'NJN',leads
143,143,143,200901140BOS,0.9,6.5,4th quarter,1:28.0,Gabe Pruitt,BOS,False,3-pointer,23,114-83,'NJN',leads
1153,1153,1153,200901170NJN,8.2,23.6,2nd quarter,10:44.0,Gabe Pruitt,BOS,True,3-pointer,24,32-19,'NJN',leads
1156,1156,1156,200901170NJN,33.9,20.7,2nd quarter,8:06.0,Gabe Pruitt,BOS,False,2-pointer,19,38-22,'NJN',leads
1158,1158,1158,200901170NJN,20.0,24.2,2nd quarter,7:31.0,Gabe Pruitt,BOS,False,2-pointer,20,40-22,'NJN',leads
1202,1202,1202,200901170NJN,47.3,7.0,4th quarter,0:59.9,Gabe Pruitt,BOS,False,3-pointer,23,105-83,'NJN',leads
310,310,310,200901190BOS,11.0,19.3,4th quarter,9:57.0,Gabe Pruitt,BOS,True,2-pointer,19,93-61,'PHO',leads
315,315,315,200901190BOS,22.4,6.4,4th quarter,7:24.0,Gabe Pruitt,BOS,False,2-pointer,2,95-65,'PHO',leads
317,317,317,200901190BOS,32.6,25.9,4th quarter,6:26.0,Gabe Pruitt,BOS,False,2-pointer,23,95-68,'PHO',leads
323,323,323,200901190BOS,21.1,8.1,4th quarter,3:11.0,Gabe Pruitt,BOS,False,2-pointer,4,99-78,'PHO',leads
