Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
588,588,588,201611050MIL,24.0,3.1,4th quarter,3:14.0,Georgios Papagiannis,SAC,True,2-pointer,0,85-110,'SAC',trails
945,945,945,201702150GSW,24.0,3.1,4th quarter,6:43.0,Georgios Papagiannis,SAC,True,2-pointer,0,73-101,'SAC',trails
946,946,946,201702150GSW,30.3,10.0,4th quarter,6:02.0,Georgios Papagiannis,SAC,False,2-pointer,9,73-103,'SAC',trails
952,952,952,201702150GSW,23.8,7.6,4th quarter,2:03.0,Georgios Papagiannis,SAC,True,2-pointer,5,81-106,'SAC',trails
1871,1871,1871,201703110SAC,22.3,5.1,4th quarter,0:06.0,Georgios Papagiannis,SAC,True,2-pointer,2,92-105,'SAC',trails
789,789,789,201703130SAC,28.5,12.7,1st quarter,2:23.0,Georgios Papagiannis,SAC,False,2-pointer,10,17-19,'SAC',trails
796,796,796,201703130SAC,28.3,18.9,2nd quarter,8:59.0,Georgios Papagiannis,SAC,False,2-pointer,16,29-31,'SAC',trails
841,841,841,201703130SAC,24.0,3.1,4th quarter,9:54.0,Georgios Papagiannis,SAC,True,2-pointer,0,95-88,'SAC',leads
1183,1183,1183,201703150PHO,20.2,13.0,1st quarter,2:11.0,Georgios Papagiannis,SAC,False,2-pointer,10,19-26,'SAC',trails
1193,1193,1193,201703150PHO,23.9,8.7,2nd quarter,8:36.0,Georgios Papagiannis,SAC,False,2-pointer,5,24-31,'SAC',trails
1162,1162,1162,201703180OKC,25.5,6.6,1st quarter,1:23.0,Georgios Papagiannis,SAC,False,2-pointer,3,14-22,'SAC',trails
1164,1164,1164,201703180OKC,7.2,14.1,2nd quarter,11:48.0,Georgios Papagiannis,SAC,True,2-pointer,20,21-29,'SAC',trails
1168,1168,1168,201703180OKC,24.0,7.1,2nd quarter,9:45.0,Georgios Papagiannis,SAC,False,2-pointer,4,21-36,'SAC',trails
1192,1192,1192,201703180OKC,23.4,4.1,3rd quarter,7:35.0,Georgios Papagiannis,SAC,False,2-pointer,1,47-74,'SAC',trails
1193,1193,1193,201703180OKC,23.4,4.1,3rd quarter,7:35.0,Georgios Papagiannis,SAC,True,2-pointer,1,49-74,'SAC',trails
1199,1199,1199,201703180OKC,22.8,4.1,3rd quarter,4:20.0,Georgios Papagiannis,SAC,True,2-pointer,1,61-78,'SAC',trails
1202,1202,1202,201703180OKC,32.1,4.6,3rd quarter,2:36.0,Georgios Papagiannis,SAC,False,2-pointer,8,61-80,'SAC',trails
1205,1205,1205,201703180OKC,28.6,6.6,3rd quarter,0:29.0,Georgios Papagiannis,SAC,True,2-pointer,6,65-85,'SAC',trails
1221,1221,1221,201703180OKC,21.8,8.1,4th quarter,4:31.0,Georgios Papagiannis,SAC,True,2-pointer,5,84-101,'SAC',trails
1223,1223,1223,201703180OKC,25.4,6.1,4th quarter,3:19.0,Georgios Papagiannis,SAC,True,2-pointer,3,88-104,'SAC',trails
1041,1041,1041,201703190SAS,32.1,4.6,1st quarter,3:05.0,Georgios Papagiannis,SAC,True,2-pointer,8,20-15,'SAS',leads
1044,1044,1044,201703190SAS,28.5,6.6,1st quarter,2:20.0,Georgios Papagiannis,SAC,True,2-pointer,5,25-17,'SAS',leads
1047,1047,1047,201703190SAS,23.8,3.3,1st quarter,1:08.0,Georgios Papagiannis,SAC,False,2-pointer,0,27-19,'SAS',leads
1077,1077,1077,201703190SAS,24.0,3.1,3rd quarter,7:25.0,Georgios Papagiannis,SAC,False,2-pointer,0,55-73,'SAS',trails
1091,1091,1091,201703190SAS,24.9,10.7,4th quarter,11:31.0,Georgios Papagiannis,SAC,False,2-pointer,7,74-99,'SAS',trails
1092,1092,1092,201703190SAS,22.7,3.9,4th quarter,11:29.0,Georgios Papagiannis,SAC,False,2-pointer,1,74-99,'SAS',trails
1097,1097,1097,201703190SAS,24.0,3.1,4th quarter,8:11.0,Georgios Papagiannis,SAC,False,2-pointer,0,83-101,'SAS',trails
966,966,966,201703220SAC,27.7,14.5,1st quarter,5:02.0,Georgios Papagiannis,SAC,False,2-pointer,12,14-15,'SAC',trails
968,968,968,201703220SAC,22.8,3.0,1st quarter,4:23.0,Georgios Papagiannis,SAC,False,2-pointer,1,14-17,'SAC',trails
973,973,973,201703220SAC,28.8,3.7,1st quarter,0:27.0,Georgios Papagiannis,SAC,True,2-pointer,4,24-23,'SAC',leads
974,974,974,201703220SAC,23.4,7.1,1st quarter,0:00.0,Georgios Papagiannis,SAC,False,2-pointer,4,24-25,'SAC',trails
978,978,978,201703220SAC,24.0,3.1,2nd quarter,10:05.0,Georgios Papagiannis,SAC,True,2-pointer,0,28-29,'SAC',trails
980,980,980,201703220SAC,24.7,10.5,2nd quarter,9:10.0,Georgios Papagiannis,SAC,False,2-pointer,7,28-31,'SAC',trails
984,984,984,201703220SAC,24.0,3.1,2nd quarter,7:02.0,Georgios Papagiannis,SAC,False,2-pointer,0,32-39,'SAC',trails
1011,1011,1011,201703220SAC,24.6,11.0,3rd quarter,2:52.0,Georgios Papagiannis,SAC,False,2-pointer,8,67-81,'SAC',trails
1017,1017,1017,201703220SAC,24.1,8.2,4th quarter,11:08.0,Georgios Papagiannis,SAC,False,2-pointer,5,75-90,'SAC',trails
541,541,541,201703240GSW,18.7,9.2,2nd quarter,8:54.0,Georgios Papagiannis,SAC,True,2-pointer,8,27-34,'SAC',trails
544,544,544,201703240GSW,24.0,3.1,2nd quarter,7:31.0,Georgios Papagiannis,SAC,True,2-pointer,0,31-38,'SAC',trails
573,573,573,201703240GSW,29.6,28.4,3rd quarter,4:10.0,Georgios Papagiannis,SAC,False,3-pointer,26,65-77,'SAC',trails
581,581,581,201703240GSW,23.4,4.6,4th quarter,9:50.0,Georgios Papagiannis,SAC,False,2-pointer,1,76-95,'SAC',trails
582,582,582,201703240GSW,24.0,3.1,4th quarter,9:48.0,Georgios Papagiannis,SAC,True,2-pointer,0,78-95,'SAC',trails
595,595,595,201703240GSW,40.1,4.1,4th quarter,3:21.0,Georgios Papagiannis,SAC,False,2-pointer,16,88-108,'SAC',trails
1234,1234,1234,201703260LAC,24.6,16.6,1st quarter,2:10.0,Georgios Papagiannis,SAC,False,2-pointer,13,17-23,'SAC',trails
1237,1237,1237,201703260LAC,24.4,6.3,1st quarter,0:06.0,Georgios Papagiannis,SAC,True,2-pointer,3,24-24,'SAC',tied
1238,1238,1238,201703260LAC,26.2,5.3,2nd quarter,11:32.0,Georgios Papagiannis,SAC,True,2-pointer,3,26-24,'SAC',leads
1240,1240,1240,201703260LAC,25.7,11.2,2nd quarter,10:24.0,Georgios Papagiannis,SAC,False,2-pointer,8,29-24,'SAC',leads
1255,1255,1255,201703260LAC,27.3,6.8,2nd quarter,0:26.0,Georgios Papagiannis,SAC,True,2-pointer,5,42-42,'SAC',tied
1265,1265,1265,201703260LAC,32.4,17.9,3rd quarter,6:30.0,Georgios Papagiannis,SAC,False,2-pointer,17,51-61,'SAC',trails
1284,1284,1284,201703260LAC,24.0,3.1,4th quarter,7:41.0,Georgios Papagiannis,SAC,True,2-pointer,0,73-89,'SAC',trails
1291,1291,1291,201703260LAC,22.6,13.0,4th quarter,3:48.0,Georgios Papagiannis,SAC,True,2-pointer,10,82-94,'SAC',trails
1293,1293,1293,201703260LAC,26.8,13.0,4th quarter,2:54.0,Georgios Papagiannis,SAC,True,2-pointer,10,87-96,'SAC',trails
1315,1315,1315,201703290SAC,23.9,18.6,1st quarter,3:30.0,Georgios Papagiannis,SAC,False,2-pointer,15,10-22,'UTA',trails
1318,1318,1318,201703290SAC,24.2,16.9,1st quarter,1:42.0,Georgios Papagiannis,SAC,True,2-pointer,13,14-26,'UTA',trails
1360,1360,1360,201703290SAC,33.2,7.6,3rd quarter,1:13.0,Georgios Papagiannis,SAC,False,2-pointer,10,65-70,'UTA',trails
1361,1361,1361,201703290SAC,28.2,13.0,3rd quarter,0:21.0,Georgios Papagiannis,SAC,True,2-pointer,10,67-75,'UTA',trails
1362,1362,1362,201703290SAC,24.0,3.1,4th quarter,11:19.0,Georgios Papagiannis,SAC,True,2-pointer,0,69-80,'UTA',trails
1365,1365,1365,201703290SAC,22.3,10.2,4th quarter,8:41.0,Georgios Papagiannis,SAC,True,2-pointer,7,73-89,'UTA',trails
1370,1370,1370,201703290SAC,26.5,11.5,4th quarter,6:17.0,Georgios Papagiannis,SAC,False,2-pointer,8,78-96,'UTA',trails
1240,1240,1240,201703310NOP,24.1,14.5,2nd quarter,9:42.0,Georgios Papagiannis,SAC,False,2-pointer,11,22-38,'NOP',trails
1278,1278,1278,201703310NOP,24.0,11.0,3rd quarter,0:57.0,Georgios Papagiannis,SAC,True,2-pointer,8,60-78,'NOP',trails
1289,1289,1289,201703310NOP,23.4,19.9,4th quarter,7:05.0,Georgios Papagiannis,SAC,True,2-pointer,16,74-90,'NOP',trails
1301,1301,1301,201703310NOP,24.0,3.1,4th quarter,0:46.0,Georgios Papagiannis,SAC,True,2-pointer,0,87-117,'NOP',trails
1303,1303,1303,201703310NOP,24.0,3.1,4th quarter,0:10.0,Georgios Papagiannis,SAC,True,2-pointer,0,89-117,'NOP',trails
530,530,530,201704010MIN,11.1,12.0,1st quarter,3:12.0,Georgios Papagiannis,SAC,False,2-pointer,15,13-21,'SAC',trails
549,549,549,201704010MIN,24.0,3.1,2nd quarter,4:51.0,Georgios Papagiannis,SAC,True,2-pointer,0,46-46,'SAC',tied
