Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
251,251,251,202104040BOS,4.3,24.9,4th quarter,1:54.0,Grant Riller,CHO,False,3-pointer,29,86-114,'CHO',trails
252,252,252,202104040BOS,18.4,21.8,4th quarter,0:24.0,Grant Riller,CHO,False,2-pointer,19,86-116,'CHO',trails
80,80,80,202104160BRK,1.2,8.3,4th quarter,1:52.0,Grant Riller,CHO,True,3-pointer,23,110-124,'CHO',trails
240,240,240,202104220CHI,22.6,3.2,4th quarter,2:31.0,Grant Riller,CHO,True,2-pointer,1,87-106,'CHO',trails
242,242,242,202104220CHI,23.1,3.2,4th quarter,1:24.0,Grant Riller,CHO,True,2-pointer,1,89-106,'CHO',trails
244,244,244,202104220CHI,24.1,30.6,4th quarter,0:41.0,Grant Riller,CHO,False,3-pointer,27,89-106,'CHO',trails
245,245,245,202104220CHI,25.2,4.3,4th quarter,0:16.0,Grant Riller,CHO,True,2-pointer,2,91-108,'CHO',trails
522,522,522,202104250CHO,15.7,15.2,4th quarter,1:28.0,Grant Riller,CHO,True,2-pointer,14,122-101,'CHO',leads
523,523,523,202104250CHO,15.4,26.5,4th quarter,1:09.0,Grant Riller,CHO,True,3-pointer,25,125-101,'CHO',leads
179,179,179,202105060CHO,25.3,21.1,4th quarter,0:43.0,Grant Riller,CHO,True,2-pointer,18,97-117,'CHO',trails
180,180,180,202105060CHO,41.8,11.3,4th quarter,0:12.0,Grant Riller,CHO,True,2-pointer,19,99-120,'CHO',trails
516,516,516,202105130CHO,36.7,20.3,4th quarter,1:03.0,Grant Riller,CHO,False,2-pointer,21,89-109,'CHO',trails
