Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1173,1173,1173,201910230PHI,22.7,8.1,4th quarter,0:50.0,Grant Williams,BOS,False,2-pointer,5,90-105,'BOS',trails
96,96,96,201910250BOS,25.1,3.8,1st quarter,4:27.0,Grant Williams,BOS,False,2-pointer,1,13-12,'TOR',leads
105,105,105,201910250BOS,19.4,27.9,1st quarter,0:21.0,Grant Williams,BOS,False,3-pointer,25,22-21,'TOR',leads
127,127,127,201910250BOS,21.2,4.2,2nd quarter,1:56.0,Grant Williams,BOS,False,2-pointer,3,40-46,'TOR',trails
131,131,131,201910250BOS,24.0,2.7,2nd quarter,0:29.0,Grant Williams,BOS,True,2-pointer,1,48-46,'TOR',leads
149,149,149,201910250BOS,4.1,19.6,3rd quarter,4:14.0,Grant Williams,BOS,False,3-pointer,26,66-72,'TOR',trails
151,151,151,201910250BOS,24.0,2.7,3rd quarter,3:48.0,Grant Williams,BOS,False,2-pointer,1,66-72,'TOR',trails
158,158,158,201910250BOS,1.2,3.2,3rd quarter,0:49.0,Grant Williams,BOS,False,3-pointer,23,76-78,'TOR',trails
162,162,162,201910250BOS,24.3,2.9,4th quarter,11:27.0,Grant Williams,BOS,False,2-pointer,0,76-82,'TOR',trails
176,176,176,201910250BOS,21.7,3.8,4th quarter,5:16.0,Grant Williams,BOS,True,2-pointer,2,101-100,'TOR',leads
1103,1103,1103,201910260NYK,24.0,4.8,2nd quarter,11:40.0,Grant Williams,BOS,True,2-pointer,2,26-24,'NYK',leads
1117,1117,1117,201910260NYK,46.8,3.9,2nd quarter,4:39.0,Grant Williams,BOS,False,3-pointer,23,41-37,'NYK',leads
1142,1142,1142,201910260NYK,23.2,3.8,3rd quarter,1:16.0,Grant Williams,BOS,True,2-pointer,1,81-76,'NYK',leads
1145,1145,1145,201910260NYK,23.9,5.0,4th quarter,11:45.0,Grant Williams,BOS,True,2-pointer,2,84-76,'NYK',leads
96,96,96,201910300BOS,31.9,10.3,1st quarter,1:38.0,Grant Williams,BOS,False,2-pointer,11,18-34,'BOS',trails
101,101,101,201910300BOS,4.2,19.3,2nd quarter,11:27.0,Grant Williams,BOS,False,3-pointer,25,19-34,'BOS',trails
102,102,102,201910300BOS,23.7,5.5,2nd quarter,11:07.0,Grant Williams,BOS,True,2-pointer,2,21-34,'BOS',trails
104,104,104,201910300BOS,5.9,22.2,2nd quarter,10:23.0,Grant Williams,BOS,False,3-pointer,26,21-37,'BOS',trails
109,109,109,201911010BOS,22.3,3.8,1st quarter,1:20.0,Grant Williams,BOS,True,2-pointer,2,20-19,'NYK',leads
110,110,110,201911010BOS,34.8,6.7,1st quarter,0:30.0,Grant Williams,BOS,True,2-pointer,11,22-21,'NYK',leads
112,112,112,201911010BOS,45.4,17.0,2nd quarter,11:46.0,Grant Williams,BOS,False,3-pointer,25,22-23,'NYK',trails
122,122,122,201911010BOS,46.8,3.9,2nd quarter,5:14.0,Grant Williams,BOS,False,3-pointer,23,38-36,'NYK',leads
551,551,551,201911050CLE,34.8,25.6,1st quarter,3:48.0,Grant Williams,BOS,False,3-pointer,25,19-13,'BOS',leads
556,556,556,201911050CLE,14.2,5.5,1st quarter,1:17.0,Grant Williams,BOS,False,2-pointer,10,28-21,'BOS',leads
30,30,30,201911070CHO,26.5,28.9,2nd quarter,8:01.0,Grant Williams,BOS,False,3-pointer,26,38-25,'CHO',leads
31,31,31,201911070CHO,25.3,6.2,2nd quarter,7:21.0,Grant Williams,BOS,False,2-pointer,3,38-27,'CHO',leads
722,722,722,201911090SAS,0.3,4.8,2nd quarter,11:37.0,Grant Williams,BOS,False,3-pointer,24,39-30,'SAS',leads
731,731,731,201911090SAS,31.4,27.8,2nd quarter,7:16.0,Grant Williams,BOS,False,3-pointer,26,50-36,'SAS',leads
762,762,762,201911090SAS,11.6,2.6,3rd quarter,4:42.0,Grant Williams,BOS,False,2-pointer,12,90-77,'SAS',leads
105,105,105,201911110BOS,3.5,19.3,1st quarter,2:09.0,Grant Williams,BOS,False,3-pointer,26,22-15,'DAL',leads
127,127,127,201911130BOS,33.5,26.1,2nd quarter,9:35.0,Grant Williams,BOS,False,3-pointer,25,38-43,'BOS',trails
204,204,204,201911150GSW,25.7,6.3,2nd quarter,7:56.0,Grant Williams,BOS,True,2-pointer,3,35-41,'BOS',trails
1110,1110,1110,201911180PHO,1.2,11.8,2nd quarter,4:48.0,Grant Williams,BOS,False,3-pointer,24,42-40,'PHO',leads
1117,1117,1117,201911180PHO,24.6,2.9,2nd quarter,2:50.0,Grant Williams,BOS,True,2-pointer,1,48-40,'PHO',leads
1157,1157,1157,201911180PHO,28.8,5.3,4th quarter,2:52.0,Grant Williams,BOS,True,2-pointer,5,99-80,'PHO',leads
1160,1160,1160,201911180PHO,7.6,21.6,4th quarter,1:25.0,Grant Williams,BOS,False,3-pointer,25,99-85,'PHO',leads
1161,1161,1161,201911180PHO,29.1,19.6,4th quarter,1:10.0,Grant Williams,BOS,False,2-pointer,17,99-85,'PHO',leads
903,903,903,201911200LAC,24.5,6.3,2nd quarter,10:37.0,Grant Williams,BOS,True,2-pointer,3,27-25,'BOS',leads
941,941,941,201911200LAC,-0.3,4.7,3rd quarter,2:26.0,Grant Williams,BOS,False,3-pointer,24,66-63,'BOS',leads
943,943,943,201911200LAC,6.8,6.1,3rd quarter,1:34.0,Grant Williams,BOS,False,2-pointer,17,66-65,'BOS',leads
535,535,535,201911220DEN,46.8,10.8,1st quarter,4:36.0,Grant Williams,BOS,False,3-pointer,24,8-16,'BOS',trails
578,578,578,201911220DEN,13.8,6.3,3rd quarter,2:39.0,Grant Williams,BOS,False,2-pointer,11,47-66,'BOS',trails
579,579,579,201911220DEN,46.8,8.8,3rd quarter,2:25.0,Grant Williams,BOS,False,3-pointer,23,47-66,'BOS',trails
590,590,590,201911220DEN,21.8,3.7,4th quarter,6:14.0,Grant Williams,BOS,False,2-pointer,2,69-75,'BOS',trails
279,279,279,201911250BOS,33.7,6.8,1st quarter,0:54.0,Grant Williams,BOS,False,2-pointer,10,19-20,'SAC',trails
281,281,281,201911250BOS,16.8,27.3,1st quarter,0:33.0,Grant Williams,BOS,False,3-pointer,25,19-20,'SAC',trails
186,186,186,201911270BOS,46.4,15.3,4th quarter,0:49.0,Grant Williams,BOS,False,3-pointer,25,121-108,'BOS',leads
57,57,57,201911290BRK,31.4,2.3,3rd quarter,5:25.0,Grant Williams,BOS,False,2-pointer,7,64-74,'BOS',trails
