Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
453,453,453,201202190HOU,25.0,7.3,2nd quarter,1:32.0,Greg Smith,HOU,False,2-pointer,3,37-41,'HOU',trails
454,454,454,201202190HOU,25.5,6.9,2nd quarter,1:31.0,Greg Smith,HOU,True,2-pointer,2,39-41,'HOU',trails
1766,1766,1766,201202290UTA,24.0,5.1,4th quarter,3:01.0,Greg Smith,HOU,True,2-pointer,0,81-100,'HOU',trails
478,478,478,201203140HOU,24.1,4.8,4th quarter,2:14.0,Greg Smith,HOU,True,2-pointer,0,107-81,'HOU',leads
798,798,798,201203170LAC,21.7,8.6,2nd quarter,0:40.9,Greg Smith,HOU,False,2-pointer,4,47-37,'HOU',leads
1138,1138,1138,201204260HOU,32.1,6.9,3rd quarter,1:30.0,Greg Smith,HOU,True,2-pointer,8,61-68,'HOU',trails
1143,1143,1143,201204260HOU,29.1,5.7,4th quarter,11:37.0,Greg Smith,HOU,False,2-pointer,5,63-71,'HOU',trails
1152,1152,1152,201204260HOU,28.3,8.3,4th quarter,7:08.0,Greg Smith,HOU,False,2-pointer,5,69-71,'HOU',trails
1153,1153,1153,201204260HOU,26.8,5.0,4th quarter,7:07.0,Greg Smith,HOU,True,2-pointer,3,71-71,'HOU',tied
1156,1156,1156,201204260HOU,24.2,6.4,4th quarter,5:47.0,Greg Smith,HOU,True,2-pointer,1,73-74,'HOU',trails
1165,1165,1165,201204260HOU,24.6,5.7,4th quarter,0:51.6,Greg Smith,HOU,True,2-pointer,1,82-77,'HOU',leads
181,181,181,201210310DET,21.1,9.2,1st quarter,1:01.0,Greg Smith,HOU,True,2-pointer,5,27-19,'HOU',leads
227,227,227,201210310DET,23.6,5.6,4th quarter,10:02.0,Greg Smith,HOU,True,2-pointer,1,77-83,'HOU',trails
