Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
949,949,949,201112280NOH,24.6,7.0,1st quarter,4:06.0,Greg Stiemsma,BOS,False,2-pointer,2,14-13,'NOH',leads
994,994,994,201112280NOH,27.6,5.6,3rd quarter,2:38.0,Greg Stiemsma,BOS,True,2-pointer,4,59-69,'NOH',trails
292,292,292,201112300BOS,21.9,7.0,4th quarter,9:17.0,Greg Stiemsma,BOS,False,2-pointer,3,88-67,'DET',leads
1310,1310,1310,201201010WAS,23.5,5.7,2nd quarter,2:30.0,Greg Stiemsma,BOS,True,2-pointer,1,48-30,'BOS',leads
1313,1313,1313,201201010WAS,24.0,10.2,2nd quarter,0:33.9,Greg Stiemsma,BOS,False,2-pointer,5,49-32,'BOS',leads
1334,1334,1334,201201010WAS,40.5,6.4,4th quarter,10:22.0,Greg Stiemsma,BOS,True,2-pointer,17,75-65,'BOS',leads
1337,1337,1337,201201010WAS,33.4,14.7,4th quarter,8:26.0,Greg Stiemsma,BOS,False,2-pointer,14,80-69,'BOS',leads
84,84,84,201201020BOS,27.7,5.6,1st quarter,11:02.0,Greg Stiemsma,BOS,False,2-pointer,4,0-2,'BOS',trails
85,85,85,201201020BOS,23.6,7.0,1st quarter,10:47.0,Greg Stiemsma,BOS,True,2-pointer,2,2-2,'BOS',tied
94,94,94,201201020BOS,41.7,8.1,1st quarter,7:57.0,Greg Stiemsma,BOS,True,2-pointer,18,16-8,'BOS',leads
129,129,129,201201020BOS,19.2,19.8,3rd quarter,10:56.0,Greg Stiemsma,BOS,False,2-pointer,16,47-50,'BOS',trails
130,130,130,201201020BOS,15.8,5.4,3rd quarter,10:31.0,Greg Stiemsma,BOS,True,2-pointer,8,49-50,'BOS',trails
132,132,132,201201020BOS,45.4,11.3,3rd quarter,9:19.0,Greg Stiemsma,BOS,True,2-pointer,22,54-50,'BOS',leads
134,134,134,201201020BOS,31.7,17.3,3rd quarter,6:59.0,Greg Stiemsma,BOS,True,2-pointer,15,58-58,'BOS',tied
289,289,289,201201180BOS,31.2,20.7,4th quarter,6:28.0,Greg Stiemsma,BOS,True,2-pointer,17,81-61,'TOR',leads
293,293,293,201201180BOS,5.2,8.3,4th quarter,3:51.0,Greg Stiemsma,BOS,False,2-pointer,19,88-64,'TOR',leads
114,114,114,201201230BOS,24.6,5.4,3rd quarter,5:18.0,Greg Stiemsma,BOS,False,2-pointer,1,56-41,'ORL',leads
132,132,132,201201230BOS,27.9,7.6,4th quarter,4:37.0,Greg Stiemsma,BOS,False,2-pointer,5,77-51,'ORL',leads
136,136,136,201201230BOS,24.6,5.3,4th quarter,2:31.0,Greg Stiemsma,BOS,True,2-pointer,1,83-51,'ORL',leads
144,144,144,201201270BOS,9.0,16.6,3rd quarter,1:24.0,Greg Stiemsma,BOS,False,2-pointer,19,69-59,'IND',leads
109,109,109,201201290BOS,24.9,5.0,2nd quarter,5:55.0,Greg Stiemsma,BOS,False,2-pointer,1,33-33,'BOS',tied
142,142,142,201202010BOS,31.2,16.0,4th quarter,3:06.0,Greg Stiemsma,BOS,True,2-pointer,13,96-59,'TOR',leads
143,143,143,201202010BOS,41.7,10.6,4th quarter,2:37.0,Greg Stiemsma,BOS,False,2-pointer,19,96-60,'TOR',leads
150,150,150,201202070BOS,9.9,5.9,4th quarter,0:20.1,Greg Stiemsma,BOS,True,2-pointer,14,94-81,'CHA',leads
99,99,99,201202150BOS,27.4,22.3,2nd quarter,7:00.0,Greg Stiemsma,BOS,False,2-pointer,18,33-35,'DET',trails
129,129,129,201202150BOS,30.7,15.7,3rd quarter,1:03.0,Greg Stiemsma,BOS,False,2-pointer,13,72-69,'DET',leads
198,198,198,201202190DET,23.6,5.4,1st quarter,0:19.9,Greg Stiemsma,BOS,True,2-pointer,1,26-26,'DET',tied
200,200,200,201202190DET,14.3,5.9,2nd quarter,9:10.0,Greg Stiemsma,BOS,False,2-pointer,10,27-30,'DET',trails
252,252,252,201202190DET,24.6,4.7,4th quarter,0:32.0,Greg Stiemsma,BOS,True,2-pointer,1,81-94,'DET',trails
178,178,178,201202200DAL,8.5,6.7,1st quarter,1:45.0,Greg Stiemsma,BOS,False,2-pointer,16,11-17,'DAL',trails
207,207,207,201202200DAL,23.3,4.7,3rd quarter,3:11.0,Greg Stiemsma,BOS,False,2-pointer,1,42-64,'DAL',trails
205,205,205,201202280CLE,25.0,5.3,2nd quarter,5:30.0,Greg Stiemsma,BOS,True,2-pointer,1,39-30,'BOS',leads
272,272,272,201203020BOS,39.4,14.9,1st quarter,1:03.0,Greg Stiemsma,BOS,False,2-pointer,18,29-18,'NJN',leads
292,292,292,201203020BOS,33.7,19.9,2nd quarter,1:35.0,Greg Stiemsma,BOS,False,2-pointer,18,52-34,'NJN',leads
329,329,329,201203020BOS,24.0,7.5,4th quarter,2:36.0,Greg Stiemsma,BOS,False,2-pointer,3,103-84,'NJN',leads
95,95,95,201203060BOS,14.2,14.9,1st quarter,5:48.0,Greg Stiemsma,BOS,True,2-pointer,14,13-12,'HOU',leads
97,97,97,201203060BOS,24.4,23.6,1st quarter,4:17.0,Greg Stiemsma,BOS,False,2-pointer,19,13-14,'HOU',trails
104,104,104,201203060BOS,25.2,4.5,1st quarter,1:20.0,Greg Stiemsma,BOS,True,2-pointer,1,21-24,'HOU',trails
107,107,107,201203060BOS,2.5,10.0,1st quarter,0:00.0,Greg Stiemsma,BOS,False,2-pointer,22,21-28,'HOU',trails
