Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
63,63,63,200010310ATL,24.0,5.0,1st quarter,11:46.0,Hanno Möttölä,ATL,True,2-pointer,0,2-0,'CHH',leads
78,78,78,200010310ATL,23.9,13.0,1st quarter,3:19.0,Hanno Möttölä,ATL,False,2-pointer,8,8-20,'CHH',trails
86,86,86,200010310ATL,24.0,5.0,1st quarter,0:04.8,Hanno Möttölä,ATL,False,2-pointer,0,13-28,'CHH',trails
93,93,93,200010310ATL,19.6,18.5,2nd quarter,8:36.0,Hanno Möttölä,ATL,True,2-pointer,14,23-30,'CHH',trails
104,104,104,200010310ATL,31.7,5.9,2nd quarter,2:25.0,Hanno Möttölä,ATL,True,2-pointer,8,39-46,'CHH',trails
109,109,109,200010310ATL,24.3,27.4,3rd quarter,11:32.0,Hanno Möttölä,ATL,False,2-pointer,22,47-50,'CHH',trails
118,118,118,200010310ATL,18.2,7.6,3rd quarter,5:24.0,Hanno Möttölä,ATL,False,2-pointer,6,59-60,'CHH',trails
124,124,124,200010310ATL,32.3,17.5,4th quarter,11:44.0,Hanno Möttölä,ATL,False,2-pointer,15,62-73,'CHH',trails
128,128,128,200010310ATL,20.3,20.2,4th quarter,9:55.0,Hanno Möttölä,ATL,False,2-pointer,16,64-80,'CHH',trails
137,137,137,200010310ATL,17.5,7.6,4th quarter,5:30.0,Hanno Möttölä,ATL,False,2-pointer,7,72-90,'CHH',trails
633,633,633,200011020NYK,24.0,5.0,1st quarter,11:00.0,Hanno Möttölä,ATL,True,2-pointer,0,2-0,NYK,leads
687,687,687,200011020NYK,24.0,5.0,3rd quarter,5:44.0,Hanno Möttölä,ATL,True,2-pointer,0,52-62,NYK,trails
688,688,688,200011020NYK,26.2,8.0,3rd quarter,4:23.0,Hanno Möttölä,ATL,False,2-pointer,4,52-62,NYK,trails
700,700,700,200011020NYK,33.4,3.7,4th quarter,6:20.0,Hanno Möttölä,ATL,True,2-pointer,9,62-78,NYK,trails
708,708,708,200011020NYK,36.9,5.0,4th quarter,1:00.0,Hanno Möttölä,ATL,False,2-pointer,13,69-92,NYK,trails
77,77,77,200011040ATL,24.0,5.0,1st quarter,9:14.0,Hanno Möttölä,ATL,True,2-pointer,0,7-4,'ORL',leads
82,82,82,200011040ATL,36.5,8.6,1st quarter,6:07.0,Hanno Möttölä,ATL,True,2-pointer,13,11-13,'ORL',trails
85,85,85,200011040ATL,24.0,5.0,1st quarter,2:28.0,Hanno Möttölä,ATL,True,2-pointer,0,16-25,'ORL',trails
121,121,121,200011040ATL,11.0,7.6,3rd quarter,10:35.0,Hanno Möttölä,ATL,True,2-pointer,13,54-63,'ORL',trails
670,670,670,200011060VAN,7.8,5.0,1st quarter,5:03.0,Hanno Möttölä,ATL,False,2-pointer,16,14-6,'VAN',leads
678,678,678,200011060VAN,38.2,17.7,1st quarter,1:17.0,Hanno Möttölä,ATL,False,2-pointer,19,18-18,'VAN',tied
