Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1679,1679,1679,201610260TOR,14.6,16.4,4th quarter,1:37.0,Henry Ellenson,DET,False,2-pointer,16,89-109,'TOR',trails
519,519,519,201610280DET,39.3,10.0,4th quarter,1:32.0,Henry Ellenson,DET,True,2-pointer,17,108-74,'DET',leads
179,179,179,201611140DET,15.9,7.1,4th quarter,0:25.0,Henry Ellenson,DET,False,2-pointer,9,104-88,'DET',leads
1101,1101,1101,201612090MIN,25.4,28.2,4th quarter,3:53.0,Henry Ellenson,DET,True,3-pointer,25,113-80,'DET',leads
1102,1102,1102,201612090MIN,1.8,3.7,4th quarter,1:38.0,Henry Ellenson,DET,False,3-pointer,22,115-85,'DET',leads
1104,1104,1104,201612090MIN,12.1,24.3,4th quarter,0:55.0,Henry Ellenson,DET,False,3-pointer,24,117-88,'DET',leads
680,680,680,201612170DET,2.0,17.4,4th quarter,2:03.0,Henry Ellenson,DET,True,3-pointer,26,85-101,'IND',trails
681,681,681,201612170DET,4.8,21.0,4th quarter,1:42.0,Henry Ellenson,DET,True,3-pointer,26,88-101,'IND',trails
70,70,70,201612190CHI,38.0,24.8,4th quarter,6:27.0,Henry Ellenson,DET,False,3-pointer,25,72-106,'DET',trails
74,74,74,201612190CHI,3.6,16.4,4th quarter,3:30.0,Henry Ellenson,DET,False,3-pointer,24,78-111,'DET',trails
81,81,81,201612190CHI,14.6,26.2,4th quarter,0:39.0,Henry Ellenson,DET,False,3-pointer,25,82-113,'DET',trails
498,498,498,201612260DET,8.2,15.9,4th quarter,2:08.0,Henry Ellenson,DET,False,2-pointer,20,103-84,'DET',leads
503,503,503,201612260DET,6.6,5.6,4th quarter,0:03.0,Henry Ellenson,DET,False,2-pointer,18,106-90,'DET',leads
710,710,710,201612280DET,-0.5,5.1,4th quarter,3:50.0,Henry Ellenson,DET,False,3-pointer,24,89-113,'DET',trails
717,717,717,201701100SAC,22.4,3.8,2nd quarter,10:36.0,Henry Ellenson,DET,True,2-pointer,2,33-23,'SAC',leads
723,723,723,201701100SAC,8.9,23.0,2nd quarter,7:31.0,Henry Ellenson,DET,False,3-pointer,25,39-30,'SAC',leads
734,734,734,201701100SAC,47.6,8.7,2nd quarter,0:01.0,Henry Ellenson,DET,False,3-pointer,24,56-43,'SAC',leads
454,454,454,201701120GSW,42.7,21.5,4th quarter,1:17.0,Henry Ellenson,DET,True,3-pointer,26,105-125,'DET',trails
1413,1413,1413,201701130UTA,23.1,3.2,4th quarter,3:13.0,Henry Ellenson,DET,True,2-pointer,1,74-103,'UTA',trails
1414,1414,1414,201701130UTA,46.8,14.5,4th quarter,2:11.0,Henry Ellenson,DET,False,3-pointer,26,75-105,'UTA',trails
1416,1416,1416,201701130UTA,21.3,15.4,4th quarter,1:15.0,Henry Ellenson,DET,False,2-pointer,13,77-108,'UTA',trails
1417,1417,1417,201701130UTA,22.1,27.7,4th quarter,0:49.0,Henry Ellenson,DET,False,3-pointer,25,77-108,'UTA',trails
530,530,530,201701180DET,23.8,3.2,4th quarter,0:33.0,Henry Ellenson,DET,True,2-pointer,0,118-93,'DET',leads
531,531,531,201704070HOU,40.1,17.1,1st quarter,10:39.0,Henry Ellenson,DET,False,2-pointer,21,2-3,'HOU',trails
533,533,533,201704070HOU,9.3,23.3,1st quarter,9:33.0,Henry Ellenson,DET,False,3-pointer,25,2-7,'HOU',trails
538,538,538,201704070HOU,24.7,4.8,1st quarter,7:20.0,Henry Ellenson,DET,True,2-pointer,1,10-15,'HOU',trails
541,541,541,201704070HOU,3.5,4.6,1st quarter,5:56.0,Henry Ellenson,DET,True,2-pointer,20,12-19,'HOU',trails
543,543,543,201704070HOU,23.9,3.2,1st quarter,5:06.0,Henry Ellenson,DET,False,2-pointer,0,12-19,'HOU',trails
572,572,572,201704070HOU,5.7,6.1,2nd quarter,4:13.0,Henry Ellenson,DET,True,2-pointer,18,48-43,'HOU',leads
573,573,573,201704070HOU,28.2,14.6,2nd quarter,3:48.0,Henry Ellenson,DET,False,2-pointer,12,48-45,'HOU',leads
577,577,577,201704070HOU,18.2,27.4,2nd quarter,2:15.0,Henry Ellenson,DET,False,3-pointer,25,48-52,'HOU',trails
580,580,580,201704070HOU,22.0,2.9,2nd quarter,0:39.0,Henry Ellenson,DET,True,2-pointer,2,52-54,'HOU',trails
581,581,581,201704070HOU,48.0,6.6,2nd quarter,0:05.0,Henry Ellenson,DET,False,3-pointer,24,52-54,'HOU',trails
590,590,590,201704070HOU,2.3,17.4,3rd quarter,8:27.0,Henry Ellenson,DET,False,3-pointer,26,58-63,'HOU',trails
591,591,591,201704070HOU,10.5,24.3,3rd quarter,8:14.0,Henry Ellenson,DET,True,3-pointer,25,61-63,'HOU',trails
597,597,597,201704070HOU,6.4,21.5,3rd quarter,5:48.0,Henry Ellenson,DET,False,3-pointer,25,61-69,'HOU',trails
625,625,625,201704070HOU,27.0,26.9,4th quarter,5:24.0,Henry Ellenson,DET,False,3-pointer,24,93-97,'HOU',trails
631,631,631,201704070HOU,23.1,4.3,4th quarter,2:47.0,Henry Ellenson,DET,True,2-pointer,1,101-102,'HOU',trails
632,632,632,201704070HOU,11.0,24.8,4th quarter,2:10.0,Henry Ellenson,DET,False,3-pointer,25,101-105,'HOU',trails
554,554,554,201704090MEM,29.0,9.1,1st quarter,2:59.0,Henry Ellenson,DET,False,2-pointer,7,22-22,'DET',tied
561,561,561,201704090MEM,0.7,3.7,2nd quarter,11:38.0,Henry Ellenson,DET,False,3-pointer,23,24-28,'DET',trails
593,593,593,201704090MEM,42.7,19.9,3rd quarter,4:49.0,Henry Ellenson,DET,False,3-pointer,25,60-65,'DET',trails
598,598,598,201704090MEM,33.9,27.2,3rd quarter,1:08.0,Henry Ellenson,DET,False,3-pointer,26,67-65,'DET',leads
600,600,600,201704090MEM,1.8,15.0,3rd quarter,0:04.0,Henry Ellenson,DET,True,3-pointer,25,75-67,'DET',leads
602,602,602,201704090MEM,25.7,3.2,4th quarter,10:55.0,Henry Ellenson,DET,False,2-pointer,1,77-69,'DET',leads
603,603,603,201704090MEM,24.4,4.3,4th quarter,10:51.0,Henry Ellenson,DET,False,2-pointer,1,77-69,'DET',leads
604,604,604,201704090MEM,23.6,4.6,4th quarter,10:49.0,Henry Ellenson,DET,False,2-pointer,1,77-69,'DET',leads
611,611,611,201704090MEM,45.0,16.4,4th quarter,5:06.0,Henry Ellenson,DET,True,3-pointer,24,91-82,'DET',leads
612,612,612,201704090MEM,15.7,26.7,4th quarter,4:09.0,Henry Ellenson,DET,True,3-pointer,25,94-84,'DET',leads
618,618,618,201704090MEM,38.1,5.3,4th quarter,0:23.0,Henry Ellenson,DET,False,2-pointer,14,101-90,'DET',leads
