Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
300,300,300,200011010CHH,3.4,9.2,4th quarter,4:08.0,Hersey Hawkins,CHH,True,2-pointer,21,68-86,'CHH',trails
1579,1579,1579,200011040NJN,27.0,28.2,1st quarter,1:49.0,Hersey Hawkins,CHH,True,2-pointer,23,20-28,'CHH',trails
1611,1611,1611,200011040NJN,1.1,5.0,3rd quarter,4:33.0,Hersey Hawkins,CHH,False,3-pointer,23,60-62,'CHH',trails
1615,1615,1615,200011040NJN,22.2,14.3,3rd quarter,2:58.0,Hersey Hawkins,CHH,False,2-pointer,9,62-66,'CHH',trails
993,993,993,200011080ORL,14.6,29.1,2nd quarter,11:11.0,Hersey Hawkins,CHH,False,3-pointer,26,23-27,'CHH',trails
1025,1025,1025,200011080ORL,24.0,5.0,3rd quarter,5:01.0,Hersey Hawkins,CHH,False,2-pointer,0,64-52,'CHH',leads
95,95,95,200011090CHH,7.0,11.3,1st quarter,3:00.0,Hersey Hawkins,CHH,True,2-pointer,18,21-18,'CHH',leads
96,96,96,200011090CHH,29.1,29.5,1st quarter,1:54.0,Hersey Hawkins,CHH,True,3-pointer,25,25-20,'CHH',leads
123,123,123,200011090CHH,24.0,5.0,3rd quarter,7:08.0,Hersey Hawkins,CHH,True,2-pointer,0,57-65,'CHH',trails
132,132,132,200011090CHH,42.0,24.0,3rd quarter,0:30.3,Hersey Hawkins,CHH,False,3-pointer,26,68-81,'CHH',trails
145,145,145,200011090CHH,24.0,5.0,4th quarter,6:35.0,Hersey Hawkins,CHH,False,2-pointer,0,81-85,'CHH',trails
149,149,149,200011090CHH,24.0,5.0,4th quarter,3:28.0,Hersey Hawkins,CHH,True,2-pointer,0,87-92,'CHH',trails
153,153,153,200011090CHH,7.0,10.3,4th quarter,2:01.0,Hersey Hawkins,CHH,True,2-pointer,18,89-94,'CHH',trails
680,680,680,200011140MIA,24.0,5.0,2nd quarter,1:09.0,Hersey Hawkins,CHH,False,2-pointer,0,39-52,'CHH',trails
