Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1413,1413,1413,200412040NOH,39.8,19.8,1st quarter,0:01.2,Horace Jenkins,DET,False,2-pointer,22,32-20,'NOH',leads
1416,1416,1416,200412040NOH,24.0,5.0,2nd quarter,10:17.0,Horace Jenkins,DET,False,2-pointer,0,33-22,'NOH',leads
1419,1419,1419,200412040NOH,24.0,5.0,2nd quarter,7:41.0,Horace Jenkins,DET,True,2-pointer,0,38-26,'NOH',leads
1420,1420,1420,200412040NOH,24.0,5.0,2nd quarter,7:16.0,Horace Jenkins,DET,True,2-pointer,0,40-26,'NOH',leads
1424,1424,1424,200412040NOH,37.6,25.1,2nd quarter,4:54.0,Horace Jenkins,DET,False,3-pointer,24,45-30,'NOH',leads
1447,1447,1447,200412040NOH,10.4,19.0,3rd quarter,0:40.5,Horace Jenkins,DET,False,2-pointer,20,72-53,'NOH',leads
1461,1461,1461,200412040NOH,24.0,5.0,4th quarter,1:46.0,Horace Jenkins,DET,True,2-pointer,0,90-67,'NOH',leads
341,341,341,200412060DAL,33.4,9.6,2nd quarter,10:27.0,Horace Jenkins,DET,False,2-pointer,10,27-22,'DAL',leads
343,343,343,200412060DAL,24.0,5.0,2nd quarter,9:50.0,Horace Jenkins,DET,False,2-pointer,0,27-22,'DAL',leads
247,247,247,200412100DET,15.0,30.2,2nd quarter,10:38.0,Horace Jenkins,DET,False,3-pointer,27,22-36,'DET',trails
248,248,248,200412100DET,43.0,13.4,2nd quarter,9:56.0,Horace Jenkins,DET,True,2-pointer,21,26-39,'DET',trails
250,250,250,200412100DET,38.9,18.7,2nd quarter,8:50.0,Horace Jenkins,DET,False,2-pointer,20,26-41,'DET',trails
280,280,280,200412100DET,24.0,5.0,3rd quarter,1:08.0,Horace Jenkins,DET,True,2-pointer,0,53-71,'DET',trails
281,281,281,200412100DET,27.9,29.8,3rd quarter,0:35.9,Horace Jenkins,DET,False,3-pointer,25,53-71,'DET',trails
286,286,286,200412100DET,24.0,5.0,4th quarter,8:46.0,Horace Jenkins,DET,False,2-pointer,0,56-76,'DET',trails
292,292,292,200412100DET,24.0,5.0,4th quarter,3:19.0,Horace Jenkins,DET,False,2-pointer,0,63-86,'DET',trails
293,293,293,200412100DET,20.9,22.3,4th quarter,2:45.0,Horace Jenkins,DET,True,2-pointer,18,65-86,'DET',trails
298,298,298,200412100DET,9.4,14.7,4th quarter,0:35.9,Horace Jenkins,DET,False,2-pointer,18,70-88,'DET',trails
99,99,99,200412270DET,6.3,4.9,2nd quarter,9:55.0,Horace Jenkins,DET,False,2-pointer,18,24-25,'NJN',trails
102,102,102,200412270DET,24.0,5.0,2nd quarter,8:26.0,Horace Jenkins,DET,True,2-pointer,0,28-27,'NJN',leads
690,690,690,200502050NJN,16.5,5.3,4th quarter,2:17.0,Horace Jenkins,DET,False,2-pointer,8,79-99,'NJN',trails
691,691,691,200502050NJN,36.3,16.8,4th quarter,1:54.0,Horace Jenkins,DET,True,2-pointer,17,81-101,'NJN',trails
169,169,169,200502100DET,24.0,5.0,4th quarter,3:48.0,Horace Jenkins,DET,True,2-pointer,0,97-74,'LAL',leads
171,171,171,200502100DET,0.2,5.8,4th quarter,2:14.0,Horace Jenkins,DET,False,3-pointer,24,97-80,'LAL',leads
173,173,173,200502100DET,24.0,5.0,4th quarter,1:29.0,Horace Jenkins,DET,True,2-pointer,0,99-80,'LAL',leads
174,174,174,200502100DET,24.0,5.0,4th quarter,1:00.0,Horace Jenkins,DET,True,2-pointer,0,101-81,'LAL',leads
161,161,161,200502120DET,24.0,5.0,4th quarter,4:08.0,Horace Jenkins,DET,False,2-pointer,0,100-80,'DET',leads
