Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
269,269,269,202110250BRK,46.6,1.8,4th quarter,2:31.0,Isaiah Todd,WAS,True,3-pointer,23,88-102,'WAS',trails
270,270,270,202110250BRK,40.1,22.8,4th quarter,2:04.0,Isaiah Todd,WAS,False,3-pointer,25,88-102,'WAS',trails
424,424,424,202111170CHO,22.2,4.4,4th quarter,1:14.0,Isaiah Todd,WAS,False,2-pointer,2,84-97,'CHO',trails
597,597,597,202111180MIA,0.2,9.0,4th quarter,0:43.0,Isaiah Todd,WAS,True,3-pointer,25,97-110,'MIA',trails
598,598,598,202111180MIA,23.6,14.1,4th quarter,0:10.0,Isaiah Todd,WAS,False,2-pointer,11,97-112,'MIA',trails
604,604,604,202112050TOR,23.2,4.9,4th quarter,0:14.0,Isaiah Todd,WAS,False,2-pointer,2,90-102,'TOR',trails
1205,1205,1205,202112110WAS,0.6,3.0,4th quarter,2:20.0,Isaiah Todd,WAS,True,3-pointer,23,95-113,'UTA',trails
1207,1207,1207,202112110WAS,6.1,22.8,4th quarter,1:15.0,Isaiah Todd,WAS,False,3-pointer,27,95-118,'UTA',trails
1208,1208,1208,202112110WAS,0.8,1.8,4th quarter,0:50.0,Isaiah Todd,WAS,True,3-pointer,23,98-120,'UTA',trails
1209,1209,1209,202112110WAS,9.4,27.8,4th quarter,0:25.0,Isaiah Todd,WAS,False,3-pointer,29,98-123,'UTA',trails
344,344,344,202112280MIA,0.2,2.9,1st quarter,3:05.0,Isaiah Todd,WAS,False,3-pointer,24,21-26,'MIA',trails
388,388,388,202112280MIA,46.8,4.2,3rd quarter,2:10.0,Isaiah Todd,WAS,False,3-pointer,23,66-87,'MIA',trails
528,528,528,202112300WAS,46.7,6.4,4th quarter,1:52.0,Isaiah Todd,WAS,False,3-pointer,23,109-91,'WAS',leads
529,529,529,202112300WAS,8.7,7.2,4th quarter,1:16.0,Isaiah Todd,WAS,False,2-pointer,16,110-91,'WAS',leads
268,268,268,202201070CHI,24.1,3.3,4th quarter,2:45.0,Isaiah Todd,WAS,True,2-pointer,0,113-130,'CHI',trails
543,543,543,202202160IND,48.0,6.8,1st quarter,1:59.0,Isaiah Todd,WAS,False,3-pointer,24,21-19,'IND',leads
544,544,544,202202160IND,27.0,11.3,1st quarter,1:28.0,Isaiah Todd,WAS,False,2-pointer,9,21-22,'IND',trails
