Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
763,763,763,201610290MIL,24.1,3.2,3rd quarter,1:08.0,Isaiah Whitehead,BRK,True,2-pointer,0,69-76,'MIL',trails
257,257,257,201610310BRK,40.3,4.3,1st quarter,3:56.0,Isaiah Whitehead,BRK,False,2-pointer,16,13-26,'CHI',trails
259,259,259,201610310BRK,18.7,7.1,1st quarter,2:48.0,Isaiah Whitehead,BRK,False,2-pointer,7,15-28,'CHI',trails
261,261,261,201610310BRK,28.8,4.3,1st quarter,1:38.0,Isaiah Whitehead,BRK,False,2-pointer,5,15-32,'CHI',trails
302,302,302,201610310BRK,8.9,23.3,3rd quarter,5:21.0,Isaiah Whitehead,BRK,False,3-pointer,25,55-79,'CHI',trails
303,303,303,201610310BRK,46.7,15.4,3rd quarter,5:00.0,Isaiah Whitehead,BRK,False,3-pointer,26,55-79,'CHI',trails
307,307,307,201610310BRK,21.6,4.3,3rd quarter,3:43.0,Isaiah Whitehead,BRK,False,2-pointer,3,58-84,'CHI',trails
308,308,308,201610310BRK,24.6,4.8,3rd quarter,3:41.0,Isaiah Whitehead,BRK,True,2-pointer,2,60-84,'CHI',trails
314,314,314,201610310BRK,26.5,2.9,3rd quarter,1:35.0,Isaiah Whitehead,BRK,True,2-pointer,3,64-90,'CHI',trails
326,326,326,201610310BRK,25.9,3.6,4th quarter,7:32.0,Isaiah Whitehead,BRK,False,2-pointer,2,75-100,'CHI',trails
334,334,334,201610310BRK,24.4,4.6,4th quarter,3:06.0,Isaiah Whitehead,BRK,True,2-pointer,2,84-112,'CHI',trails
338,338,338,201610310BRK,26.0,8.2,4th quarter,0:31.0,Isaiah Whitehead,BRK,False,2-pointer,6,86-116,'CHI',trails
457,457,457,201611020BRK,26.0,3.7,2nd quarter,5:12.0,Isaiah Whitehead,BRK,False,2-pointer,2,57-47,'DET',leads
463,463,463,201611020BRK,24.9,21.0,2nd quarter,1:54.0,Isaiah Whitehead,BRK,True,2-pointer,18,66-55,'DET',leads
472,472,472,201611020BRK,29.5,15.6,3rd quarter,8:23.0,Isaiah Whitehead,BRK,False,2-pointer,13,78-64,'DET',leads
476,476,476,201611020BRK,40.9,21.8,3rd quarter,7:07.0,Isaiah Whitehead,BRK,True,3-pointer,25,81-69,'DET',leads
484,484,484,201611020BRK,28.2,2.4,3rd quarter,1:47.0,Isaiah Whitehead,BRK,False,2-pointer,4,92-77,'DET',leads
92,92,92,201611040BRK,25.9,3.2,1st quarter,7:26.0,Isaiah Whitehead,BRK,True,2-pointer,1,15-8,'CHO',leads
95,95,95,201611040BRK,11.3,25.9,1st quarter,5:57.0,Isaiah Whitehead,BRK,False,3-pointer,26,19-8,'CHO',leads
106,106,106,201611040BRK,5.7,19.0,1st quarter,0:22.0,Isaiah Whitehead,BRK,False,3-pointer,24,23-22,'CHO',leads
107,107,107,201611040BRK,39.3,30.2,1st quarter,0:01.0,Isaiah Whitehead,BRK,False,3-pointer,31,23-23,'CHO',tied
109,109,109,201611040BRK,27.0,3.3,2nd quarter,11:15.0,Isaiah Whitehead,BRK,True,2-pointer,3,25-23,'CHO',leads
129,129,129,201611040BRK,22.3,3.2,3rd quarter,10:56.0,Isaiah Whitehead,BRK,True,2-pointer,1,54-43,'CHO',leads
131,131,131,201611040BRK,17.9,20.8,3rd quarter,9:11.0,Isaiah Whitehead,BRK,False,2-pointer,18,56-50,'CHO',leads
134,134,134,201611040BRK,27.0,3.7,3rd quarter,8:09.0,Isaiah Whitehead,BRK,True,2-pointer,3,58-52,'CHO',leads
138,138,138,201611040BRK,22.3,2.9,3rd quarter,5:56.0,Isaiah Whitehead,BRK,False,2-pointer,1,58-57,'CHO',leads
99,99,99,201611080BRK,41.6,3.0,1st quarter,8:02.0,Isaiah Whitehead,BRK,True,2-pointer,18,15-8,'MIN',leads
114,114,114,201611080BRK,35.7,15.9,2nd quarter,8:39.0,Isaiah Whitehead,BRK,False,2-pointer,17,41-38,'MIN',leads
134,134,134,201611080BRK,17.2,27.2,3rd quarter,8:08.0,Isaiah Whitehead,BRK,False,3-pointer,25,74-72,'MIN',leads
148,148,148,201611080BRK,22.3,3.2,4th quarter,11:35.0,Isaiah Whitehead,BRK,True,2-pointer,2,90-86,'MIN',leads
149,149,149,201611080BRK,26.2,3.7,4th quarter,10:25.0,Isaiah Whitehead,BRK,False,2-pointer,2,90-89,'MIN',leads
212,212,212,201611150LAL,22.5,4.8,2nd quarter,7:37.0,Isaiah Whitehead,BRK,True,2-pointer,2,34-38,'LAL',trails
218,218,218,201611150LAL,9.1,5.1,2nd quarter,5:12.0,Isaiah Whitehead,BRK,False,2-pointer,15,43-41,'LAL',leads
261,261,261,201611150LAL,8.0,25.7,4th quarter,7:50.0,Isaiah Whitehead,BRK,False,3-pointer,28,92-101,'LAL',trails
263,263,263,201611150LAL,24.1,3.8,4th quarter,6:34.0,Isaiah Whitehead,BRK,True,2-pointer,1,96-104,'LAL',trails
1366,1366,1366,201611180OKC,46.0,13.0,1st quarter,3:26.0,Isaiah Whitehead,BRK,False,3-pointer,24,25-28,'OKC',trails
1408,1408,1408,201611180OKC,30.9,27.4,3rd quarter,3:52.0,Isaiah Whitehead,BRK,False,3-pointer,25,74-80,'OKC',trails
1409,1409,1409,201611180OKC,26.4,8.1,3rd quarter,3:19.0,Isaiah Whitehead,BRK,True,2-pointer,6,76-82,'OKC',trails
1410,1410,1410,201611180OKC,38.0,14.5,3rd quarter,2:52.0,Isaiah Whitehead,BRK,True,2-pointer,18,78-82,'OKC',trails
1412,1412,1412,201611180OKC,33.1,4.1,3rd quarter,0:56.0,Isaiah Whitehead,BRK,False,2-pointer,9,82-91,'OKC',trails
1434,1434,1434,201611180OKC,28.2,7.7,4th quarter,0:49.0,Isaiah Whitehead,BRK,False,2-pointer,6,105-122,'OKC',trails
90,90,90,201611200BRK,24.6,3.8,1st quarter,9:26.0,Isaiah Whitehead,BRK,False,2-pointer,1,7-7,'POR',tied
93,93,93,201611200BRK,3.9,17.1,1st quarter,8:11.0,Isaiah Whitehead,BRK,True,3-pointer,25,12-10,'POR',leads
126,126,126,201611200BRK,26.8,3.0,2nd quarter,1:30.0,Isaiah Whitehead,BRK,False,2-pointer,3,62-66,'POR',trails
130,130,130,201611200BRK,25.7,22.5,2nd quarter,0:26.0,Isaiah Whitehead,BRK,False,2-pointer,20,64-68,'POR',trails
162,162,162,201611200BRK,22.3,2.9,4th quarter,7:56.0,Isaiah Whitehead,BRK,False,2-pointer,2,88-110,'POR',trails
165,165,165,201611200BRK,1.7,0.9,4th quarter,6:25.0,Isaiah Whitehead,BRK,False,3-pointer,22,93-114,'POR',trails
169,169,169,201611200BRK,39.5,22.5,4th quarter,4:31.0,Isaiah Whitehead,BRK,False,3-pointer,25,95-118,'POR',trails
171,171,171,201611200BRK,27.2,9.1,4th quarter,4:01.0,Isaiah Whitehead,BRK,True,2-pointer,7,97-118,'POR',trails
172,172,172,201611200BRK,24.0,-5.0,4th quarter,1:50.0,Isaiah Whitehead,BRK,False,2-pointer,8,103-123,'POR',trails
97,97,97,201611230BRK,27.5,8.7,1st quarter,11:48.0,Isaiah Whitehead,BRK,False,2-pointer,7,0-0,'BOS',tied
105,105,105,201611230BRK,35.7,8.6,1st quarter,8:11.0,Isaiah Whitehead,BRK,True,2-pointer,13,4-11,'BOS',trails
133,133,133,201611230BRK,25.0,5.1,2nd quarter,4:15.0,Isaiah Whitehead,BRK,False,2-pointer,2,32-41,'BOS',trails
136,136,136,201611230BRK,26.7,3.7,2nd quarter,2:42.0,Isaiah Whitehead,BRK,False,2-pointer,3,39-43,'BOS',trails
139,139,139,201611230BRK,25.7,3.3,2nd quarter,0:53.0,Isaiah Whitehead,BRK,False,2-pointer,2,43-48,'BOS',trails
146,146,146,201611230BRK,25.9,21.3,3rd quarter,8:31.0,Isaiah Whitehead,BRK,False,2-pointer,18,54-60,'BOS',trails
152,152,152,201611230BRK,22.3,3.2,3rd quarter,5:20.0,Isaiah Whitehead,BRK,False,2-pointer,2,60-63,'BOS',trails
164,164,164,201611230BRK,24.1,11.5,4th quarter,11:46.0,Isaiah Whitehead,BRK,True,2-pointer,9,68-79,'BOS',trails
711,711,711,201611250IND,21.8,3.3,1st quarter,8:39.0,Isaiah Whitehead,BRK,True,2-pointer,2,10-6,'IND',leads
738,738,738,201611250IND,47.3,5.6,2nd quarter,1:43.0,Isaiah Whitehead,BRK,False,3-pointer,23,39-56,'IND',trails
746,746,746,201611250IND,11.3,25.3,3rd quarter,9:52.0,Isaiah Whitehead,BRK,False,3-pointer,26,45-64,'IND',trails
765,765,765,201611250IND,33.7,15.1,4th quarter,8:56.0,Isaiah Whitehead,BRK,False,2-pointer,16,72-100,'IND',trails
771,771,771,201611250IND,23.3,3.8,4th quarter,5:09.0,Isaiah Whitehead,BRK,False,2-pointer,1,81-107,'IND',trails
89,89,89,201611270BRK,28.5,5.3,1st quarter,10:00.0,Isaiah Whitehead,BRK,True,2-pointer,5,4-6,'SAC',trails
98,98,98,201611270BRK,29.1,8.2,1st quarter,5:13.0,Isaiah Whitehead,BRK,False,2-pointer,7,17-11,'SAC',leads
140,140,140,201611270BRK,25.2,7.6,3rd quarter,7:01.0,Isaiah Whitehead,BRK,True,2-pointer,4,67-71,'SAC',trails
168,168,168,201611270BRK,47.8,1.4,4th quarter,1:43.0,Isaiah Whitehead,BRK,True,3-pointer,24,102-118,'SAC',trails
169,169,169,201611270BRK,35.4,19.0,4th quarter,1:17.0,Isaiah Whitehead,BRK,False,2-pointer,20,102-118,'SAC',trails
170,170,170,201611270BRK,47.3,5.1,4th quarter,0:56.0,Isaiah Whitehead,BRK,True,3-pointer,23,105-120,'SAC',trails
116,116,116,201611290BRK,33.7,25.8,1st quarter,8:13.0,Isaiah Whitehead,BRK,True,3-pointer,25,6-7,'BRK',trails
123,123,123,201611290BRK,22.5,4.5,1st quarter,3:52.0,Isaiah Whitehead,BRK,False,2-pointer,2,11-19,'BRK',trails
