Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1734,1734,1734,202012230PHO,35.0,5.5,2nd quarter,9:46.0,Jalen Smith,PHO,True,2-pointer,11,25-24,'DAL',leads
1739,1739,1739,202012230PHO,24.4,3.4,2nd quarter,5:45.0,Jalen Smith,PHO,True,2-pointer,0,35-32,'DAL',leads
1764,1764,1764,202012230PHO,21.7,5.2,3rd quarter,1:17.0,Jalen Smith,PHO,False,2-pointer,3,71-67,'DAL',leads
1117,1117,1117,202012260SAC,24.0,3.3,1st quarter,3:00.0,Jalen Smith,PHO,False,2-pointer,0,17-23,'SAC',trails
1124,1124,1124,202012260SAC,47.2,3.6,1st quarter,0:12.0,Jalen Smith,PHO,False,3-pointer,23,25-31,'SAC',trails
964,964,964,202101230PHO,47.6,9.6,1st quarter,2:00.0,Jalen Smith,PHO,True,3-pointer,24,23-26,'PHO',trails
968,968,968,202101230PHO,24.0,3.3,1st quarter,0:00.0,Jalen Smith,PHO,True,2-pointer,0,30-28,'PHO',leads
1005,1005,1005,202101230PHO,46.3,10.8,3rd quarter,2:41.0,Jalen Smith,PHO,False,3-pointer,24,72-68,'PHO',leads
1523,1523,1523,202101270PHO,47.0,5.4,1st quarter,1:55.0,Jalen Smith,PHO,True,3-pointer,23,32-17,'PHO',leads
1525,1525,1525,202101270PHO,22.7,3.3,1st quarter,0:53.0,Jalen Smith,PHO,False,2-pointer,1,32-17,'PHO',leads
1526,1526,1526,202101270PHO,47.1,1.1,1st quarter,0:27.0,Jalen Smith,PHO,False,3-pointer,23,32-17,'PHO',leads
1527,1527,1527,202101270PHO,25.2,4.3,1st quarter,0:23.0,Jalen Smith,PHO,False,2-pointer,2,32-17,'PHO',leads
712,712,712,202101280PHO,23.4,4.6,4th quarter,3:51.0,Jalen Smith,PHO,True,2-pointer,1,112-86,'PHO',leads
717,717,717,202101280PHO,30.3,11.0,4th quarter,1:17.0,Jalen Smith,PHO,False,2-pointer,10,114-91,'PHO',leads
1134,1134,1134,202102030NOP,43.7,18.0,4th quarter,5:18.0,Jalen Smith,PHO,False,3-pointer,25,85-110,'NOP',trails
1136,1136,1136,202102030NOP,28.4,3.3,4th quarter,3:34.0,Jalen Smith,PHO,False,2-pointer,4,89-114,'NOP',trails
1598,1598,1598,202102050PHO,11.3,25.2,4th quarter,1:26.0,Jalen Smith,PHO,False,3-pointer,25,109-89,'PHO',leads
1118,1118,1118,202102280MIN,19.9,28.3,4th quarter,2:15.0,Jalen Smith,PHO,False,3-pointer,25,113-92,'PHO',leads
1026,1026,1026,202103040PHO,21.7,3.8,4th quarter,0:49.0,Jalen Smith,PHO,True,2-pointer,2,120-95,'PHO',leads
1187,1187,1187,202103150PHO,22.0,4.9,4th quarter,3:15.0,Jalen Smith,PHO,True,2-pointer,3,117-96,'PHO',leads
1551,1551,1551,202103210PHO,23.3,30.5,4th quarter,0:43.0,Jalen Smith,PHO,False,3-pointer,27,111-93,'LAL',leads
1049,1049,1049,202104020PHO,12.2,5.4,4th quarter,5:20.0,Jalen Smith,PHO,False,2-pointer,12,121-91,'PHO',leads
1050,1050,1050,202104020PHO,26.2,28.7,4th quarter,4:19.0,Jalen Smith,PHO,False,3-pointer,26,122-93,'PHO',leads
1052,1052,1052,202104020PHO,30.8,5.7,4th quarter,3:35.0,Jalen Smith,PHO,False,2-pointer,7,124-93,'PHO',leads
1058,1058,1058,202104020PHO,24.3,8.1,4th quarter,0:20.0,Jalen Smith,PHO,True,2-pointer,5,140-103,'PHO',leads
266,266,266,202104080LAC,23.2,4.1,4th quarter,0:18.0,Jalen Smith,PHO,True,2-pointer,1,103-113,'PHO',trails
879,879,879,202104100PHO,39.1,5.4,4th quarter,1:29.0,Jalen Smith,PHO,False,2-pointer,15,131-102,'PHO',leads
893,893,893,202104170PHO,7.7,26.9,4th quarter,4:09.0,Jalen Smith,PHO,False,3-pointer,29,80-107,'SAS',trails
896,896,896,202104170PHO,22.0,6.5,4th quarter,1:09.0,Jalen Smith,PHO,True,2-pointer,4,82-111,'SAS',trails
258,258,258,202104250BRK,11.6,9.3,4th quarter,0:12.0,Jalen Smith,PHO,False,2-pointer,14,117-128,'PHO',trails
1442,1442,1442,202104300PHO,3.0,19.3,4th quarter,1:50.0,Jalen Smith,PHO,True,3-pointer,26,117-92,'UTA',leads
1444,1444,1444,202104300PHO,25.3,3.1,4th quarter,0:48.0,Jalen Smith,PHO,True,2-pointer,1,119-98,'UTA',leads
1445,1445,1445,202104300PHO,26.5,4.6,4th quarter,0:16.0,Jalen Smith,PHO,True,2-pointer,3,121-100,'UTA',leads
78,78,78,202105050ATL,24.1,3.7,4th quarter,0:18.0,Jalen Smith,PHO,True,2-pointer,0,103-135,'PHO',trails
998,998,998,202105150SAS,24.0,3.3,4th quarter,7:18.0,Jalen Smith,PHO,True,2-pointer,0,124-83,'SAS',leads
1004,1004,1004,202105150SAS,24.2,4.2,4th quarter,4:05.0,Jalen Smith,PHO,True,2-pointer,1,130-91,'SAS',leads
1005,1005,1005,202105150SAS,33.3,27.3,4th quarter,3:39.0,Jalen Smith,PHO,False,3-pointer,26,130-91,'SAS',leads
1007,1007,1007,202105150SAS,19.2,2.7,4th quarter,2:27.0,Jalen Smith,PHO,False,2-pointer,5,132-93,'SAS',leads
1009,1009,1009,202105150SAS,26.3,13.2,4th quarter,1:28.0,Jalen Smith,PHO,False,2-pointer,10,135-96,'SAS',leads
2120,2120,2120,202105160SAS,23.7,4.3,1st quarter,10:47.0,Jalen Smith,PHO,True,2-pointer,1,4-3,'SAS',leads
2128,2128,2128,202105160SAS,46.8,1.0,1st quarter,6:50.0,Jalen Smith,PHO,True,3-pointer,23,16-7,'SAS',leads
2131,2131,2131,202105160SAS,25.3,3.4,1st quarter,5:34.0,Jalen Smith,PHO,False,2-pointer,1,19-10,'SAS',leads
2137,2137,2137,202105160SAS,39.3,22.6,1st quarter,3:00.0,Jalen Smith,PHO,False,3-pointer,25,21-14,'SAS',leads
2162,2162,2162,202105160SAS,26.4,3.6,2nd quarter,1:16.0,Jalen Smith,PHO,False,2-pointer,2,49-57,'SAS',trails
2173,2173,2173,202105160SAS,22.1,3.6,3rd quarter,8:40.0,Jalen Smith,PHO,False,2-pointer,2,63-67,'SAS',trails
2176,2176,2176,202105160SAS,25.4,8.8,3rd quarter,7:30.0,Jalen Smith,PHO,True,2-pointer,6,70-69,'SAS',leads
2182,2182,2182,202105160SAS,41.1,22.0,3rd quarter,4:35.0,Jalen Smith,PHO,False,3-pointer,25,76-71,'SAS',leads
2192,2192,2192,202105160SAS,47.7,3.6,3rd quarter,1:01.0,Jalen Smith,PHO,False,3-pointer,24,87-81,'SAS',leads
2193,2193,2193,202105160SAS,23.7,4.2,3rd quarter,0:56.0,Jalen Smith,PHO,True,2-pointer,1,89-81,'SAS',leads
2198,2198,2198,202105160SAS,24.7,3.9,4th quarter,11:09.0,Jalen Smith,PHO,True,2-pointer,1,93-85,'SAS',leads
556,556,556,202106010PHO,0.2,5.0,4th quarter,2:02.0,Jalen Smith,PHO,True,3-pointer,24,112-83,'LAL',leads
170,170,170,202106090PHO,28.3,4.3,4th quarter,5:10.0,Jalen Smith,PHO,False,2-pointer,4,109-83,'PHO',leads
174,174,174,202106090PHO,24.0,3.3,4th quarter,3:59.0,Jalen Smith,PHO,False,2-pointer,0,111-87,'PHO',leads
91,91,91,202106300LAC,23.4,4.4,4th quarter,1:18.0,Jalen Smith,PHO,True,2-pointer,1,128-102,'PHO',leads
993,993,993,202110230POR,24.1,3.4,4th quarter,8:38.0,Jalen Smith,PHO,True,2-pointer,0,85-118,'POR',trails
1000,1000,1000,202110230POR,3.0,8.5,4th quarter,4:59.0,Jalen Smith,PHO,False,2-pointer,22,93-129,'POR',trails
1001,1001,1001,202110230POR,25.1,4.2,4th quarter,4:34.0,Jalen Smith,PHO,True,2-pointer,1,95-129,'POR',trails
1711,1711,1711,202110300PHO,16.6,27.5,2nd quarter,9:13.0,Jalen Smith,PHO,False,3-pointer,25,28-40,'PHO',trails
1756,1756,1756,202110300PHO,22.8,6.4,4th quarter,8:13.0,Jalen Smith,PHO,True,2-pointer,3,85-71,'PHO',leads
1758,1758,1758,202110300PHO,23.7,8.0,4th quarter,7:21.0,Jalen Smith,PHO,False,2-pointer,5,85-74,'PHO',leads
1759,1759,1759,202110300PHO,23.5,8.5,4th quarter,7:18.0,Jalen Smith,PHO,False,2-pointer,5,85-74,'PHO',leads
1274,1274,1274,202111120MEM,29.1,20.8,2nd quarter,6:27.0,Jalen Smith,PHO,False,2-pointer,18,43-33,'PHO',leads
865,865,865,202111210PHO,24.4,6.1,4th quarter,5:24.0,Jalen Smith,PHO,True,2-pointer,3,118-89,'PHO',leads
867,867,867,202111210PHO,14.1,26.7,4th quarter,4:09.0,Jalen Smith,PHO,False,3-pointer,25,118-91,'PHO',leads
