Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1500,1500,1500,202110200SAS,30.3,15.5,1st quarter,8:59.0,Jalen Suggs,ORL,True,2-pointer,14,13-8,'SAS',leads
1514,1514,1514,202110200SAS,12.3,24.2,1st quarter,1:41.0,Jalen Suggs,ORL,False,3-pointer,24,28-26,'SAS',leads
1515,1515,1515,202110200SAS,24.2,5.8,1st quarter,1:18.0,Jalen Suggs,ORL,False,2-pointer,3,28-29,'SAS',trails
1521,1521,1521,202110200SAS,31.9,27.8,2nd quarter,10:33.0,Jalen Suggs,ORL,False,3-pointer,26,33-37,'SAS',trails
1525,1525,1525,202110200SAS,39.4,3.7,2nd quarter,7:57.0,Jalen Suggs,ORL,False,2-pointer,15,38-41,'SAS',trails
1535,1535,1535,202110200SAS,14.7,6.3,2nd quarter,2:07.0,Jalen Suggs,ORL,False,2-pointer,10,46-59,'SAS',trails
1542,1542,1542,202110200SAS,8.2,28.8,3rd quarter,9:20.0,Jalen Suggs,ORL,False,3-pointer,30,52-65,'SAS',trails
1544,1544,1544,202110200SAS,19.7,21.8,3rd quarter,8:09.0,Jalen Suggs,ORL,False,2-pointer,19,55-65,'SAS',trails
1548,1548,1548,202110200SAS,0.4,3.1,3rd quarter,6:28.0,Jalen Suggs,ORL,False,3-pointer,24,59-69,'SAS',trails
1555,1555,1555,202110200SAS,22.3,3.3,3rd quarter,2:52.0,Jalen Suggs,ORL,False,2-pointer,2,66-79,'SAS',trails
1557,1557,1557,202110200SAS,39.8,22.9,3rd quarter,1:36.0,Jalen Suggs,ORL,True,3-pointer,25,71-84,'SAS',trails
1572,1572,1572,202110200SAS,12.5,27.0,4th quarter,4:54.0,Jalen Suggs,ORL,False,3-pointer,26,84-109,'SAS',trails
1575,1575,1575,202110200SAS,24.9,4.6,4th quarter,3:07.0,Jalen Suggs,ORL,True,2-pointer,2,92-112,'SAS',trails
1576,1576,1576,202110200SAS,21.7,4.2,4th quarter,2:44.0,Jalen Suggs,ORL,False,2-pointer,2,93-113,'SAS',trails
1152,1152,1152,202110220ORL,24.3,8.1,1st quarter,8:00.0,Jalen Suggs,ORL,False,2-pointer,5,9-10,'NYK',trails
